্নানি	Grandma	naani
্নানপ্রায়	Almost	naanpraayy
্নান	Nana	naan
্‌এণ্টিয়কের	of Antioch	ennttiyyker
্‌এই	This	ei
ের	Of	er
েচার	Four	ecaar
ে	In	e
ূল	Root	uul
ুশো	Yusho	usho
ুলের	Uler	uler
ুল	Ull	ul
ুরাতন	Old	uraatn
ুজনের	Weight	ujner
ুজন	Weight	ujn
ুকে	Enter	uke
ু	U	u
িব্রু	June	ibru
হ্‌্েরষা	Harassment	herssaa
হ্‌শাতীয়	Hshattian	hshaatiiyy
হ্রেষাশব্দে	In a hateful tone	hressaashbde
হ্রেষারব	Hresharab	hressaarb
হ্রেষাধ্বনি	Hate speech	hressaadhbni
হ্রেষা	Hresha	hressaa
হ্রাস	Reduction	hraas
হ্রদের	Lake	hrder
হ্রদে।	At the lake.	hrde / 
হ্রদে	On the lake	hrde
হ্রদই	The lake itself	hrdi
হ্রদ	Lake	hrd
হ্যাঁ।	Yes.	hyaaN / 
হ্যাঁ	Yes	hyaaN
হ্যতা	Death	hytaa
হ্য।	Yes.	hy / 
হ্য	Yes	hy
হৌরণের	Hauran	haurnner
হৌরণ	Hauran	haurnn
হোহমের	Hohmer	heaahmer
হোহম	Hohm	heaahm
হোসিয়ার	Hoosier	hosiyyaar
হোসিয়াকে	Hosea	hosiyyaake
হোসিয়া	Hosea	hosiyyaa
হোসাহ্‌র	Hosahr	heaasaahr
হোসাহ্	Hosah	heaasaah
হোষার	Hoshar	heaassaar
হোষাতে	In the morning	heaassaate
হোষা	Hosa	heaassaa
হোশেয়ের	Hosea	heaasheyyer
হোশেয়র	Hosea	heaasheyyr
হোশেয়কে	Hosea	heaasheyyke
হোশেয়	Hosea	heaasheyy
হোশিয়য়	Hosea	hoshiyyyy
হোশামা	Hoshama	heaashaamaa
হোশান্না।	Hosanna.	heaashaannaa / 
হোশান্না	Hosanna	heaashaannaa
হোশয়িয়ের	Hosiah	heaashyyiyyer
হোশয়িয়	Hosea	heaashyyiyy
হোশয়কে	To Hoshai	hoshy'ke
হোলোন	Holon	heaaleaan
হোলে	Hole	hole
হোলিওপোলিসে	In Heliopolis	heaaliopeaalise
হোলন	Holon	heaaln
হোল।	Hole.	heaal / 
হোল	Hole	heaal
হোর্‌	Hor	heaar
হোরোনের	Horon	horoner
হোরোনীরা	Horonites	horoniiraa
হোরোনীয়	Horonian	horoniiyy
হোরোনয়িমের	Horonaim	heaareaanyyimer
হোরোনয়িম	Horonaim	heaareaanyyim
হোরোন	Horon	horon
হোরোদ	Horod	heaareaad
হোরোণের	Horon	heaareaanner
হোরোণে	Horone	horonne
হোরোণীয়	Horonian	heaareaanniiyy
হোরোণয়িমের	Horonaim	heaareaannyyimer
হোরোণয়িমে	In Horonaim	heaareaannyyime
হোরোণয়িম	Horonaim	heaareaannyyim
হোরোণ	Horon	heaareaann
হোরেশের	Horesh	heaaresher
হোরেম	Horem	heaarem
হোরেবের	Horeb	heaareber
হোরেবেও	Horeb	heaarebeo
হোরেবে	Horeb	heaarebe
হোরেব	Horeb	heaareb
হোরেণের	Horen's	heaarenner
হোরুনীয়	Horunian	horuniiyy
হোরুন	Horun	horun
হোরীয়েরাও	Horiyaro	heaariiyyeraao
হোরীয়েরা	Horites	horiiyyeraa
হোরীয়রা	Horites	horiiyyraa
হোরীয়দেরকে	To the Horites	horiiy'derke
হোরীয়দের	Horites	horiiyyder
হোরীয়দিগকে	To the Horites	heaariiyydigke
হোরীয়	Horite	heaariiyy
হোরী	Hori	heaarii
হোরির	Horrible	heaarir
হোরি	Hori	heaari
হোরাম	Horum	heaaraam
হোরম	Horum	heaarm
হোরণের	Horan	hornner
হোরণীয়	Horanian	hornniiyy
হোরণয়িমের	Horonaim	hornny'imer
হোরণ	Horan	heaarnn
হোর	Horr	heaar
হোয়ো	Hoyo	hoy'o
হোয়েছো	Done.	hoy'echo
হোয়ে	Howe	hoy'e
হোমের	Home	heaamer
হোমে	At home	heaame
হোমীয়	Homeric	heaamiiyy
হোমার্থে	For the sake of the home	heaamaarthe
হোমার্থক	Homeopathic	heaamaarthk
হোমার্থ	Homeland	heaamaarth
হোমাবলির	Burnt offering	homaablir
হোমানলের	Human	homaanler
হোমানলে	Homeland	heaamaanle
হোমাগ্নিতে	In the fire	heaamaagnite
হোমরের	Homer	heaamrer
হোমর।	Homer.	heaamr / 
হোমর	Homer	heaamr
হোমযুক্ত।	Homey.	heaamyukt / 
হোমযজ্ঞ	Home offering	homyjny
হোমম।	Home.	heaamm / 
হোমম	Home	heaamm
হোমবেদীর	Altar of fire	heaambediir
হোমবেদী	Altar	heaambedii
হোমবেদির	Altar of fire	heaambedir
হোমবেদিটি	The altar	hombeditti
হোমবেদি	Altar	heaambedi
হোমবিলরূপে	As a bill of lading	heaambilruupe
হোমবলী	Burnt offering	homblii
হোমবলিস্বরূপ	As a burnt offering	heaamblisbruup
হোমবলিস্থানে	At the funeral home	heaamblisthaane
হোমবলিরূপে	As a burnt offering	heaambliruupe
হোমবলির	Burnt offering	heaamblir
হোমবলিদানের	Of burnt offering	heaamblidaaner
হোমবলিদান	Burnt offering	heaamblidaan
হোমবলিতে	In the burnt offering	heaamblite
হোমবলিও	Homeopathy	heaamblio
হোমবলি।	Burnt offering.	heaambli / 
হোমবলি	Burnt offering	heaambli
হোমদ্রব্য	Household goods	heaamdrby
হোমকুণ্ডের	Homkund	heaamkunndder
হোম।	Home.	heaam / 
হোম	Home	heaam
হোবাবের	Hobab's	heaabaaber
হোবাব	Hobab	heaabaab
হোবা	Hoba	heaabaa
হোবয়ের	Hoboye	heaabyyer
হোববের	Hobbe's	heaabber
হোববকে	Hobbeke	heaabbke
হোবব	Hobbs	hobb
হোব	Hob	hob
হোফমের	Hofmeyr	hophmer
হোন।	Be.	heaan / 
হোন	Be	heaan
হোদীয়	Hodian	heaadiiyy
হোদিয়ের	Hoodie	heaadiyyer
হোদিয়াহ্	Hodiyah	heaadiyyaah
হোদিয়	Hodiya	heaadiyy
