og	and
til	to
i	in
at	to
de	the
som	seam
er	is
for	before
det	the
af	of
han	he
den	the
ikke	not
jeg	I
med	with
skal	bowl
der	there
dem	you
har	hair
ham	him
Herren	The Lord
du	you
var	was
mig	me
vil	will
fra	from
på	on
dig	you
sagde	said
paa	on
sig	say
hans	his
deres	their
ved	by
et	a
om	sore
alle	all
men	but
havde	had
så	so
skulle	should
blev	became
min	my
din	your
da	as
være	be
sin	his
efter	after
vi	we
jer	you
kan	can
os	us
ud	out
op	up
imod	against
kom	come
hvad	what
eller	or
siger	says
thi	because
Israels	Israel's
saa	so
ere	are
gøre	do
gik	went
nu	now
folk	people
blive	be
dine	your
mit	my
alt	all
selv	yourself
bliver	becomes
komme	come
hvor	where
sit	his
tilbage	back
dit	your
se	see
jeres	your
gjorde	did
ind	in
mine	my
denne	this
vare	item
hun	she
sine	his/her
mod	against
kommer	coming
ned	down
hele	whole
to	thaw
eder	oaths
dette	this
ingen	no
man	Monday
søn	son
kunne	could
end	than
gav	gave
svarede	answered
hver	every
hos	with
sige	say
hen	go
dag	day
indtil	until
eders	yours
gjort	done
frem	forward
noget	something
ville	would
også	also
uden	without
gør	do
tog	train
må	must
disse	these
andre	other
hvis	if
samme	same
tage	take
anden	other
naar	when
her	here
sammen	together
hende	her
få	get
iblandt	among
fik	got
mange	many
al	eel
fordi	because
dens	its
nogen	naked
godt	well
igen	again
når	when
land	country
lade	let
sendte	sent
hørte	heard
tre	three
ord	word
bort	away
skulde	should
givet	given
syv	seven
høre	hear
døde	dead
mand	man
mere	more
konge	king
dog	however
lod	lot
vores	our
jorden	the earth
mænd	men
stor	great
giver	gives
jo	yes
omkring	around
store	big
gaa	go
mennesker	people
derfor	therefore
får	sheep
førte	led
meget	very
gå	go
stod	shock
tale	talk
sagt	said
sted	place
nogle	some
endnu	yet
kong	king
onde	evil
holde	keep
Juda	Judah
kun	only
tid	time
liv	life
skete	happened
før	before
ligesom	like
sønner	sons
ogsaa	also
lad	let
år	year
byen	the city
dets	its
været	been
intet	nothing
vor	our
første	first
hører	hears
landet	the country
vilde	wild
vendte	turned
satte	put
dersom	if
folket	the people
hellige	holy
