the	ðiː 
you	juː 
i	aɪ 
a	eɪ 
to	tuː 
and	ænd 
it	ɪt 
what	wɒt 
of	ɒv 
that	ðæt 
is	ɪz 
in	ɪn 
oh	əʊ 
this	ðɪs 
me	miː 
don't	dəʊnt 
we	wiː 
no	nəʊ 
all	ɔːl 
it's	ɪts 
on	ɒn 
get	gɛt 
here	hɪə 
your	jɔː 
right	raɪt 
i'm	aɪm 
are	ɑː 
go	gəʊ 
for	fɔː 
that's	ðæts 
chicken	ˈʧɪkɪn 
like	laɪk 
out	aʊt 
have	hæv 
up	ʌp 
my	maɪ 
us	ʌs 
just	ʤʌst 
do	duː 
but	bʌt 
be	biː 
now	naʊ 
fly	flaɪ 
so	səʊ 
egg	ɛg 
give	gɪv 
come	kʌm 
say	seɪ 
eggs	ɛgz 
one	wʌn 
about	əˈbaʊt 
was	wɒz 
good	gʊd 
if	ɪf 
you're	jʊə 
there	ðeə 
how	haʊ 
with	wɪð 
yeah	jeə 
ever	ˈɛvə 
what's	wɒts 
not	nɒt 
more	mɔː 
we're	wɪə 
they	ðeɪ 
over	ˈəʊvə 
from	frɒm 
see	siː 
they're	ðeə 
know	nəʊ 
he	hiː 
going	ˈgəʊɪŋ 
back	bæk 
well	wɛl 
then	ðɛn 
yes	jɛs 
ginger	ˈʤɪnʤə 
look	lʊk 
as	æz 
got	gɒt 
will	wɪl 
i'll	aɪl 
first	fɜːst 
work	wɜːk 
can't	kɑːnt 
them	ðɛm 
uh	ʌ 
time	taɪm 
head	hɛd 
chickens	ˈʧɪkɪnz 
at	æt 
fowler	ˈfaʊlə 
tweedy	tweedy 
let's	lɛts 
she	ʃiː 
some	sʌm 
didn't	dɪdnt 
i've	aɪv 
mr	mr 
die	daɪ 
care	keə 
where	weə 
our	ˈaʊə 
way	weɪ 
gonna	ˈgənə 
can	kæn 
her	hɜː 
why	waɪ 
babs	babs 
mean	miːn 
long	lɒŋ 
an	æn 
wing	wɪŋ 
flying	ˈflaɪɪŋ 
day	deɪ 
tell	tɛl 
plan	plæn 
old	əʊld 
isn't	ˈɪznt 
farm	fɑːm 
good-bye	gʊd-baɪ 
leave	liːv 
flop	flɒp 
hey	heɪ 
into	ˈɪntuː 
thing	θɪŋ 
rocky	ˈrɒki 
we'll	wiːl 
him	hɪm 
been	biːn 
trying	ˈtraɪɪŋ 
think	θɪŋk 
show	ʃəʊ 
never	ˈnɛvə 
those	ðəʊz 
off	ɒf 
would	wʊd 
want	wɒnt 
when	wɛn 
call	kɔːl 
pies	paɪz 
flip	flɪp 
mrs	mrs 
really	ˈrɪəli 
wait	weɪt 
lay	leɪ 
great	greɪt 
free	friː 
he's	hiːz 
there's	ðeəz 
were	wɜː 
down	daʊn 
keep	kiːp 
quiet	ˈkwaɪət 
something	ˈsʌmθɪŋ 
two	tuː 
need	niːd 
we've	wiːv 
coming	ˈkʌmɪŋ 
baby	ˈbeɪbi 
flew	fluː 
stop	stɒp 
hide	haɪd 
around	əˈraʊnd 
hard	hɑːd 
which	wɪʧ 
okay	ˈəʊˈkeɪ 
did	dɪd 
course	kɔːs 
rhodes	ˈrəʊdz 
very	ˈvɛri 
his	hɪz 
grass	grɑːs 
better	ˈbɛtə 
because	bɪˈkɒz 
always	ˈɔːlweɪz 
still	stɪl 
bunty	bunty 
away	əˈweɪ 
love	lʌv 
thrust	θrʌst 
bunk	bʌŋk 
tomorrow	təˈmɒrəʊ 
every	ˈɛvri 
has	hæz 
life	laɪf 
take	teɪk 
please	pliːz 
everyone	ˈɛvrɪwʌn 
she's	ʃiːz 
could	kʊd 
mac	mæk 
bit	bɪt 
holiday	ˈhɒlədeɪ 
let	lɛt 
make	meɪk 
teach	tiːʧ 
deal	diːl 
doing	ˈdu(ː)ɪŋ 
kiss	kɪs 
sorry	ˈsɒri 
aye	eɪ 
flap	flæp 
little	ˈlɪtl 
side	saɪd 
hold	həʊld 
kill	kɪl 
listen	ˈlɪsn 
answer	ˈɑːnsə 
um	əm 
exactly	ɪgˈzæktli 
yank	jæŋk 
face	feɪs 
does	dʌz 
who	huː 
problem	ˈprɒbləm 
might	maɪt 
haven't	hævnt 
real	rɪəl 
three	θriː 
too	tuː 
these	ðiːz 
thank	θæŋk 
things	θɪŋz 
hen	hɛn 
crate	kreɪt 
f	ɛf 
r	ɑː 
left	lɛft 
along	əˈlɒŋ 
comes	kʌmz 
bye-bye	ˈbaɪbaɪ 
without	wɪˈðaʊt 
guys	gaɪz 
other	ˈʌðə 
fine	faɪn 
put	pʊt 
shall	ʃæl 
feeling	ˈfiːlɪŋ 
everything	ˈɛvrɪθɪŋ 
turn	tɜːn 
wanna	ˈwɒnə 
roam	rəʊm 
worry	ˈwʌri 
doll	dɒl 
name	neɪm 
lone	ləʊn 
fact	fækt 
done	dʌn 
dollface	dollface 
ain't	eɪnt 
pops	pɒps 
easy	ˈiːzi 
together	təˈgɛðə 
start	stɑːt 
ladies	ˈleɪdɪz 
help	hɛlp 
am	æm 
place	pleɪs 
heads	hɛdz 
round	raʊnd 
getting	ˈgɛtɪŋ 
perhaps	pəˈhæps 
most	məʊst 
stupid	ˈstjuːpɪd 
same	seɪm 
making	ˈmeɪkɪŋ 
or	ɔː 
miss	mɪs 
word	wɜːd 
under	ˈʌndə 
tried	traɪd 
chocks	ʧɒks 
hop	hɒp 
officer	ˈɒfɪsə 
days	deɪz 
order	ˈɔːdə 
ya	jə 
fence	fɛns 
rolling	ˈrəʊlɪŋ 
blues	bluːz 
force	fɔːs 
air	eə 
royal	ˈrɔɪəl 
only	ˈəʊnli 
told	təʊld 
full	fʊl 
actually	ˈækʧʊəli 
night	naɪt 
waiting	ˈweɪtɪŋ 
pie	paɪ 
glad	glæd 
