the	ðiː 	thē 
you	juː 	yü 
i	aɪ 	ī 
a	eɪ 	ā 
to	tuː 	tū 
and	ænd 	and 
it	ɪt 	it 
what	wɒt 	wot 
of	ɒv 	ov 
that	ðæt 	that 
is	ɪz 	iz 
in	ɪn 	in 
oh	əʊ 	əoo 
this	ðɪs 	this 
me	miː 	mē 
don't	dəʊnt 	dəoont 
we	wiː 	wē 
no	nəʊ 	nəoo 
all	ɔːl 	ôl 
it's	ɪts 	its 
on	ɒn 	on 
get	gɛt 	gét 
here	hɪə 	hēə 
your	jɔː 	yô 
right	raɪt 	rīt 
i'm	aɪm 	īm 
are	ɑː 	ä 
go	gəʊ 	gəoo 
for	fɔː 	fô 
that's	ðæts 	thats 
chicken	ˈʧɪkɪn 	chikin 
like	laɪk 	līk 
out	aʊt 	owt 
have	hæv 	hav 
up	ʌp 	up 
my	maɪ 	mī 
us	ʌs 	us 
just	ʤʌst 	yust 
do	duː 	dū 
but	bʌt 	but 
be	biː 	bē 
now	naʊ 	now 
fly	flaɪ 	flī 
so	səʊ 	səoo 
egg	ɛg 	ég 
give	gɪv 	giv 
come	kʌm 	kum 
say	seɪ 	sā 
eggs	ɛgz 	égz 
one	wʌn 	wun 
about	əˈbaʊt 	əbowt 
was	wɒz 	woz 
good	gʊd 	good 
if	ɪf 	if 
you're	jʊə 	yüə 
there	ðeə 	thã 
how	haʊ 	how 
with	wɪð 	with 
yeah	jeə 	yã 
ever	ˈɛvə 	évə 
what's	wɒts 	wots 
not	nɒt 	not 
more	mɔː 	mô 
we're	wɪə 	wēə 
they	ðeɪ 	thā 
over	ˈəʊvə 	əoovə 
from	frɒm 	from 
see	siː 	sē 
they're	ðeə 	thã 
know	nəʊ 	nəoo 
he	hiː 	hē 
going	ˈgəʊɪŋ 	gəooing 
back	bæk 	bak 
well	wɛl 	wél 
then	ðɛn 	thén 
yes	jɛs 	yés 
ginger	ˈʤɪnʤə 	yinyə 
look	lʊk 	look 
as	æz 	az 
got	gɒt 	got 
will	wɪl 	wil 
i'll	aɪl 	īl 
first	fɜːst 	fûst 
work	wɜːk 	wûk 
can't	kɑːnt 	känt 
them	ðɛm 	thém 
uh	ʌ 	u 
time	taɪm 	tīm 
head	hɛd 	héd 
chickens	ˈʧɪkɪnz 	chikinz 
at	æt 	at 
fowler	ˈfaʊlə 	fowlə 
tweedy	tweedy 	tweedy 
let's	lɛts 	léts 
she	ʃiː 	shē 
some	sʌm 	sum 
didn't	dɪdnt 	didnt 
i've	aɪv 	īv 
mr	mr 	mr 
die	daɪ 	dī 
care	keə 	kã 
where	weə 	wã 
our	ˈaʊə 	owə 
way	weɪ 	wā 
gonna	ˈgənə 	gənə 
can	kæn 	kan 
her	hɜː 	hû 
why	waɪ 	wī 
babs	babs 	babs 
mean	miːn 	mēn 
long	lɒŋ 	long 
an	æn 	an 
wing	wɪŋ 	wing 
flying	ˈflaɪɪŋ 	flīing 
day	deɪ 	dā 
tell	tɛl 	tél 
plan	plæn 	plan 
old	əʊld 	əoold 
isn't	ˈɪznt 	iznt 
farm	fɑːm 	fäm 
good-bye	gʊd-baɪ 	good-bī 
leave	liːv 	lēv 
flop	flɒp 	flop 
hey	heɪ 	hā 
into	ˈɪntuː 	intū 
thing	θɪŋ 	thing 
rocky	ˈrɒki 	rokē 
we'll	wiːl 	wēl 
him	hɪm 	him 
been	biːn 	bēn 
