⼀事	yī shì
⼀⼈	yī rén
⼀件事	yī jiàn shì
⼀份	yī fèn
⼀個	yī gè
⼀切	yī qiè
⼀切都	yī qiè dōu
⼀⼈	yī rén
⼀⼈	yī rén
⼈	rén
⼀	yī
事	shì
⼀	yī
事	shì
件事	jiàn shì
⼀件	yī jiàn
⼀份	yī fèn
⼀個	yī gè
個	gè
切	qiè
切	qiè
⼀	yī
⼀	yī
⼀切	yī qiè
⼀切都	yī qiè dōu
切都	qiè dōu
⼀	yī
都	dōu
⼀切	yī qiè
⼀切都	yī qiè dōu
都	dōu
切都	qiè dōu
刻	kè
⼝氣	kǒu qì
⼀句	yī jù
⼀同	yī tóng
⼀同	yī tóng
同	tóng
同	tóng
⼀	yī
家	jiā
⼀家	yī jiā
⼀⼼	yī xīn
⼼	xīn
⽇	rì
本	běn
草	cǎo
棵	kē
樣	yàng
次	cì
一	yī
步	bù
⽔	shuǐ
片	piàn
⽣	shēng
⽣	shēng
世	shì
直	zhí
直	zhí
看	kàn
看	kàn
瞥	piē
般	bān
起	qǐ
路	lù
上	shàng
遍	biàn
道	dào
邊	biān
陣	zhèn
顆	kē
⾸	shǒu
體	tǐ
點	diǎn
三	sān
⼀	yī
上	shàng
上	shàng
上	shàng
上帝	shàng dì
上帝	shàng dì
帝	dì
帝	dì
上	shàng
上帝	shàng dì
上有	shàng yǒu
上空	shàng kōng
下	xià
下	xià
下	xià
來	lái
來	lái
下	xià
不	bù
不	bù
不	bù
不	bù
不	bù
不住	bù zhù
不停	bù tíng
是	shì
再是	zài shì 
不分	bù fēn
不只	bù zhǐ
能	néng
可能	kě néng
不可	bù kě
在	zài
得	de
怕	pà
息	xi
想	xiǎng
斷	duàn
曾	céng
會	huì
會	huì
不	bù
道	dào
禁	jìn
管	guǎn
管	guǎn
不	bù
不管	bù guǎn
能	néng
被	bèi
要	yào
論	lùn
變	biàn
負	fù
透	tòu
配	pèi
意	yì
且	qiě
⼈	rén
代	dài
代	dài
界	jiè
間	jiān
丟	diū
棄	qì
並	bìng
在	zài
中	zhōng
之	zhī
國	guó
有	yǒu
的	de
主	zhǔ
主	zhǔ
主	zhǔ
因	yīn
宰	zǎi
恩	ēn
主意	zhǔ yì
主旨	zhǔ zhǐ
主權	zhǔ quán
主神	zhǔ shén
主要	zhǔ yào
乃是	nǎi shì
乃是	nǎi shì
乃是	nǎi shì
是	shì
乃	nǎi
乃	nǎi
之	zhī
之	zhī
前	qián
地	de
外	wài
⼦	zi
處	chù
乎	hu
乏	fá
也	yě
是	shì
會	huì
沒	méi
要	yào
許	xǔ
香	xiāng
乾	gān
乾旱	gān hàn
乾渴	gān kě
亁	gān
了	le
了	le
解	jiě
事	shì
情	qíng
物	wù
⼆	èr
五	wǔ
古	gǔ
亙	gèn
亙古	gèn gǔ
些	xiē
亞	yà
亞	yà
亞	yà
亞	yà
亞	yà
交	jiāo
交	jiāo
交給	jiāo gěi
交	jiāo
託	tuō
通	tōng
享	xiǎng
享	xiǎng
受	shòu
光	guāng
光	guāng
亮	liàng
⼈	rén
⼈	rén
⼈	rén
⼈	rén
⼈	rén
⼈們	rén men
⼈像	rén xiàng
什	shén
什麼	shén me
仁愛	rén 'ài
愛	ài
仁	rén
仁	rén
敵	dí
仇	chóu
敵	dí
仇	chóu
今	jīn
今	jīn
今	jīn
夜	yè
天	tiān
仍	réng
仍	réng
仍	réng
然	rán
仍然	réng rán
仍要	réng yào
他	tā
他	tā
們	men
付	fù
付	fù
付出	fù chū 
代	dài
令	lìng
令⼈	lìng rén
以	yǐ
以	yǐ
列	liè
⾊列	sè liè
以⾊	yǐ sè
仰	yǎng
仰望	yǎng wàng
仰	yǎng
望	wàng
任	rèn
何⼈	hé rén
任何	rèn hé
憑	píng
份	fèn
伊	yī
伯	bó
恆	héng
伴	bàn
伸	shēn
但	dàn
住	zhù
住	zhù
佔	zhàn
何	hé
何	hé
等	děng
等	děng
何	hé
作	zuò
作	zuò
作	zuò
為	wèi
你	nǐ
們	men
偶	ǒu
佳	jiā
美	měi
使	shǐ
⽤	yòng
來	lái
來	lái
信	xìn
到	dào
到	dào
⾃	zì
侍	shì
立	lì
供	gōng
應	yīng
依	yī
偎	wēi
然	rán
依	yī
侵	qīn
侵入	qīn rù
俄	é
俄	é
保	bǎo
守	shǒu
留	liú
護	hù
障	zhàng
信	xìn
信	xìn
信實	xìn shí
信實	xìn shí
實	shí
實	shí
伏	fú
俯伏	fǔ fú 
個	gè
個	gè
倒	dào
靠	kào
倚	yǐ
倢	jié
倢	jié
倢	jié
值	zhí
假	jiǎ
偉	wěi
偉	wěi
⼤	dà
離	lí
做	zuò
做	zuò
的	de
歇	xiē
⽌	zhǐ
留在	liú zài
側耳	cè 'ěr
偷取	tōu qǔ
備	bèi
備	bèi
催	cuī
傳	chuán
債	zhài
傷	shāng
傷	shāng
傾	qīng
傾倒	qīng dǎo
傾倒	qīng dǎo
倒	dào
傾	qīng
聽	tīng
像	xiàng
像	xiàng
像	xiàng
僕	pú
僕	pú
價	jià
價值	jià zhí
儆	jǐng
元	yuán
元	yuán
⾸	shǒu
充	chōng
充	chōng
滿	mǎn
滿	mǎn
充	chōng
充滿	chōng mǎn
了	le
兆	zhào
先	xiān
彩	cǎi
明	míng
照	zhào
華	huá
輝	huī
免	miǎn
兒	er
女	nǚ
兒女	ér nǚ
兒女	ér nǚ
女	nǚ
兒	er
兒⼦	er zi
兒⼦	er zi
⼦	zi
兒	er
兒	er
入	rù
入	rù
侵	qīn
入侵	rù qīn
內	nèi
內⼼	nèi xīn
內⼼	nèi xīn
內	nèi
內⼼	nèi xīn
全	quán
全	quán
全	quán
全	quán
全世	quán shì
界	jiè
世界	shì jiè
⼒	lì
全	quán
全意	quán yì
全⼼	quán xīn
意	yì
新	xīn
然	rán
全	quán
全能	quán néng
全部	quán bù
全都	quán dōu
公	gōng
義	yì
義	yì
公	gōng
同	tóng
共	gòng
器	qì
再	zài
再	zài
再	zài
回	huí
現	xiàn
造	zào
冕	miǎn
冠	guān
冰	bīng
凡	fán
凡	fán
凱	kǎi
出	chū
出	chū
出	chū
劍	jiàn
分	fēn
別	bié
離	lí
切	qiè
罰	fá
列	liè
列國	liè guó
初	chū
初	chū
別	bié
別	bié
利	lì
利	lì
利亞	lì yǎ
到	dào
底	dǐ
處	chù
達	dá
刻	kè
削	xuē
前	qián
前	qián
強	qiáng
剛強	gāng qiáng
剛強	gāng qiáng
剛	gāng
剛	gāng
剛強	gāng qiáng
剛強	gāng qiáng
強	qiáng
剛	gāng
創	chuàng
劍	jiàn
劍	jiàn
⼒	lì
⼒量	lì liàng
量	liàng
⼒量	lì liàng
⼒量	lì liàng
⼒	lì
量	liàng
量	liàng
功勞	gōng láo
加	jiā
加	jiā
加	jiā
給	gěi
