⼀事,yī shì,A thing
⼀⼈,yī rén,A person
⼀件事,yī jiàn shì,One thing
⼀份,yī fèn,A copy
⼀個,yī gè,One
⼀切,yī qiè,Everything
⼀切都,yī qiè dōu,Everything is all
⼀⼈,yī rén,A person
⼀⼈,yī rén,A person
⼈,rén,People
⼀,yī,One
事,shì,thing
⼀,yī,One
事,shì,thing
件事,jiàn shì,Something
⼀件,yī jiàn,One by one
⼀份,yī fèn,A copy
⼀個,yī gè,One
個,gè,One
切,qiè,cut
切,qiè,cut
⼀,yī,One
⼀,yī,One
⼀切,yī qiè,Everything
⼀切都,yī qiè dōu,Everything is all
切都,qiè dōu,Cut all
⼀,yī,One
都,dōu,All
⼀切,yī qiè,Everything
⼀切都,yī qiè dōu,Everything is all
都,dōu,All
切都,qiè dōu,Cut all
刻,kè,engraved
⼝氣,kǒu qì,The gas
⼀句,yī jù,A sentence
⼀同,yī tóng,Together
⼀同,yī tóng,Together
同,tóng,with
同,tóng,with
⼀,yī,One
家,jiā,Family
⼀家,yī jiā,A family
⼀⼼,yī xīn,At a time
⼼,xīn,The centering
⽇,rì,Day
本,běn,this
草,cǎo,grass
棵,kē,Trees
樣,yàng,kind
次,cì,Times
一,yī,one
步,bù,step
⽔,shuǐ,Water
片,piàn,sheet
⽣,shēng,Made
⽣,shēng,Made
世,shì,world
直,zhí,straight
直,zhí,straight
看,kàn,Look
看,kàn,Look
瞥,piē,glance
般,bān,Like
起,qǐ,From
路,lù,road
上,shàng,on
遍,biàn,all over
道,dào,Road
邊,biān,side
陣,zhèn,Array
顆,kē,Stars
⾸,shǒu,first
體,tǐ,body
點,diǎn,point
三,sān,three
⼀,yī,One
上,shàng,on
上,shàng,on
上,shàng,on
上帝,shàng dì,God
上帝,shàng dì,God
帝,dì,emperor
帝,dì,emperor
上,shàng,on
上帝,shàng dì,God
上有,shàng yǒu,There
上空,shàng kōng,Over
下,xià,under
下,xià,under
下,xià,under
來,lái,Come
來,lái,Come
下,xià,under
不,bù,Do not
不,bù,Do not
不,bù,Do not
不,bù,Do not
不,bù,Do not
不住,bù zhù,Can not live
不停,bù tíng,Keep on
是,shì,Yes
再是,zài shì ,Next is
不分,bù fēn,Regardless of
不只,bù zhǐ,not only
能,néng,can
可能,kě néng,may
不可,bù kě,Can not
在,zài,in
得,de,Get it
怕,pà,afraid
息,xi,interest
想,xiǎng,miss you
斷,duàn,Off
曾,céng,Once
會,huì,meeting
會,huì,meeting
不,bù,Do not
道,dào,Road
禁,jìn,ban
管,guǎn,tube
管,guǎn,tube
