"abbey","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abbey</b><div class=""context"">The buildings occupied by a religious community, partially or wholly secluded from the world, of monks or nuns under the jurisdiction of an abbot or abbess. Abbeys frequently competed with each other as centres of pilgrimage and were often richly endowed with relics, furnishings, and libraries of great importance. During the Middle Ages abbeys were major centres of architecture and painting. For a discussion of the architecture, see <a href=""entry://monastery""><span class=""links"">MONASTERY</span></a>."
"abrasion","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abrasion</b><div class=""context"">A damaged area of paint in a painting, resulting from the scraping, rubbing down, or grinding away of the upper paint layers."
"abstract art","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abstract art</b><div class=""context"">A term which can generally be applied to any non-representational art (most <a href=""entry://decorative art""><span class=""links"">decorative art</span></a>, for example), but which is more specifically used, from the early 20th century onwards, to describe painting and sculpture which are deliberately non-representational. Implicit to abstract art is the notion that the work of art exists in its own right, and not necessarily as a mirror of reality. The Russian artist Wassily Kandinsky (1866&ndash;1944) is generally credited with producing the first abstract painting <i>c.</i>1910. In the decade 1910&ndash;20 a number of movements such as <a href=""entry://Cubism""><span class=""links"">Cubism</span></a>, <a href=""entry://Suprematism""><span class=""links"">Suprematism</span></a>, and <a href=""entry://De Stijl""><span class=""links"">De Stijl</span></a> either developed or embraced abstraction. In its many forms abstraction has been one of the main preoccupations of much modern art."
"Abstract Expressionism","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>Abstract Expressionism</b><div class=""context"">A description generally applied to aspects of modern American painting in the late 1940s and early 1950s which were concerned both with the various forms of abstraction and with psychic self-expression. Abstract Expressionism was more of an attitude than a style, drew on many historical sources from Van Gogh to Matisse and Kandinsky, and embraced a wide variety of paintings ranging from the <a href=""entry://drip painting""><span class=""links"">drip paintings</span></a> of Jackson Pollock to the intensely coloured floating shapes of Mark Rothko. Although the term had been known since the 1920s, when it was used to describe Kandinsky's abstract paintings, it was first employed to describe contemporary painting in 1946, by Robert Coates in the <i>New Yorker</i> magazine. Championed by the critics Harold Rosenberg and Clement Greenberg (who in 1948 declared that the future of western art depended on this phase in American painting), Abstract Expressionism gained widespread acceptance in the 1950s, at first in America and then internationally (the first American movement to do so), the European variant being <a href=""entry://Art Informel""><span class=""links"">Art Informel</span></a>, a term coined by Michel Tapié in 1952."
"Abstraction-Création","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>Abstraction-Création</b><div class=""context"">The name taken by a group of abstract painters and sculptors formed in Paris in 1931 in the wake of the first international exhibition of abstract art held there in 1930. The association, whose membership at one time rose to 400, was a loose one embracing a wide range of non-figurative art including <a href=""entry://Constructivism""><span class=""links"">Constructivism</span></a> (Gabo, Pevsner, and Lissitzky), <a href=""entry://Neo-Plasticism""><span class=""links"">Neo-Plasticism</span></a> (Mondrian), the expressive abstraction of Kandinsky, and some forms of abstract <a href=""entry://Surrealism""><span class=""links"">Surrealism</span></a>. Founded as a successor to the <a href=""entry://Cercle et Carré""><span class=""links"">Cercle et Carré</span></a>, it was intended, as its name implies, to encourage ‘creative’ abstraction. It arranged group exhibitions and published an illustrated annual <i>Abstraction-Création: Art non-figuratif</i> 1932&ndash;6. The emphasis increasingly fell on geometrical rather than expressive or lyrical abstraction due to the predominance of the Constructivists and the supporters of <a href=""entry://De Stijl""><span class=""links"">De Stijl</span></a>. After <i>c.</i>1936 the activities of the association dwindled as some of the leading Constructivists moved from France to England."
"abutment","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abutment</b><div class=""context"">A solid architectural block, usually of masonry, designed to counteract the lateral thrust of a <a href=""entry://vault""><span class=""links"">vault</span></a> or <a href=""entry://arch""><span class=""links"">arch</span></a>. Abutments were typically used in massive, round-arched <a href=""entry://Romanesque""><span class=""links"">Romanesque</span></a> buildings."
"academy","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>academy</b><div class=""context"">[From the ancient Greek <i>akadēma</i>, a gymnasium near Athens where Plato taught his pupils philosophy] an association or school of artists, scholars, etc. arranged in a professional institution. In recent times the term was first used in Italy in the early 15th century to describe meetings of literati. By the 16th century it had been adopted to describe artists' corporations which included the teaching of subjects such as drawing after antique statuary and the live model, and also the study of anatomy, geometry, perspective, history, etc. Thus painting was raised from the status of a mere craft, as had been the case with medieval artists' <a href=""entry://guild""><span class=""links"">guilds</span></a>, to that of a <a href=""entry://liberal arts""><span class=""links"">liberal art</span></a>. Around 1600 the concept of the artists' academy spread from Italy to Spain and the Netherlands, but took particularly powerful root in Louis XIV's France with the establishment in 1648 of the Académie Royale de Peinture et de Sculpture. Its teaching methods remained current in most art schools, such as the English Royal Academy (founded in 1768), until the mid-20th century."
"academy board","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>academy board</b><div class=""context"">An inexpensive board, made of cardboard, used as a surface for oil painting since the early 19th century, primarily for small paintings and sketches. Its cheapness made it particularly popular with <a href=""entry://amateur""><span class=""links"">amateurs</span></a>."
"académie","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>académie</b><div class=""context"">A drawing of a human figure, usually a nude or partially clothed model, executed as a practice study or for purposes of instruction. So called because such studies were particularly associated with the courses of instruction given at the French Académie, both in Paris and Rome, where many fine chalk (usually red chalk) drawings were produced by the major artists of that national school, particularly in the 18th century."
"acanthus","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>acanthus</b><div class=""context"">A plant found on the shores of the Mediterranean and particularly admired by the Greeks and Romans for the elegance of its leaves. The acanthus was widely used in <a href=""entry://Classical""><span class=""links"">classical</span></a> architecture as a decorative feature, possibly the earliest instances being on the Parthenon and the Erechtheion in Athens. It was often employed to decorate the lower part of the <a href=""entry://capital""><span class=""links"">capitals</span></a> of the <a href=""entry://Corinthian Order""><span class=""links"">Corinthian</span></a> and <a href=""entry://Composite Order""><span class=""links"">Composite Orders</span></a>."
"acrolithic","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>acrolithic</b><div class=""context"">[From the Greek, literally ‘stone-ended’] originally used to describe ancient Greek figure sculpture in which the extremities were made of stone or marble. The main body was of wood (often painted and gilded) or limestone, with head and arms and feet of marble. In a development from Greek acrolithic sculpture, many Roman sculptures were made from a combination of materials such as <a href=""entry://porphyry""><span class=""links"">porphyry</span></a>, <a href=""entry://bronze""><span class=""links"">bronze</span></a>, and <a href=""entry://marble""><span class=""links"">marble</span></a>."
"acropolis","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>acropolis</b><div class=""context"">[From the Greek, literally a ‘high city’] the <a href=""entry://citadel""><span class=""links"">citadel</span></a> of a Greek city, placed at its highest point and containing the chief <a href=""entry://temple""><span class=""links"">temples</span></a> and buildings, as at Athens."
"acroterion","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>acroterion</b><div class=""context"">The <a href=""entry://plinth""><span class=""links"">plinth</span></a> or <a href=""entry://pedestal""><span class=""links"">pedestal</span></a> at the apex and lower extremity of a <a href=""entry://pediment""><span class=""links"">pediment</span></a>, it can support statuary or be left empty."
"acrylic colour","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>acrylic colour</b><div class=""context"">An <a href=""entry://emulsion""><span class=""links"">emulsion</span></a> paint employing a synthetic <a href=""entry://medium""><span class=""links"">medium</span></a> (acrylic resin), first used in the 1940s. It has proved a serious rival to <a href=""entry://oil paint""><span class=""links"">oil paint</span></a> with many modern artists, most famously with David Hockney. It is soluble in water, quick-drying, and can be used on a variety of surfaces. Acrylic colours do not yellow and can be easily removed with mineral spirits or turpentine. For these reasons they are often used in conservation work."
