"-aemia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-aemia</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a specified condition of the blood."
"-algia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-algia</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> pain."
"-ase","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-ase</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> an enzyme."
"-blast","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-blast</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a formative cell."
"-cele (-coele)","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-cele (-coele)</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> swelling, hernia, or tumour."
"-centesis","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-centesis</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> puncture or perforation."
"-cide","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-cide</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> killer or killing."
"-coele","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-coele</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i>
<br class=""nLine"" /><b>1</b> a body cavity.
<br class=""nLine"" /><b>2</b> see <a href=""entry://-cele (-coele)""><span class=""links"">-CELE</span></a>."
"-cyte","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-cyte</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a cell."
"-derm","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-derm</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i>
<br class=""nLine"" /><b>1</b> the skin.
<br class=""nLine"" /><b>2</b> a germ layer."
"-dynia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-dynia</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> pain."
"-ectomy","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-ectomy</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> surgical removal of a segment or all of an organ or part."
"-facient","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-facient</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> causing or making."
"-fuge","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-fuge</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> an agent that drives away, repels, or eliminates."
"-genesis","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-genesis</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> origin or development."
"-genic","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-genic</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i>
<br class=""nLine"" /><b>1</b> producing.
<br class=""nLine"" /><b>2</b> produced by."
"-gram","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-gram</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a record; tracing."
"-graph","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-graph</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> an instrument that records."
"-iasis","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-iasis</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a diseased condition."
"-id","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-id</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> relationship or resemblance to."
"-itis","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-itis</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> inflammation of an organ, tissue, etc."
"-kinesis","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-kinesis</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> movement."
"-lalia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-lalia</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a condition involving speech."
"-lith","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-lith</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a calculus (stone)."
"-logy","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-logy</b>
<i>(-ology)</i>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> field of study."
"-lysis","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-lysis</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> lysis; dissolution."
"-malacia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-malacia</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> abnormal softening of a tissue."
"-mania","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-mania</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> obsession, compulsion, or exaggerated feeling for."
"-megaly","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-megaly</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> abnormal enlargement."
"-meter","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-meter</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> an instrument for measuring."
"-metry","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-metry</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> measuring or measurement."
"-morphous","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-morphous</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> form or structure (of a specified kind)."
"-odynia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-odynia</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> pain in (a specified part)."
"-oid","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-oid</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> like; resembling."
"-ology","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-ology</b>
<span class=""abrv""><i>suffix</i></span>.<div class=""content"">see <a href=""entry://-logy""><span class=""links"">-LOGY</span></a>."
"-oma","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-oma</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a tumour."
"-opia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-opia</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a defect of the eye or of vision."
"-opsia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-opsia</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a condition of vision."
"-osis","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-osis</b><span class=""abrv""><i> suffix</i></span><div class=""content""><i>denoting</i>
<br class=""nLine"" /><b>1</b> a diseased condition.
<br class=""nLine"" /><b>2</b> any condition.
<br class=""nLine"" /><b>3</b> an increase or excess."
"-ostomy","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-ostomy</b><span class=""abrv""><i> suffix</i></span>.<div class=""content"">see <a href=""entry://-stomy""><span class=""links"">-STOMY</span></a>."
"-otomy","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-otomy</b>
<span class=""abrv""><i>suffix</i></span>.<div class=""content"">see <a href=""entry://-tomy""><span class=""links"">-TOMY</span></a>."
"-pathy","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-pathy</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i>
<br class=""nLine"" /><b>1</b> disease.
<br class=""nLine"" /><b>2</b> therapy."
"-penia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-penia</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> lack or deficiency."
"-pexy","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-pexy</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> surgical fixation."
"-phagia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-phagia</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a condition involving eating."
"-philia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-philia</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> morbid craving or attraction."
"-phobia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-phobia</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> morbid fear or dread."
"-phoria","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-phoria</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> (in ophthalmology) an abnormal deviation of the eyes or turning of the visual axis."
"-phrenia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-phrenia</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a condition of the mind."
"-plasia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-plasia</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> formation; development."
"-plasty","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-plasty</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> plastic surgery."
"-plegia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-plegia</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> paralysis."
"-pnoea","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-pnoea</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a condition of breathing."
"-poiesis","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-poiesis</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> formation; production."
"-ptosis","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-ptosis</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a lowered position of an organ or part; prolapse."
"-rrhagia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-rrhagia</b>
<i>(-rrhage)</i>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> excessive or abnormal flow or discharge from an organ or part."
"-rrhaphy","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-rrhaphy</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> surgical sewing; suturing."
"-rrhexis","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-rrhexis</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> splitting or rupture of a part."
"-rrhoea","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-rrhoea</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a flow or discharge from an organ or part."
"-schisis","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-schisis</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a cleft or split."
"-scope","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-scope</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> an instrument for observing or examining."
"-stasis","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-stasis</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> stoppage of a flow of liquid; stagnation."
"-stomy","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-stomy</b>
<i>(-ostomy)</i>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a surgical opening into an organ or part."
"-thrix","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-thrix</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a hair or hairlike structure."
"-thymia","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-thymia</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a condition of the mind."
"-tome","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-tome</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a cutting instrument."
"-tomy","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-tomy</b>
<i>(-otomy)</i>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> a surgical incision into an organ or part."
"-trophy","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-trophy</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i> nourishment, development, or growth."
"-tropic","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-tropic</b><span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i>
<br class=""nLine"" /><b>1</b> turning towards.
<br class=""nLine"" /><b>2</b> having an affinity for; influencing."
"-uria","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>-uria</b>
<span class=""abrv""><i>suffix</i></span><div class=""content""><i>denoting</i>
<br class=""nLine"" /><b>1</b> a condition of urine or urination.
<br class=""nLine"" /><b>2</b> the presence of a specified substance in the urine."
"5-HT","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>5-HT</b>
<span class=""abrv""><i>n.</i></span><div class=""content"">5-hydroxytryptamine: see <a href=""entry://serotonin""><span class=""links"">SEROTONIN</span></a>."
"5-hydroxytryptamine","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>5-hydroxytryptamine</b> (hy-droks-i-<b>trip</b>-tă-meen) <span class=""abrv""><i>n.</i></span><div class=""content"">see <a href=""entry://serotonin""><span class=""links"">SEROTONIN</span></a>."
"A and E medicine","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>A and E medicine</b>
<span class=""abrv""><i>n.</i></span><div class=""content"">accident and emergency medicine: an important specialty dealing with the immediate problems of the acutely ill and injured."
"ab-","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>ab-</b>
<span class=""abrv""><i>prefix</i></span><div class=""content""><i>denoting</i> away from."
"abarticulation","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abarticulation</b> (ab-ar-tik-yoo-<b>lay</b>-shŏn) <span class=""abrv""><i>n.</i></span>
<br class=""nLine"" /><b>1</b> the dislocation of a joint.
<br class=""nLine"" /><b>2</b> a synovial joint (see <a href=""entry://diarthrosis""><span class=""links"">DIARTHROSIS</span></a>)."
"abbreviated injury scale","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abbreviated injury scale</b> (a-<b>bree</b>-vi-ay-tid) <span class=""abrv""><i>n.</i></span><div class=""content"">a quick method for determining the severity of a case of serious trauma. It can be used for purposes of triage and clinical audit."
"abdomen","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abdomen</b> (<b>ab</b>-dŏm-ĕn) <span class=""abrv""><i>n.</i></span><div class=""content"">the part of the body cavity below the chest (see <a href=""entry://thorax""><span class=""links"">THORAX</span></a>), from which it is separated by the diaphragm. The abdomen contains the organs of digestion (stomach, liver, intestines, etc.) and excretion (kidneys, bladder, etc.) and in women reproduction. It is lined by a membrane, the peritoneum.<center class=""centre""><img src=""000084.jpg"" class=""h_w_auto"" />
<br class=""nLine"" /></center>
<br class=""nLine"" />&mdash;abdominal (ăb-<b>dom</b>-i-năl) <span class=""abrv""><i>adj.</i></span>"
"abdominoperineal excision","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abdominoperineal excision</b> (ăb-dom-in-oh-pe-ri-<b>nee</b>-ăl) <span class=""abrv""><i>n.</i></span><div class=""content"">an operation for excision of the rectum in which incisions are made in both the abdomen and the perineum."
"abducens nerve","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abducens nerve</b> (ăb-<b>dew</b>-sĕnz) <span class=""abrv""><i>n.</i></span><div class=""content"">the sixth cranial nerve (VI), which supplies the lateral rectus muscle of each eyeball."
"abduct","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abduct</b> (ăb-<b>dukt</b>) <span class=""abrv""><i>vb.</i></span><div class=""content"">to move a limb or any other part away from the midline of the body.
<br class=""nLine"" />&mdash;abduction <span class=""abrv""><i>n.</i></span>"
"abductor","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abductor</b> (ăb-<b>duk</b>-ter) <span class=""abrv""><i>n.</i></span><div class=""content"">any muscle that, when it contracts, moves one part of the body away from another or from the midline of the body. Abductors work antagonistically with adductors."
"aberrant","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>aberrant</b> (a-<b>be</b>-rănt) <span class=""abrv""><i>adj.</i></span><div class=""content"">abnormal: usually applied to a blood vessel or nerve that does not follow its normal course."
"aberration","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>aberration</b> (ab-er-<b>ay</b>-shŏn) <span class=""abrv""><i>n.</i></span>
<br class=""nLine"" /><b>1</b> deviation from the normal.
<br class=""nLine"" /><b>2</b> a defect in the image formed by a lens. <i>chromatic a.</i> a defect in which the image has coloured fringes as a result of the different extent to which light of different colours is refracted. <i>spherical a.</i> a defect in which the image is blurred because curvature of the lens causes light rays from the object to come to a focus in slightly different positions."
"ablation","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>ablation</b> (ăb-<b>lay</b>-shŏn) <span class=""abrv""><i>n.</i></span><div class=""content"">surgical removal of tissue, a part of the body, or an abnormal growth, usually by cutting. See also <a href=""entry://endometrial""><span class=""links"">ENDOMETRIAL (ABLATION)</span></a>."
"abnormal","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abnormal</b> (ab-<b>nor</b>-măl) <span class=""abrv""><i>adj.</i></span><div class=""content"">deviating from the normal in structure, position, occurrence, etc.: <i>an abnormal growth</i> ."
"abnormality","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abnormality</b> (ab-nor-<b>mal</b>-iti) <span class=""abrv""><i>n.</i></span>
<br class=""nLine"" /><b>1</b> deviation from the normal or expected.
<br class=""nLine"" /><b>2</b> a malformation of deformity: <i>a developmental abnormality</i> ."
"ABO system","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>ABO system</b>
<span class=""abrv""><i>n.</i></span><div class=""content"">see <a href=""entry://blood group""><span class=""links"">BLOOD GROUP</span></a>."
"abort","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abort</b> (ă-<b>bort</b>) <span class=""abrv""><i>vb.</i></span>
<br class=""nLine"" /><b>1</b> to terminate a process or disease before its full course has been run.
<br class=""nLine"" /><b>2</b> to remove or expel an embryo or fetus from the uterus before it is capable of independent existence. See <a href=""entry://abortion""><span class=""links"">ABORTION</span></a>."
"abortifacient","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abortifacient</b> (ă-bor-ti-<b>fay</b>-shĕnt) <span class=""abrv""><i>n.</i></span><div class=""content"">a drug that induces abortion or miscarriage."
"abortion","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abortion</b> (ă-<b>bor</b>-shŏn) <span class=""abrv""><i>n.</i></span><div class=""content"">the expulsion or removal of an embryo or fetus from the uterus at a stage of pregnancy when it is incapable of independent survival (i.e. at any time between conception and the 24th week of pregnancy). <i>complete a.</i> premature expulsion of the fetus and all its membranes. <i>criminal a.</i> (in Britain) abortion not carried out within the terms of the Abortion Act 1967. <i>habitual</i> (or <i>recurrent</i> ) <i>a.</i> abortion occurring in three or more successive pregnancies before 20 weeks' gestation, with fetuses weighing under 500 g. <i>incomplete a.</i> retention by the uterus of part of the fetus or its membranes during an abortion. <i>induced a.</i> the deliberate termination of a pregnancy for medical or social reasons. <i>inevitable a.</i> abortion that cannot be prevented as the fetus is dead. <i>missed a.</i> abortion in which the fetus is dead but not expelled from the uterus. <i>recurrent a.</i> see <a href=""entry://habitual abortion""><span class=""links"">HABITUAL A</span></a>. <i>spontaneous a.</i> miscarriage; naturally occurring abortion. <i>therapeutic a.</i> abortion induced to protect the life or health of the mother. <i>threatened a.</i> abdominal pain and bleeding from the uterus while the fetus is still alive.
<br class=""nLine"" />&mdash;abortionist <span class=""abrv""><i>n.</i></span> &mdash;abortive <span class=""abrv""><i>adj.</i></span>"
