"a.c.","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>a.c.</b><br>See <a href=""entry://alternating current"">alternating current</a>"
"a.m.u.","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>a.m.u.</b><br>See <a href=""entry://atomic mass unit"">atomic mass unit</a>"
"ab-","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>ab-</b><br>A prefix attached to the name of a practical electrical unit to provide a name for a unit in the electromagnetic system of units (see <a href=""entry://electromagnetic units"">electromagnetic units</a>), e.g. abampere, abcoulomb, abvolt. The prefix is an abbreviation of the word ‘absolute’ as this system is also known as the <i>absolute system</i> . Compare <a href=""entry://stat-"">stat-</a>. In modern practice both absolute and electrostatic units have been replaced by <a href=""entry://SI units"">SI units</a>"
"Abelian group","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Abelian group</b><br>See <a href=""entry://group theory"">group theory</a>"
"aberration","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>aberration</b><br><b>1</b>
<font class=""bir"">(in optics)</font> A defect in the image formed by a lens or curved mirror. In <i>chromatic aberration</i> the image formed by a lens (but not a mirror) has coloured fringes as a result of the different extent to which light of different colours is refracted by glass. It is corrected by using an <a href=""entry://achromatic lens"">achromatic lens</a>. In <i>spherical aberration</i> , the rays from the object come to a focus in slightly different positions as a result of the curvature of the lens or mirror. For a mirror receiving light strictly parallel with its axis, this can be corrected by using a parabolic surface rather than a spherical surface. Spherical aberration in lenses is minimized by making both surfaces contribute equally to the ray deviations, and can (though with reduced image brightness) be reduced by the use of diaphragms to let light pass only through the centre part of the lens. See also <a href=""entry://astigmatism"">astigmatism</a>; <a href=""entry://coma"">coma</a>.<center class=""pic""><img src=""000022.jpg"" ></img><br>Aberration</center>
<br><b>2</b>
<font class=""bir"">(in astronomy)</font> The apparent displacement in the position of a star as a result of the earth's motion round the sun. Light appears to come from a point that is slightly displaced in the direction of the earth's motion. The angular displacement α = <i>v</i>/<i>c</i>, where <i>v</i> is the earth's orbital velocity and <i>c</i> is the speed of light."
"abscissa","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>abscissa</b><br>See <a href=""entry://Cartesian coordinates"">Cartesian coordinates</a>"
"absolute","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>absolute</b><br><b>1</b> Not dependent on or relative to anything else, e.g. <a href=""entry://absolute zero"">absolute zero</a>.
<br><b>2</b> Denoting a temperature measured on an <i>absolute scale</i> , a scale of temperature based on absolute zero. The usual absolute scale now is that of thermodynamic <a href=""entry://temperature"">temperature</a>; its unit, the kelvin, was formerly called the degree absolute (°A) and is the same size as the degree Celsius. In British engineering practice an absolute scale with Fahrenheit-size degrees has been used: this is the Rankine scale."
"absolute expansivity","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>absolute expansivity</b><br>See <a href=""entry://expansivity"">expansivity</a>"
"absolute humidity","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>absolute humidity</b><br>See <a href=""entry://humidity"">humidity</a>"
"absolute permittivity","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>absolute permittivity</b><br>See <a href=""entry://permittivity"">permittivity</a>"
"absolute pitch","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>absolute pitch</b><i>(perfect pitch)</i>
<br>The ability of a person to identify and reproduce a note without reference to a tuned musical instrument"
