"abacus","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abacus</b><span class=""red""><b><i>[Ar].</b></i></span>
<div class=""content"">The uppermost member of a capital, set atop a pillar, and, on classical buildings, in contact with the bottom of the <a href=""entry://entablature""><span class=""links"">ENTABLATURE</span></a>. The abacus resembles in form the flat slab on which it was modelled."
"Abbasids","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>Abbasids</b></b>
<span class=""red""><b><i>[CP].</b></i></span>
<div class=""content"">An Arab dynasty descended from Abbas, uncle of Muhammad, who supplanted the Umayyads in ad 750."
"Abbeville, France","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>Abbeville, France</b></b>
<span class=""red""><b><i>[Si].</b></i></span>
<div class=""content"">A gravel pit in the 45m gravel terrace of the Somme Valley, France, from which numerous handaxes were obtained by Boucher de Perthes and others from ad 1836 onwards and which in 1939 gave its name to the <a href=""entry://Abbevillian""><span class=""links"">ABBEVILLIAN</span></a>.<br class=""nLine"" />[Sum.: F. Bordes, 1956, Some observations on the Pleistocene succession in the Somme Valley. <i>Proceedings of the Prehistoric Society</i>, 22, 1&ndash;5]</div>"
"Abbevillian","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>Abbevillian</b></b>
<span class=""red""><b><i>[CP].</b></i></span>
<div class=""content"">Now obsolete, this term was originally proposed by Abbé Breuil in ad 1939 to describe the pre-<a href=""entry://Acheulian""><span class=""links"">ACHEULIAN</span></a> flint industries of western Europe on the basis of material from <a href=""entry://Abbeville, France""><span class=""links"">ABBEVILLE</span></a> in France. Also known as the Chellean."
"abbey","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abbey</b><span class=""red""><b><i>[De].</b></i></span>
<div class=""content"">A community of monks or nuns ruled by an abbot or abbess."
"abbey","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>abbey</b><span class=""red""><b><i>[MC].</b></i></span>
<div class=""content"">A general term used to describe the buildings inhabited by a community of monks or nuns. See <a href=""entry://monastery""><span class=""links"">MONASTERY</span></a>."
"ABC Model","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>ABC Model</b><span class=""red""><b><i>[De].</b></i></span>
<div class=""content"">A scheme for the cultural history of the British Iron Age first proposed Christopher <a href=""entry://Hawkes, Charles Francis Christopher""><span class=""links"">HAWKES </span></a> in 1931, but expanded and elaborated in the late 1950s as the opening paper at a conference on the Southern British Iron Age organized by the CBA and held in London in December 1958, subsequently published in <i>Antiquity</i> (1959, 170&ndash;82). The ABC refers to cultures, each of which appears in each of three periods that are designated 1, 2, and 3. Period 1 broadly equates to the late Hallstatt on the continent, period 2 to La Tène I, and period 3 to La Tène II and III. Hawkes's scheme is often recalled but rarely used."
"Abejas Phase","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>Abejas Phase</b><span class=""red""><b><i>[CP].</b></i></span>
<div class=""content"">Fourth main phase of activity in the Tehuacán Valley of Mexico, dating to the period 4300&ndash;3000 bc, marked archaeologically by the appearance of semi-permanent villages of pit houses, new species of plant food, long obsidian blades, and possibly the cultivation of cotton. Agriculture supplies up to 25 per cent of food requirements during this phase."
"Abercromby Lord John","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>Abercromby Lord John</b></b> (1841&ndash;1924) <span class=""red""><b><i>[Bi].</b></i></span>
<div class=""content"">Scottish antiquary who specialized in the prehistory of northwest Europe. Born the 5th Baron of Aboukir and Tullibody, he served in the army from 1858 to 1870 before devoting himself to scholarship and especially philology, archaeology, and folklore. He travelled widely and mastered several European languages, including Finnish. In 1904 he introduced the term <a href=""entry://beaker""><span class=""links"">‘BEAKER’</span></a> into the literature to refer to the late Neolithic decorated drinking vessels often associated with burials of the period. The term has remained in use ever since, although Abercromby's original subdivision into three types&mdash;A, B, and C&mdash;has since been modified. In 1912 he published in two volumes <i>A study of Bronze Age pottery in Great Britain and Ireland</i> (Oxford: Clarendon Press). Throughout his later life he supported the work of the Society of Antiquaries of Scotland and was their President from 1913 to 1918. In his will he founded and endowed the Abercromby Chair of Archaeology in the University of Edinburgh, the first two incumbents being Gordon Childe and Stuart Piggott respectively.<br class=""nLine"" />[Obit: <i>Proceedings of the Society of Antiquaries of Scotland</i>, 59, 4&ndash;6]</div>"
"Abingdon ware","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>Abingdon ware</b><span class=""red""><b><i>[Ar].</b></i></span>
<div class=""content"">A type of middle Neolithic round-bottomed decorated pottery found in the upper Thames valley and central parts of England, one of the regional variations of the so-called Southern Decorated series. Dates mainly to the 4th millennium <small class=""smCap"">bc</small>."
