"1992 Committee","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>1992 Committee</b><div class=""content"">Committee of the back-bench members of the Conservative Party in the House of Commons, which acts as a link between the back-bench and the party leadership.<br class=""nLine"" /></div>"
"absolutism","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>absolutism</b><div class=""content"">Originally (1733) a theological concept referring to God's total power to decide about salvation. Extended to politics indicating a regime in which the ruler might legitimately decide anything. Usually applied to monarchical regimes of the early modern period, chiefly that of Louis XIV of France, although the term was not used politically until towards the end of the eighteenth century when many such regimes were about to disappear. Unlike tyrannies, absolutist regimes are usually seen to have been legitimate, as indicated by Louis XVI of France in November 1788, just before the <a href=""entry://French Revolution""><span class=""links"">French Revolution</span></a>, when he said to his cousin, the duc d'Orléans (father of the future king Louis Philippe, 1830&ndash;48), that any decision he made was legal because he willed it. Some contemporary historians deny that absolutism ever referred to an unlimited power or authority, but was always restricted by traditions and practices which effectively limited its scope.<br class=""nLine"" />CS&nbsp;</div>"
"accountability","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>accountability</b><div class=""content"">The requirement for representatives to answer to the represented on the disposal of their powers and duties, act upon criticisms or requirements made of them, and accept (some) responsibility for failure, incompetence, or deceit. Members of a legislature may be brought to account for their voting record by party officials such as <a href=""entry://whip""><span class=""links"">whips</span></a>, their local parties, or their constituents. Government ministers are accountable additionally for government decisions to a legislature and the voting public. In Britain it is intended that ministers observe the concepts of both individual <a href=""entry://individual ministerial responsibility""><span class=""links"">ministerial responsibility</span></a> and <a href=""entry://collective responsibility""><span class=""links"">collective responsibility</span></a>, and find parliamentary debate, select committee investigations, and the media the key forums in which their accountability is maintained. The accountability of bureaucrats varies according to their level of politicization. For example, in the USA officials of an administration are political appointees who may be required to take personal responsibility for their actions. In Britain, however, while they may be asked to answer questions before a <a href=""entry://select committee""><span class=""links"">select committee</span></a>, civil servants are nominally neutral and are made accountable for their actions only in cases of maladministration. Otherwise it is assumed that their actions are taken on behalf of ministers, and, hence, accountability for their actions is maintained through the concept of individual ministerial responsibility.<br class=""nLine"" />Arguments may be advanced that politicians and officials can be made too accountable, thus hampering them in carrying out their duties and powers. However, in Britain concern is more frequently expressed about the weakness of accountability. Ministers in practice do not observe the concept of ministerial responsibility for their own actions. At the same time reforms have blurred the hierarchic organization of the civil service which underpinned the concept of ministerial responsibility. More generally, complaint is made that there is a lack of accountability for key parts of government activity, such as the security services. Similarly, the proliferation of <a href=""entry://quango""><span class=""links"">quangos</span></a> enables their officials to refer inquiries made by the public to the parliamentary process and ministers to refer MPs' inquiries to quango officials.<br class=""nLine"" />JBr&nbsp;</div>"
"Adams, John","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>Adams, John</b><div class=""content""><i>(1735&ndash;1826)</i><br class=""nLine"" /> American revolutionary politician and political theorist. Trained as a lawyer in Massachusetts, he helped formulate the argument that the US colonies had never legitimately been subject to the jurisdiction of the British parliament. After independence he was the intellectual leader of the conservative wing of the revolution, arguing in his <i>Defence of the Constitutions… of the USA</i> (1787) that the Senate ought to be chosen from among the rich and the intelligent. Until <i>c.</i>1796 he nevertheless retained a friendship with the much more radical <a href=""entry://Jefferson, Thomas""><span class=""links"">Jefferson </span></a>, perhaps because of their common exposure to the French <a href=""entry://Enlightenment, French""><span class=""links"">Enlightenment</span></a> when they had been diplomats in the 1780s. The friendship was broken by Adams's partisan Presidency (1797&ndash;1801), although Adams was less extreme in his partisanship of urban, commercial policies than the fiery <a href=""entry://Hamilton, Alexander""><span class=""links"">Hamilton </span></a>. It was resumed in 1812 and led to a warm and wise exchange of letters which ended with the death of both men on the same day&mdash;4 July 1826, the fiftieth anniversary of the signing of the Declaration of Independence.<br class=""nLine"" /></div>"
"additional member system","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>additional member system</b> (AMS)<div class=""content"">Any system of <a href=""entry://proportional representation""><span class=""links"">proportional representation</span></a> in which a set of representatives is chosen to supplement those chosen by some other route in such a way that the house, overall, is proportionately representative of the votes cast. The additional members are sometimes also called ‘top-up’ members. The best-known AMS is used for the German parliament, where voters have two votes. With the first, they elect a single constituency MP by the <a href=""entry://plurality""><span class=""links"">plurality</span></a> (‘first-past-the-post’) rule. With the second, they shape the overall party composition of the house. Additional members (additional, that is, to those elected in the single-member districts) are elected in such numbers as required to ensure that the house reflects the vote shares gained by the parties in the second votes. The electoral systems in Belgium, Denmark, and Sweden also have an AMS component.<br class=""nLine"" /></div>"
"Adenauer, Konrad","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>Adenauer, Konrad</b><div class=""content""><i>(1876&ndash;1967)</i><br class=""nLine"" /> West Germany's first Chancellor (1949&ndash;63). Adenauer was deposed as Mayor of Cologne by the Nazis in 1933, and imprisoned twice before 1945. After the war, he led the newly constituted centre-right Christian Democratic Union. His tenure as Chancellor was notable for Germany's accession to NATO, co-founding the EEC in 1957, and the construction of the ‘social market economy’ combining free market capitalism with state responsibility for citizens' welfare.<br class=""nLine"" />SW&nbsp;</div>"
"adjournment","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>adjournment</b>
<i>(debate)</i><div class=""content"">Adjournment is the procedure by which the sitting of a legislature is brought to a close. In the House of Commons each day's sitting ends with a motion ‘That this House do now adjourn’, when, in a debate lasting half an hour, members can raise any matter of concern; one of the few opportunities for private members to initiate debate. The House may adjourn if Members are disorderly, or if there is not a <a href=""entry://quorum""><span class=""links"">quorum</span></a> of members present. During a debate an adjournment motion may be proposed as a means of blocking the passage of a measure. Unless the measure is backed by the government, adjournment normally means that it fails.<br class=""nLine"" /></div>"
"administrative law","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>administrative law</b><div class=""content"">The law relating to the control of government power, including the detailed rules which govern the exercise of administrative decision taking. Despite A. V. Dicey's reluctance in his <i>Law of the Constitution</i> (1885) to accept the idea of specific and specialized legal rules governing administrative decisions, English law has developed administrative law especially since <i>c.</i>1960. Lord Diplock in 1982 regarded the development of English administrative law ‘as having been the greatest achievement of the English Courts in my judicial lifetime’. Primarily the courts have developed general principles to ensure that all public authorities must act within the powers granted to them by Act of Parliament. Such principles include reasonableness in making decisions and principles of natural justice to ensure fair procedure. Discretion must not be abused and decisions must be made according to law and not outside the powers of the Act, which might make them <a href=""entry://ultra vires""><span class=""links"">ultra vires</span></a>. Under section 31 of the Supreme Court Act 1981, and Rules of the Supreme Court, Order 53, an applicant may seek <a href=""entry://judicial review""><span class=""links"">judicial review</span></a>. This procedure permits an application for such remedies as a judicial order or damages as is appropriate to the facts of the case. The various remedies available under English law are mandamus, prohibition, or <i>certiorari</i> and the private law group of remedies such as declaration, injunction, or damages. Leave to apply for judicial review must first be obtained in the Crown Office before a judge and usually on affidavit or written evidence. Once leave is granted there may be a hearing of the case where all the parties may be represented. The matter which is the subject of complaint must be a ‘public law’ question and the courts have defined the exact meaning of this term on a case-by-case basis since the House of Lords decision in <i>O'Reilly v Mackman</i> [1983] AC 237. Applications for judicial review have steadily increased over the years with approximately 2,500 applicants made each year. The subjects for review extend from immigration disputes, housing, local government, and planning matters.<br class=""nLine"" />The English system of administrative law has developed on a case-by-case basis in marked contrast to administrative law in both the United States and in France, which owes its development to the nature of the written constitution in both jurisdictions.<br class=""nLine"" />JM&nbsp;</div>"
"Adorno, Theodor W.","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>Adorno, Theodor W.</b><div class=""content""><i>(1903&ndash;69)</i><br class=""nLine"" /> German philosopher, leading figure of the <a href=""entry://Frankfurt School""><span class=""links"">Frankfurt School</span></a> and exponent of Marxist Critical Theory. Although famous for his philosophical writings he also published widely on music and aesthetics. His main philosophical works were, <i>Dialectic of Enlightenment</i> (1947), which he co-wrote with Max Horkheimer ; <i>Minima Moralia</i>, (1951); and <i>Negative Dialectics</i> (1966). In <i>Dialectic of Enlightenment</i> Adorno elaborated on the work of both Walter Benjamin and Friedrich Pollock . Benjamin was disenchanted with the Marxist faith in historical progress while Pollock was asserting that intervention in the economy had dissipated socialism as an alternative to authoritarian or democratic forms of state capitalism. Such arguments led Adorno to see capital's domination as permeating the whole of society. Control and manipulation of the masses took place through a standardized ‘culture industry’ which negated individuality and freedom. Such an ideological stranglehold led Adorno to conclude that working-class resistance was all but extinguished. <i>Minima Moralia</i> marked his rejection of Hegelian Marxism with his assertion that ‘the whole is the false’ in contradistinction to <a href=""entry://Hegel, Georg Wilhelm Friedrich""><span class=""links"">Hegel's </span></a> claim that ‘the true is the whole’. This was reasserted in <i>Negative Dialectics</i> where he argued that the dialectic did not reach a unity between universal and particular as Hegel had thought. Rather, it led to a non-identity where universality is in the ascendant over particularity. This argument, coupled with his observation that philosophy lives on only because the moment to realize it was missed, encapsulates the pessimism of Adorno's thought within the Marxist tradition. In empirical work, Adorno was also associated with the development of the concept of the <a href=""entry://Authoritarian Personality""><span class=""links"">Authoritarian Personality</span></a>. See also <a href=""entry://reification""><span class=""links"">reification</span></a>.<br class=""nLine"" />IF&nbsp;</div>"
"adversary politics","<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css"" />
<b>adversary politics</b><div class=""content"">Term coined by S. E. <a href=""entry://Finer, S. E.""><span class=""links"">Finer </span></a> in his edited book <i>Adversary Politics and Electoral Reform</i> (1975) for the British parliamentary system, which he characterized as ‘a stand-up fight between two adversaries for the favour of the lookers-on’. He argued that the Labour and Conservative parties had become locked into sterile confrontation of extremisms, which might be broken by electoral reform, to which he was a recent convert. Supporters of the adversary politics hypothesis point to the debasement of parliamentary debate and Question Time; opponents variously argue that the adversaries were not adversarial on everything (for instance, in their common opposition to electoral reform) and that adversary politics was a temporary pathology.<br class=""nLine"" /></div>"
