- 和所有	- and all
- 成為	- to-be
- 流行音樂	- a pop
- 請講	- speaking
- 那是	- that was
一下子	in a snap
一些大小	of some size
一些希望	some hope
一些東西	something of
一件事	a matter of
一件事	for one thing
一件事和另一件事	one thing and another
一件事導致另一件事	one thing leads to another
一份好工作	a good job
一例	case in point
一個	for one
一個glut子的懲罰	a glutton for punishment
一個下去	go off on one
一個乾淨的健康賬單	a clean bill of health
一個事實的生活	a fact of life
一個人住在哪裡	where one lives
一個人的喜好	for one's liking
一個人的堅果	off one's nut
一個人的時間	bide one's time
一個人的背部轉身	one's back is turned
一個信仰的文章	an article of faith
一個傻瓜和他的錢很快就分手了	a fool and his money are soon parted
一個僵硬的上唇	a stiff upper lip
一個公平的競爭環境	a level playing field
一個切割上面	a cut above
一個原始的交易	a raw deal
一個和所有	one and all
一個國家	one nation
一個國王的贖金	a king's ransom
一個圓形孔的方形釘	a square peg in a round hole
一個在陽光下的地方	a place in the sun
一個垂死的品種	a dying breed
一個堅硬的堅果破解	a hard nut to crack
一個堅韌的堅果破解	a tough nut to crack
一個大黃蜂巢	a hornets' nest
一個好話	a good word
一個好轉應該是另一回事	one good turn deserves another
一個字給智者	a word to the wise
一個完成的交易	a done deal
一個小事	a trifle
一個小財富	a small fortune
一個巴掌拍不響	it takes two to tango
一個幫手	a helping hand
一個很好的小收入	a nice little earner
一個很高的訂單	a tall order
一個必要的邪惡	a necessary evil
一個快一個	a quick one
一個意見的問題	a matter of opinion
一個或兩個	one or two
一個戲劇的話	a play on words
一個接一個	one by one
一個新的	a new one
一個早期的墳墓	an early grave
一個月的味道	flavour of the month
一個月的時間	time of the month
一個杯子的遊戲	a mug's game
一個標記	one's mark
一個正確的	a right one
一個清晨	an early night
一個漂亮的一分錢	a pretty penny
一個火球	a ball of fire
一個男人的男人	a man's man
一個直的臉	a straight face
一個粗暴的車	a rough ride
一個纏結的網頁	a tangled web
一個肉體	one flesh
一個肩膀哭泣	a shoulder to cry on
一個芯片在肩上	a chip on one's shoulder
一個芯片掉了舊的塊	a chip off the old block
一個觀察的鍋從不沸騰	a watched pot never boils
一個討厭的人	a nasty one
一個記錄的問題	a matter of record
一個跳躍	one jump ahead
一個踢在牙齒	a kick in the teeth
一個達到目的的手段	a means to an end
一個預期的結論	a foregone conclusion
一兩件事	a thing or two
一分未得	scoreless
一分耕耘一分收穫	no pain, no gain
一分鐘	by the minute
一切 -	all the - 
一切嚴肅	in all seriousness
一切手段	by all means
一切無辜	in all innocence
一切都	one's all
一切都不會丟失	all is not lost
一切都好	all to the good
一切都結束了	all ends up
一切都走了	all the go
一切順利結束	all's well that ends well
一半的	the half of it
一半的戰鬥	half the battle
一半的時間	half the time
一半的機會	half a chance
一口清新的空氣	a breath of fresh air
一口餵食	a mouth to feed
一句話	at a word
一句話	in a word
一堆五味子	bunch of fives
一塊一片	piece by piece
一塊小便	a piece of piss
一塊水	piece of water
一塊蛋糕	a piece of cake
一壺金	pot of gold
一大堆	a big deal
一大堆	a great many
一天	by the day
一天	one day
一天一天	day in, day out
一天休息	break of day
一天的光	the light of day
一天的順序	the order of the day
一如既往	as always
一對一	one for one
一年又一天	a year and a day
一式三份	in triplicate
一式兩份	in duplicate
一式四份	in quadruplicate
一張玫瑰床	a bed of roses
一手交錢一手交貨	cash and carry
一把	fistful
一把雙刃劍	a double-edged sword
一擊即中	put a sock in it
一擲一息	a stone's throw
一整	after a sort
一會兒	in a moment
一朝被蛇咬十年怕井繩	once bitten, twice shy
一本開放的書	an open book
一束歡樂	a bundle of joy
一束神經	a bundle of nerves
一杯	glassful
