you wouldn't read about it
you reap what you sow
you could have fooled me!
you can say that again!
you ain't seen nothing yet
wrap someone in cotton wool
wrap oneself in the flag
wouldn't you like to know?
with the best of them
with egg on one's face
wipe something off the map
who's she-the cat's mother?
whistle something down the wind
where there's muck there's brass
where someone is coming from
when the spirit moves someone
when the chips are down
when the balloon goes up
when push comes to shove
what someone is driving at
what planet are you on?
what goes around comes around
wham-bam-thank-you-ma'am
wear oneself to a shadow
water off a duck's back
watch the world go by
watch someone like a hawk
warn someone off the course
war to end all wars
walk someone off their feet
walk before one can run
up to one's neck in
up to one's elbows in
up to one's ears in
up hill and down dale
two's company, three's a crowd
turn up one's nose at
turn over a new leaf
turn one's nose up at
turn one's hand to something
touch someone on the raw
to whom it may concern
to one's way of thinking
to be going on with
to all intents and purposes
till the cows come home
tied to someone's apron strings
tie someone hand and foot
throw someone under the bus
throw someone to the wolves
throw someone to the lions
throw someone to the dogs
throw oneself on someone's mercy
throw in one's lot with
throw good money after bad
throw dust in someone's eyes
thin end of the wedge
there's no law against it
there is nothing to it
there is no holding someone
the world is your oyster
the world and his wife
the word on the street
the windows of the soul
the whole ball of wax
the weight of the world
the way of the world
the way of the Cross
the watches of the night
the villain of the piece
the top of the tree
the tip of the iceberg
the time of one's life
the thrill of the chase
the thick end of something
the tail wags the dog
the tail of one's eye
the small of the back
the sleep of the just
the sky is the limit
the school of hard knocks
the salt of the earth
the rub of the green
the roof of the world
the point of no return
the patter of tiny feet
the path of least resistance
the order of the day
the only game in town
the object of the exercise
the nature of the beast
the name of the game
the man in the moon
the lull before the storm
the luck of the draw
the lowest of the low
the line of least resistance
the light of one's life
the length and breadth of
the law of the jungle
the land of the free
the joker in the pack
the great and the good
the gift of the gab
the ghost in the machine
the fruit of the vine
the female of the species
the fact of the matter
the face of the earth
the eye of a needle
the exception proves the rule
the end of the world
the end of the road
the end of the line
the end of one's tether
the end justifies the means
the elephant in the room
the devil's in the detail
the cut of someone's jib
the calm before the storm
the birds and the bees
the benefit of the doubt
the beginning of the end
the ball of the thumb
the ball of the foot
the back of one's mind
the back of an envelope
the apple of one's eye
the answer to someone's prayers
the angel in the house
that will be the day
that makes two of us
that is as may be
terminate someone with extreme prejudice
tell that to the marines
tell something a mile off
tell it like it is
tear someone limb from limb
talk out of one's arse
talk nineteen to the dozen
take time by the forelock
take the starch out of
take the easy way out
take something in good part
take someone's name in vain
take someone to the woodshed
take someone to the cleaners
take someone out of themselves
take someone into one's confidence
take someone for a ride
take someone at their word
take one's hat off to
take leave to do something
take leave of one's senses
take it or leave it
take it on the chin
take a woman to wife
take a poor view of
take a poke at someone
take a dim view of
take a bite out of
sweep something under the carpet
sweep someone off their feet
strike someone off the roll
stew in one's own juice
step up to the plate
stand up and be counted
stand the test of time
stand someone in good stead
stab someone in the back
something nasty in the woodshed
someone's tongue is hanging out
so as to do something
small profits and quick returns
sleep with one eye open
slap someone on the back
shuffle off this mortal coil
shout something from the rooftops
shout something from the housetops
shoot oneself in the foot
shape up or ship out
set the wheels in motion
set someone's teeth on edge
send someone to the showers
send someone about their business
sell someone down the river
see the new year in
see the light of day
scare the bejesus out of
safe in the knowledge that
run someone out of town
run oneself into the ground
run before one can walk
rob Peter to pay Paul
reduce someone to the ranks
red in tooth and claw
read someone the Riot Act
read someone like a book
ram something down someone's throat
put words into someone's mouth
put up or shut up
put two and two together
put the tin lid on
put the hard word on
put something up the spout
put something out to tender
put something into someone's head
put someone out to pasture
put someone on their mettle
put someone on the spot
put someone off their stroke
put someone in mind of
put oneself in another's place
put one's finger on something
put one's best foot forward
put one's affairs in order
put on one's thinking cap
put ideas into someone's head
put a sock in it
pull out all the stops
principal in the second degree
principal in the first degree
pour oil on troubled waters
play ducks and drakes with
penny wise and pound foolish
pat someone on the back
pass the time of day
paint oneself into a corner
out of a clear sky
one's best bib and tucker
one thing leads to another
one in the eye for
one good turn deserves another
once in a blue moon
on top of the world
on the wrong side of
on the up and up
on the right side of
on the outside looking in
on the face of it
number one, number two, etc.
not to be sniffed at
not to be sneezed at
not see someone for dust
not right in the head
not put it past someone
not pay someone any mind
not one's idea of fun
not one's cup of tea
not know what hit one
not know someone from Adam
not know shit from Shinola
not know one is born
not in the same street
not for love or money
not do things by halves
not by a long chalk
not be worth a damn
not a moment too soon
not a hope in hell
not a bit of it
no two ways about it
no rest for the wicked
no peace for the wicked
no news is good news
no names, no pack drill
nip something in the bud
nine times out of ten
new variant Creutzfeldt-Jakob disease
never the twain shall meet
my way or the highway
mind one's Ps &amp; Qs
mention someone in one's will
match someone stride for stride
marry with the left hand
many hands make light work
make up for lost time
make someone's blood run cold
make sheep's eyes at someone
make no secret of something
make head or tail of
make an honest woman of
make an exhibition of oneself
make an ass of oneself
make a spectacle of oneself
make a pig's ear of
make a pig of oneself
make a name for oneself
make a fight of it
make a drama out of
make a dead set at
love me, love my dog
look someone up and down
look on the bright side
look on the black side
look down one's nose at
live to tell the tale
live to fight another day
live out of a suitcase
listen with half an ear
like turkeys voting for Christmas
like a ton of bricks
like a dose of salts
like a blue-arsed fly
light a fire under someone
life in the fast lane
let it all hang out
leave something out of account
lead someone up the aisle
lead someone to the altar
lead someone by the nose
lead someone a merry dance
lay something on the table
lay something at someone's door
lay it on the line
lay a finger on someone
know what one is about
know something for a fact
knock the bottom out of
knock something on the head
knock someone on the head
knock someone off their perch
knee-high to a grasshopper
kick the shit out of
kick someone in the teeth
keep up with the Joneses
keep something under one's hat
keep one's nose out of
keep one's head above water
keep body and soul together
keep a weather eye on
keep a tight rein on
jump out of one's skin
jump in with both feet
it's the thought that counts
it takes two to tango
it is all up with
in words of one syllable
in this day and age
in the nick of time
in the nature of things
in the line of duty
in the lap of luxury
in the fullness of time
in order to do something
in one's heart of hearts
in more ways than one
in all one's born days
in a state of nature
in a manner of speaking
if you'll pardon the expression
how the other half lives
hot on the heels of
honesty is the best policy
hoist with one's own petard
hit someone below the belt
here's mud in your eye!
he who hesitates is lost
have stars in one's eyes
have something to one's credit
have something on good authority
have something at one's feet
have someone's number on it
have someone's name on it
have someone's guts for garters
have skin in the game
have seen it all before
have only oneself to blame
have one's work cut out
have one's day in court
have one over the eight
have nothing to do with
have had a good innings
have eyes like a hawk
have blood on one's hands
have ants in one's pants
have an axe to grind
have a way with one
have a mountain to climb
have a heart of gold
have a hand in something
haul someone over the coals
hang someone out to dry
handsome is as handsome does
hand in one's dinner pail
grin like a Cheshire cat
good wine needs no bush
go to the stake for
go out of one's way
go out like a light
go on one's merry way
go off the deep end
go from strength to strength
go down the wrong way
give the devil his due
give someone up for lost
give someone the hairy eyeball
give someone the glad eye
give someone the big E
give someone a hard time
give someone a bloody nose
give it one's best shot
get to the bottom of
get something off one's chest
get out of someone's face
get one's nose in front
get one's creative juices flowing
get no change out of
get down to brass tacks
get a word in edgeways
get a bang out of
