一	one
一世	i
一些	several
一些	some
一個	a
一個	an
一分錢	penny
一切	every
一切	everything
一半份額	half-share
一口	morsel
一同熬煮	scepters
一塵不染	spotless
一夜暴富	flourishes
一定	necessarily
一定	surely
一室	one-room
一審宣判	verdicts
一對	couple
一巴掌	spank
一心一意	intently
一心一意	undivided
一扔	fling
一把	handfuls
一旦	once
一會兒	awhile
一月	January
一概毫不介意	heeds
一樣	alike
一樣	equally
一歲	one-year-old
一歲	yearling
一歲鴿	yearlings
一生	lifetime
一直	continuously
一瞥	glance
一群	swarm
一致	concerted
一致	unanimous
一致	unanimously
一般	general
一般	normally
一貫	consistent
一貫	persistent
一起	together
一部分	portion
丁字褲	thong
丁字褲	thongs
七	seven
七倍	sevenfold
七十	seventy
七十七	seventy-seven
七十二	seventy-two
七十五	seventy-five
七嘴八舌	rushes
七天	seven-day
七弦琴	lyre
七月	July
丈夫	husband
丈夫	husbands
三	three
三分之一	one-third
三分之二	Two-thirds
三十	thirty
三十一	thirty-one
三十七	thirty-seven
三十三	thirty-three
三十九	thirty-nine
三十二	thirty-two
三十四	thirty-four
三十歲	three-year-old
三年	three-year
三文魚	Salmon
三管齊下	three-pronged
三重編織	triple-braided
上	on
上	upon
上	upper
上下文	context
上升	ascending
上升	ascends
上升	ascent
上升	rise
上升	risen
上升	rises
上午	am
上吊	hanged
上市	listed
上市	listings
上市	public
上帝賜予的	God-given
上撒們	Zalmon
上游	upstream
上當	fooled
上等	choicest
上衣	tops
上訴	appeal
上訴	appealed
上訴	appeals
上調	raised
上邊	upside
下	down
下	inferior
下	under
下	underneath
下一個	next
下午	afternoon
下巴	chin
下擺	hem
下放大	enlarges
下旨	decreed
下沉	sinking
下滑	slipped
下腳料	scraps
下調	slashed
下跌	fell
下跌	tumble
下跪	kneel
下轄	presides
下降	declined
下降	descended
下降	descends
下降	drop
下降	dropped
下降	falls
下雨	rained
下雨	raining
下面	below
下面	beneath
下馬	dismounted
不	aren't
不	does
不	doesn't
不	isn't
不	not
不	wasn't
不	weren't
不久	shortly
不久	soon
不休	endlessly
不信	unbelief
不信	unbeliever
不信	unbelievers
不信	unbelieving
不值得	undeserving
不值得	unworthy
不停	kept
不像	unlike
不公	unjust
不公平	unfair
不公平	unfairly
不公正	injustice
不公正	unjustly
不動	motionless
不動搖	unmoved
不友好	unfriendly
不反對	unopposed
不受干擾	undisturbed
不可戰勝的	invincible
不可接受	unacceptable
不可控	uncontrollable
不可撤銷	irrevocable
不可改變的	unchangeable
不可救藥	incurable
不可能	impossible
不合理	unreasonable
不合理的	irrational
不同	differ
不同	different
不同	differently
不同	distinct
不同意	disagree
不同意	disagreed
不同意	disagreeing
不和	discord
不和諧	tuneless
不堪忍受	unbearable
不堪重負	overwhelmed
不孕不育	infertility
不安	disturbed
不安	restless
不安	uneasy
不完美	imperfectly
不害怕	unafraid
不寒而栗	shivers
不寒而栗	shudder
不屈	unbending
不屈	unyielding
不幸	misfortune
不幸	wretchedness
不必要	needless
不必要	unnecessary
不忠	faithlessness
不忠	unfaithful
不忠實	disloyalty
不忠的	disloyal
不快	displeased
不快樂	unhappy
不怕	fearless
不恭	disrespectful
不愉快	displeasure
不成功	unsuccessful
不敬	irreverent
不料	unexpectedly
不斷	ceaseless
不斷	continually
不斷	unceasing
不斷增加	ever-increasing
不斷擴大	ever-widening
不會	wouldn't
不服從	disobedience
不朽	immortality
不朽	undying
不法	lawless
不法分子	outlaws
不淨	ungodliness
不減	unabated
不滅	unquenchable
不滿	discontented
不滿意	unsatisfied
不甘	unwilling
不甘心	reconciled
不畏	defying
不當	improper
不當	undeserved
不知何故	somehow
不知所措	bewildered
不知道	unaware
不確定	uncertain
不確定	uncertainty
不確實	untrue
不祥	ominously
不穩定	unstable
不純	impure
不純	impurity
不經意	carelessly
不羈	unruly
不義之財	ill-gotten
不耐煩	impatient
不能	can't
不能	cannot
不能	couldn't
不能	shouldn't
不舒服	discomfort
不良	unhealthy
不要臉	shameless
不誠實	dishonest
不誠實	dishonestly
不誠實	dishonesty
不變	constant
不變	unchanged
不變	unchanging
不贊成	disapproval
不足	lacking
不道德	immoral
不適當	unfit
不重要	unimportant
不重要的	trivial
不錯	nice
不需要	unwanted
不靈	ineffective
不顧一切	recklessly
不鼓勵	discourage
丕hahiroth	Pi-hahiroth
世俗	secular
世俗	worldly
世界	world
世界末日	Armageddon
丘陵	hills
丟	Pontius
丟失	lost
丟棄	discard
丟棄	discarded
丟棄	discarding
丟特腓	Diotrephes
並肩	alongside
中	during
中	medium
中	within
中介	intermediary
中介	mediates
中午	noon
中午	noontime
中央	center
中央	central
中山裝	tunic
中年	midlife
中心	centered
中心	centers
中毒	poisoned
中毒	poisoning
中秋	midautumn
中繼	relay
中途	midway
中間	middle
中間	midst
中間人	mediator
中隔離	separates
串	string
串起	strung
丸	pill
丹家安	Dan-jaan
丹尼爾	Daniel
主	lord
主	master
主	primary
主人	masters
主動	driving
主導	guiding
主張	advocate
主持	officiate
主持	preside
主持	presided
主權	dominion
主權	sovereignty
主管	responsible
主要	main
主要	prime
主要	principal
主辦	host
主題	subjects
乃示利希	Shilhi
乃縵	Naaman
之前	before
之前	preceded
之後	afterward
之間	between
乖	behaved
乖乖	obediently
乘	multiplies
乘	multiply
乘以	multiplied
九	nine
九十	ninety
九月	September
乞丐	beggar
乞丐	beggars
乞求	begs
乞討	begging
也	also
也不	neither
也不	nor
也許	maybe
也許	perhaps
也跳得厲害	quaked
乳房	breast
乳房	breasts
乳香	frankincense
乾了	dries
乾旱	arid
乾旱	drought
乾杯	cheers
乾枯	withered
乾涸	dried-up
乾癟	shriveled
乾草	hay
亂	disorderly
亂兵	looters
亂兵	marauders
亂堆	huddle
亂收費	overcharged
亂石	stoning
亂花	squandering
了不起	terrific
了解	understood
事	things
事件	event
事件	events
事件	happening
事件	incident
事務	affair
事務	affairs
事實	fact
事實	facts
事情	thing
事故	accident
事與願違	backfires
事項	matters
二	two
二十	twenty
二十一	twenty-first
二十一	twenty-one
二十七	twenty-seven
二十三	twenty-three
二十九	twenty-nine
二十二	twenty-two
二十五	twenty-five
二十四	twenty-four
二十蒲式耳	twenty-bushel
二把手	second-in-command
二月	February
二等	second-class
互不侵犯	nonaggression
五	five
五分之一	one-fifth
五分之三	three-fifths
五分之四	four-fifths
五十	fifty
五十五	fifty-five
五子	Abital
五山送	Gozan
五旬節	Pentecost
五面	five-sided
井	wells
亞伯keramim	Abel-keramim
亞伯伯瑪迦	Abel-beth-maacah
亞伯尼歌	Abednego
亞伯拉罕	Abraham
亞伯皂莢	Abel-shittim
