鼓舞人心的	encouraging
麻煩製造者	troublemaker
駭人聽聞的	appalling
餵養得很好	well-fed
頭腦簡單的	simpleminded
非常不幸地	miserably
電話·阿比	Tel-abib
難以置信的	Unbelievable
阿爾菲厄斯	Alphaeus
阿波羅尼亞	Apollonia
阿多尼卡姆	Adonikam
阿多尼勒姆	Adoniram
阿什脫雷思	Ashtoreth
閃閃發光的	sparkling
閃閃發光的	shimmering
閃閃發光的	gleaming
長子繼承權	birthright
邪惡的心腸	Evil-hearted
還有米所巴	Jamlech
達爾馬提亞	Dalmatia
迦特-臨門	Gath-rimmon
貝絲·拉法	Beth-rapha
說不出話來	speechless
被驅逐出境	deported
薩莫色雷斯	Samothrace
萊桑尼亞斯	Lysanias
花言巧語的	smooth-tongued
興高采烈地	gleefully
自掃門前雪	minding
臨時抱佛腳	crammed
臥床不起的	bedridden
綿羊剪羊毛	sheep-shearers
索斯特內斯	Sosthenes
約施比加沙	Joshbekashah
精心設置的	well-set
米格代爾迦	Migdal-gad
米施利米雅	Meshelemiah
第四十一屆	forty-first
第二十四屆	twenty-fourth
第二十六屆	twenty-sixth
第二十二屆	twenty-second
科尼利厄斯	Cornelius
盲目崇拜的	idolatrous
發育過度的	overgrown
狄奧尼修斯	Dionysius
特爾蒂烏斯	Tertius
無政府狀態	anarchy
死亡的打擊	deathblow
極好的裝備	tooled
森納赫里布	Sennacherib
普布利烏斯	Publius
放得太多的	heaping
拉瑪的拿約	Naioth
所羅門群島	Solomons
懷有惡意地	spitefully
思想開明的	open-minded
心理諮詢師	counselors
從人的角度	humanly
底格里斯河	Tigris
幼發拉底河	Euphrates
帖撒羅尼迦	Thessalonica
希拉波利斯	Hierapolis
布巴斯提斯	Bubastis
巴力赫爾蒙	Baal-hermon
巴力毗拉心	Baal-perazim
尼科迪默斯	Nicodemus
尼布甲尼撒	Nebuchadnezzar
安普亞特斯	Ampliatus
奔亞比拿達	Ben-abinadab
外國出生的	foreign-born
基列·巴力	Kiriath-baal
埃塞俄比亞	Ethiopian
埃塞俄比亞	Ethiopia
埃克巴塔拉	Ecbatana
土生土長的	native-born
哈達·臨門	Hadad-rimmon
和平締造者	peacemakers
厄貝雅塔爾	Abiathar
即將到來的	impending
卡帕多西亞	Cappadocia
千夫長押拿	Adnah
加布里埃爾	Gabriel
克里斯普斯	Crispus
傑霍薩達克	Jehozadak
偶像崇拜者	idolater
信心十足地	confidently
佔主導地位	dominated
伯阿爾貝爾	Beth-arbel
伯巴力米恩	Beth-baal-meon
伯亞斯瑪威	Beth-azmaveth
伊拉斯塔斯	Erastus
亞述巴尼拔	Ashurbanipal
亞蘭·瑪迦	Aram-maacah
亞多尼洗德	Adoni-zedek
亞多尼比色	Adoni-bezek
亞伯米何拉	Abel-meholah
亞伯伯瑪迦	Abel-beth-maacah
二十蒲式耳	twenty-bushel
也跳得厲害	quaked
不可改變的	unchangeable
不可戰勝的	invincible
上帝賜予的	God-given
點點滴滴	morsels
麻風病人	lepers
麻風病人	leper
麵包師傅	baker
麥基舒亞	Malkishua
麥基洗德	Melchizedek
鬼鬼祟祟	sneaking
鬥毆事件	brawls
鬥智斗勇	wits
高高興興	happily
高速公路	highway
骨瘦如柴	scrawny
驚慌失措	panicked
驚天動地	shattering
驅逐出境	deport
馬蒂亞斯	Matthias
馬爾基爾	Malkiel
馬爾休斯	Malchus
餓壞了的	ravenous
風暴重創	storm-battered
頭髮花白	gray-haired
頭腦清晰	clear-eyed
預料到的	predicted
預先安排	prearranged
革尼撒勒	Gennesaret
靠近摩利	Moreh
非精神的	unspiritual
非生產性	unproductive
非常討厭	loathing
非利士人	Philistines
震撼人心	humbling
電話·戒	Tel-harsha
雷霍博姆	Rehoboam
雨後春筍	springing
難以置信	incredible
雅撒尼亞	Jaazaniah
隨地吐痰	spitting
除此以外	otherwise
阿雷塔斯	Aretas
阿蒂米斯	Artemis
阿荷利巴	Oholibah
阿茲列爾	Azriel
阿納達布	Ahinadab
阿糖胞苷	Ara
阿比蓋爾	Abigail
阿比書亞	Abishua
阿格里帕	Agrippa
阿拉伯人	Arabs
阿拉伯人	Arabians
阿德里亞	Adria
阿尼色弗	Onesiphorus
阿姆拉姆	Amram
阿塞納絲	Asenath
阿佩萊斯	Apelles
阿佐圖斯	Azotus
阿什杜德	Ashdod
阿什凱隆	Ashkelon
防腐處理	embalmed
防禦工事	fortifications
閃閃發光	sparkled
閃閃發光	shone
長期冷清	long-deserted
鐵青的臉	ashen-faced
金光閃閃	glittering
野生動物	wildlife
重音符號	accented
重新開放	reopened
重新填充	repopulate
重新加入	rejoins
重新分配	reassign
重新出現	reappears
都市實踐	Urbanus
還有老年	well-aged
達瑪里斯	Damaris
遊樂設施	rides
遇船難者	shipwrecked
連衣裙的	dressed
連續下坡	slopes
連根拔起	uprooted
這樣宣稱	proclaims
這幫傢伙	woodsmen
逍遙法外	unpunished
迷迷糊糊	stumbled
迦基米施	Carchemish
迦勒底人	Chaldeans
迦勒以法	Caleb-ephrathah
近親結婚	intermarriage
輪廓分明	chiseled
軟體動物	mollusk
身體素質	fitness
身材勻稱	shapely
躡手躡腳	crept
起死回生	life-giving
走投無路	cornered
費斯圖斯	Festus
費利克斯	Felix
貴重物品	valuables
貴橄欖石	chrysolite
財務主管	treasurers
貝蒂埃爾	Bethuel
貝爾謝巴	Beersheba
貝塞斯達	Bethesda
豐衣足食	clothed
誹謗性的	scandalous
語重心長	earnestness
訓練有素	well-trained
討價還價	haggles
討價還價	bargains
討價還價	bargain
言不由衷	insincerely
言不由衷	insincere
觸目驚心	startling
觸目驚心	shocking
解除綁定	unbind
解除武裝	disarmed
觀察到的	observed
親密關係	intimacy
褻瀆神明	blasphemous
褻瀆的話	blasphemy
製陶工人	potter
被忽視的	neglected
表達感謝	thanking
行色匆匆	hurrying
血跡斑斑	bloodied
蜂擁而至	flocked
虛虛實實	falsehoods
薩比教徒	Sabeans
薩拉米斯	Salamis
蓬勃發展	flourished
蒙住眼睛	blindfolded
蒂邁歐篇	Timaeus
葡萄採摘	grape-picking
萊西阿斯	Lysias
舉步為艱	reeled
與此同時	meanwhile
與此同時	meantime
臭名昭著	notorious
臭名昭著	infamous
自由意志	freewill
自我毀滅	self-destructive
自我放縱	self-indulgence
自我控制	self-control
自我否定	self-denial
自愧不如	humbled
自告奮勇	volunteered
臨門帕烈	Rimmon-perez
腳踏實地	surefooted
腳踏實地	hardheaded
腓立比書	Philippians
脫口而出	blurted
能力傾向	aptitude
胡說之人	babbler
胎死腹中	stillborn
背信棄義	treachery
肅然起敬	awestruck
耶路撒冷	Jerusalem
耶路巴力	Jerubbaal
耶羅波安	Jeroboam
耶是比押	Jeshebeab
耶布斯人	Jebusites
耶布斯人	Jebusite
耶亞巴琳	Iye-abarim
老老實實	honestly
羊群效應	herding
羅螺紋鋼	Lo-debar
經常光顧	frequented
經久不衰	unfailing
索西帕特	Sosipater
紅潤的臉	ruddy-faced
精雕細琢	crafted
精心打造	well-built
精心培育	well-nurtured
精力充沛	lusty
米非波設	Mephibosheth
米沙德代	Ammishaddai
米推利尼	Mitylene
米實利末	Meshillemoth
米力巴力	Meribbaal
