·阿爾巴	Arba
[R	r
6:41瑪基雅是伊特尼	Ethni
8:39亞悉	Eshek
10：7	Gudgodah
10:28	Obal
25美分硬幣	quarter
26	twenty-six
28	twenty-eight
35	thirty-five
36	thirty-six
38	thirty-eight
46	forty-six
48	forty-eight
49	forty-nine
52	fifty-two
62	sixty-two
66	sixty-six
68	sixty-eight
86	eighty-six
96	ninety-six
98	ninety-eight
99	ninety-nine
Abdeel	Abdeel
Abida	Abida
Abitub	Abitub
Abiud	Abiud
Acbor	Acbor
Achaicus	Achaicus
Acshaph	Acshaph
Aczib	Aczib
Adadah	Adadah
Adalia	Adalia
Adamah	Adamah
Addan	Addan
Adiel	Adiel
Adithaim	Adithaim
Admatha	Admatha
Adramyttium	Adramyttium
Adummim	Adummim
Aenon	Aenon
Agagite	Agagite
Aharah	Aharah
Aharhel	Aharhel
Ahasbai	Ahasbai
Ahban	Ahban
Aher	Aher
Ahiam	Ahiam
Ahilud	Ahilud
Ahiram	Ahiram
Ahiramite	Ahiramite
Ahisamach	Ahisamach
Ahishar	Ahishar
Ahlab	Ahlab
Ahumai	Ahumai
Ahuzzam	Ahuzzam
Ahuzzath	Ahuzzath
Ahzai	Ahzai
Akeldama	Akeldama
Allammelech	Allammelech
almug	almug
Alvah	Alvah
Alvan	Alvan
Amashsai	Amashsai
Amasiah	Amasiah
Ammah	Ammah
Ammizabad	Ammizabad
ANAB	Anab
Anaharath	Anaharath
Anaiah	Anaiah
Anakite	Anakite
Anamites	Anamites
Anammelech	Anammelech
Ananiah	Ananiah
ANEM	Anem
Anthothijah	Anthothijah
Aphekah	Aphekah
Aphiah	Aphiah
Aphik	Aphik
Apphia	Apphia
Ardites	Ardites
Areli	Areli
Arelite	Arelite
Argob	Argob
Aridai	Aridai
Aridatha	Aridatha
Arisai	Arisai
Arkite	Arkite
Arkites	Arkites
Armoni	Armoni
Arnan	Arnan
Arodi	Arodi
Arodite	Arodite
Arubboth	Arubboth
Arumah	Arumah
Arvad	Arvad
Asarel	Asarel
Asarelah	Asarelah
Ashbel	Ashbel
Ashbelite	Ashbelite
Ashkenaz	Ashkenaz
Ashnah	Ashnah
Ashpenaz	Ashpenaz
Ashteroth-karnaim	Ashteroth-karnaim
Ashurites	Ashurites
Asnah	Asnah
Aspatha	Aspatha
Asrielites	Asrielites
Asshurites	Asshurites
Asyncritus	Asyncritus
ATAD	Atad
Atarah	Atarah
Athach	Athach
Athaiah	Athaiah
Atharim	Atharim
Atroth-伯押	Atroth-beth-joab
Atroth，朔	Atroth-shophan
Attai	Attai
Attalia	Attalia
Avith	Avith
AVVA	Avva
Avvim	Avvim
Avvites	Avvites
Ayyah	Ayyah
AZAL	Azal
Azaliah	Azaliah
Azaniah	Azaniah
Azarel	Azarel
Azariahu	Azariahu
Azaziah	Azaziah
Azbuk	Azbuk
Azgad	Azgad
Aziel	Aziel
Azmon	Azmon
Aznoth，泰伯	Aznoth-tabor
Azzan	Azzan
Azzur	Azzur
b	b
Baalis	Baalis
Baara	Baara
Baaseiah	Baaseiah
backstabbers	backstabbers
Bakbakkar	Bakbakkar
Bakbuk	Bakbuk
Balah的	Balah
Bamah	Bamah
Barachiah	Barachiah
Barakel	Barakel
Barsabbas	Barsabbas
Bathshua	Bathshua
Bazluth	Bazluth
BE-eshterah	Be-eshterah
Bealoth	Bealoth
Becorath	Becorath
Bedeiah	Bedeiah
Beerah	Beerah
Bekerite	Bekerite
Belaite	Belaite
Belaites	Belaites
Beninu	Beninu
BEON	Beon
Beracah	Beracah
Beraiah	Beraiah
Bered	Bered
Beriite	Beriite
Beriites	Beriites
Berothai	Berothai
Besai	Besai
Besodeiah	Besodeiah
Besor	Besor
Bethul	Bethul
Bezai	Bezai
Bicri	Bicri
Bidkar	Bidkar
Bigtha	Bigtha
Bigthana	Bigthana
Bigvai	Bigvai
Bileam	Bileam
Bilshan	Bilshan
Bimhal	Bimhal
Binea	Binea
Birsha	Birsha
Birzaith	Birzaith
Bishlam	Bishlam
Biziothiah	Biziothiah
Biztha	Biztha
blares	blares
Bokeru	Bokeru
Bokim	Bokim
Bozez	Bozez
Bozkath	Bozkath
brushfire	brushfire
Bunah	Bunah
Buzite	Buzite
C	c
Cabbon	Cabbon
Calah	Calah
Calcol	Calcol
Calno	Calno
Canneh	Canneh
Caphtorites	Caphtorites
Carcas	Carcas
Carite	Carite
Carmite	Carmite
Carshena	Carshena
Casiphia	Casiphia
Casluhites	Casluhites
Chuza	Chuza
Clopas	Clopas
cloudbursts	cloudbursts
Cnidus	Cnidus
COL-hozeh	Col-hozeh
COS	Cos
COSAM	Cosam
Cozeba	Cozeba
CUD	cud
Cuthah	Cuthah
ð	d
Dabbesheth	Dabbesheth
Dalmanutha	Dalmanutha
Dalphon	Dalphon
Dannah	Dannah
days'stay	days'stay
Diblaim	Diblaim
didnt	didnt
Diklah	Diklah
Dilean	Dilean
Dimnah	Dimnah
Dimonah	Dimonah
Dinhabah	Dinhabah
Dishon	Dishon
Dodai	Dodai
Dodavahu	Dodavahu
DONE	done
Ë	e
EASES	eases
Ebez	Ebez
Eglah	Eglah
Eglaim	Eglaim
