the	ðiː	t-h-ē	ㄘㄧ	該
you	juː	yü	ㄡㄨ	您
i	aɪ	ī	ㄚㄧ	一世
a	eɪ	ā	ㄝㄧ	一個
to	tuː	t-ū	ㄉㄨ	至
and	ænd	a-n-d	ㄚㄋㄉ	和
it	ɪt	i-t	ㄧㄉ	它
what	wɒt	w-o-t	ㄨㄛㄉ	什麼
of	ɒv	o-v	ㄛㄈ	的
that	ðæt	t-h-a-t	ㄘㄚㄉ	那
is	ɪz	i-z	ㄧㄗ	是
in	ɪn	i-n	ㄧㄋ	在
oh	əʊ	ə-oo	ㄦㄡ	哦
this	ðɪs	t-h-i-s	ㄘㄧㄙ	這個
me	miː	m-ē	ㄇㄧ	我
don't	dəʊnt	d-ə-oo-n-t	ㄉㄦㄡㄋㄉ	別
we	wiː	w-ē	ㄨㄧ	我們
no	nəʊ	n-ə-oo	ㄋㄦㄡ	沒有
all	ɔːl	ô-l	ㄛㄌ	所有
it's	ɪts	i-t-s	ㄧㄗ	它的
on	ɒn	o-n	ㄛㄋ	上
get	gɛt	g-é-t	ㄍㄜㄉ	得到
here	hɪə	h-ē-ə	ㄏㄧㄦ	這裡
your	jɔː	y-ô	ㄡㄛ	你的
right	raɪt	r-ī-t	ㄖㄚㄧㄉ	對
i'm	aɪm	ī-m	ㄚㄧㄇ	我是
are	ɑː	ä	ㄚ	是
go	gəʊ	g-ə-oo	ㄍㄦㄡ	走
for	fɔː	f-ô	ㄈㄛ	對於
that's	ðæts	t-h-a-t-s	ㄘㄚㄗ	那是
chicken	ˈʧɪkɪn	ch-i-k-i-n	ㄓㄧㄍㄧㄋ	雞
like	laɪk	l-ī-k	ㄌㄚㄧㄍ	喜歡
out	aʊt	o-w-t	ㄚㄡㄉ	出
have	hæv	h-a-v	ㄏㄚㄈ	有
up	ʌp	u-p	ㄨㄅ	向上
my	maɪ	m-ī	ㄇㄚㄧ	我的
us	ʌs	u-s	ㄨㄙ	我們
just	ʤʌst	y-u-s-t	ㄓㄨㄙㄉ	只是
do	duː	d-ū	ㄉㄨ	做
but	bʌt	b-u-t	ㄅㄨㄉ	但
be	biː	b-ē	ㄅㄧ	是
now	naʊ	n-o-w	ㄋㄚㄡ	現在
fly	flaɪ	f-l-ī	ㄈㄌㄚㄧ	飛
so	səʊ	s-ə-oo	ㄙㄦㄡ	所以
egg	ɛg	é-g	ㄜㄍ	蛋
give	gɪv	g-i-v	ㄍㄧㄈ	給
come	kʌm	k-u-m	ㄍㄨㄇ	來
say	seɪ	s-ā	ㄙㄝㄧ	說
eggs	ɛgz	é-g-z	ㄜㄍㄗ	蛋
one	wʌn	w-u-n	ㄨㄨㄋ	一
about	əˈbaʊt	ə-b-o-w-t	ㄦㄅㄚㄡㄉ	關於
was	wɒz	w-o-z	ㄨㄛㄗ	是
good	gʊd	g-oo-d	ㄍㄡㄉ	好
if	ɪf	i-f	ㄧㄈ	如果
you're	jʊə	y-ü-ə	ㄡㄡㄦ	你是
there	ðeə	t-h-ã	ㄘㄝㄦ	那裡
how	haʊ	h-o-w	ㄏㄚㄡ	怎麼樣
with	wɪð	w-i-t-h	ㄨㄧㄘ	同
yeah	jeə	y-ã	ㄡㄝㄦ	是啊
ever	ˈɛvə	é-v-ə	ㄜㄈㄦ	曾經
what's	wɒts	w-o-t-s	ㄨㄛㄗ	什麼是
not	nɒt	n-o-t	ㄋㄛㄉ	不
more	mɔː	m-ô	ㄇㄛ	更多
we're	wɪə	w-ē-ə	ㄨㄧㄦ	我們
they	ðeɪ	t-h-ā	ㄘㄝㄧ	他們
over	ˈəʊvə	ə-oo-v-ə	ㄦㄡㄈㄦ	過度
from	frɒm	f-r-o-m	ㄈㄖㄛㄇ	從
see	siː	s-ē	ㄙㄧ	看到
they're	ðeə	t-h-ã	ㄘㄝㄦ	他們是
know	nəʊ	n-ə-oo	ㄋㄦㄡ	知道
he	hiː	h-ē	ㄏㄧ	他
going	ˈgəʊɪŋ	g-ə-oo-i-ng	ㄍㄦㄡㄧㄥ	去
back	bæk	b-a-k	ㄅㄚㄍ	背部
well	wɛl	w-é-l	ㄨㄜㄌ	好
then	ðɛn	t-h-é-n	ㄘㄜㄋ	然後
yes	jɛs	y-é-s	ㄡㄜㄙ	是
ginger	ˈʤɪnʤə	y-i-n-y-ə	ㄓㄧㄋㄓㄦ	生薑
look	lʊk	l-oo-k	ㄌㄡㄍ	看
as	æz	a-z	ㄚㄗ	如
got	gɒt	g-o-t	ㄍㄛㄉ	得到
will	wɪl	w-i-l	ㄨㄧㄌ	將
i'll	aɪl	ī-l	ㄚㄧㄌ	生病
first	fɜːst	f-û-s-t	ㄈㄦㄙㄉ	第一
work	wɜːk	w-û-k	ㄨㄦㄍ	工作
can't	kɑːnt	k-ä-n-t	ㄍㄚㄋㄉ	不能
them	ðɛm	t-h-é-m	ㄘㄜㄇ	他們
uh	ʌ	u	ㄨ	呃
time	taɪm	t-ī-m	ㄉㄚㄧㄇ	時間
head	hɛd	h-é-d	ㄏㄜㄉ	頭
chickens	ˈʧɪkɪnz	ch-i-k-i-n-z	ㄓㄧㄍㄧㄋㄗ	雞
at	æt	a-t	ㄚㄉ	在
fowler	ˈfaʊlə	f-o-w-l-ə	ㄈㄚㄡㄌㄦ	捕鳥
tweedy	tweedy	t-w-ee-d-y	ㄉㄨㄝㄝㄉㄩ	特威迪
let's	lɛts	l-é-t-s	ㄌㄜㄗ	讓我們
she	ʃiː	sh-ē	ㄕㄧ	她
some	sʌm	s-u-m	ㄙㄨㄇ	一些
didn't	dɪdnt	d-i-d-n-t	ㄉㄧㄉㄋㄉ	沒有
i've	aɪv	ī-v	ㄚㄧㄈ	我有
mr	mr	m-r	ㄇㄖ	先生
die	daɪ	d-ī	ㄉㄚㄧ	死
care	keə	k-ã	ㄍㄝㄦ	關心
where	weə	w-ã	ㄨㄝㄦ	哪裡
our	ˈaʊə	o-w-ə	ㄚㄡㄦ	我們的
way	weɪ	w-ā	ㄨㄝㄧ	辦法
gonna	ˈgənə	g-ə-n-ə	ㄍㄣㄦ	會
can	kæn	k-a-n	ㄍㄚㄋ	能夠
her	hɜː	h-û	ㄏㄦ	她的
why	waɪ	w-ī	ㄨㄚㄧ	為什麼
babs	babs	b-a-b-s	ㄅㄚㄅㄙ	BABS
mean	miːn	m-ē-n	ㄇㄧㄋ	意思
long	lɒŋ	l-o-ng	ㄌㄛㄥ	長
an	æn	a-n	ㄚㄋ	一個
wing	wɪŋ	w-i-ng	ㄨㄧㄥ	翅膀
flying	ˈflaɪɪŋ	f-l-ī-i-ng	ㄈㄌㄚㄧㄧㄥ	飛行
day	deɪ	d-ā	ㄉㄝㄧ	天
tell	tɛl	t-é-l	ㄉㄜㄌ	告訴
plan	plæn	p-l-a-n	ㄅㄌㄚㄋ	計劃
old	əʊld	ə-oo-l-d	ㄦㄡㄌㄉ	舊
isn't	ˈɪznt	i-z-n-t	ㄧㄗㄋㄉ	不
farm	fɑːm	f-ä-m	ㄈㄚㄇ	農場
good-bye	gʊd-baɪ	g-oo-d-b-ī	ㄍㄡㄉ-ㄅㄚㄧ	再見
leave	liːv	l-ē-v	ㄌㄧㄈ	離開
flop	flɒp	f-l-o-p	ㄈㄌㄛㄅ	拍擊聲
hey	heɪ	h-ā	ㄏㄝㄧ	嘿
into	ˈɪntuː	i-n-t-ū	ㄧㄋㄉㄨ	成
thing	θɪŋ	th-i-ng	ㄊㄧㄥ	事情
rocky	ˈrɒki	r-o-k-ē	ㄖㄛㄍㄧ	岩石
we'll	wiːl	w-ē-l	ㄨㄧㄌ	好
him	hɪm	h-i-m	ㄏㄧㄇ	他
been	biːn	b-ē-n	ㄅㄧㄋ	是
trying	ˈtraɪɪŋ	t-r-ī-i-ng	ㄉㄖㄚㄧㄧㄥ	試
think	θɪŋk	th-i-ng-k	ㄊㄧㄥㄍ	認為
show	ʃəʊ	sh-ə-oo	ㄕㄦㄡ	顯示
never	ˈnɛvə	n-é-v-ə	ㄋㄜㄈㄦ	決不
those	ðəʊz	t-h-ə-oo-z	ㄘㄦㄡㄗ	那些
off	ɒf	o-f	ㄛㄈ	離
would	wʊd	w-oo-d	ㄨㄡㄉ	將
want	wɒnt	w-o-n-t	ㄨㄛㄋㄉ	想
when	wɛn	w-é-n	ㄨㄜㄋ	什麼時候
call	kɔːl	k-ô-l	ㄍㄛㄌ	呼叫
pies	paɪz	p-ī-z	ㄅㄚㄧㄗ	餡餅
flip	flɪp	f-l-i-p	ㄈㄌㄧㄅ	翻動
mrs	mrs	m-r-s	ㄇㄖㄙ	太太
really	ˈrɪəli	r-ē-ə-l-ē	ㄖㄧㄦㄌㄧ	真
wait	weɪt	w-ā-t	ㄨㄝㄧㄉ	等待
lay	leɪ	l-ā	ㄌㄝㄧ	鋪設
great	greɪt	g-r-ā-t	ㄍㄖㄝㄧㄉ	大
free	friː	f-r-ē	ㄈㄖㄧ	自由
he's	hiːz	h-ē-z	ㄏㄧㄗ	他是
there's	ðeəz	t-h-ã-z	ㄘㄝㄦㄗ	有
were	wɜː	w-û	ㄨㄦ	是
down	daʊn	d-o-w-n	ㄉㄚㄡㄋ	下
keep	kiːp	k-ē-p	ㄍㄧㄅ	保持
quiet	ˈkwaɪət	k-w-ī-ə-t	ㄍㄨㄚㄧㄦㄉ	安靜
something	ˈsʌmθɪŋ	s-u-m-th-i-ng	ㄙㄨㄇㄊㄧㄥ	某物
two	tuː	t-ū	ㄉㄨ	二
need	niːd	n-ē-d	ㄋㄧㄉ	需要
we've	wiːv	w-ē-v	ㄨㄧㄈ	我們已經
coming	ˈkʌmɪŋ	k-u-m-i-ng	ㄍㄨㄇㄧㄥ	未來
baby	ˈbeɪbi	b-ā-b-ē	ㄅㄝㄧㄅㄧ	寶寶
flew	fluː	f-l-ū	ㄈㄌㄨ	飛
stop	stɒp	s-t-o-p	ㄙㄉㄛㄅ	停止
hide	haɪd	h-ī-d	ㄏㄚㄧㄉ	隱藏
around	əˈraʊnd	ə-r-o-w-n-d	ㄦㄖㄚㄡㄋㄉ	周圍
hard	hɑːd	h-ä-d	ㄏㄚㄉ	硬
which	wɪʧ	w-i-ch	ㄨㄧㄓ	哪一個
okay	ˈəʊˈkeɪ	ə-oo-k-ā	ㄦㄡㄍㄝㄧ	好的
did	dɪd	d-i-d	ㄉㄧㄉ	沒有
course	kɔːs	k-ô-s	ㄍㄛㄙ	課程
rhodes	ˈrəʊdz	r-ə-oo-d-z	ㄖㄦㄡㄉㄗ	羅茲
very	ˈvɛri	v-é-r-ē	ㄈㄜㄖㄧ	非常
his	hɪz	h-i-z	ㄏㄧㄗ	他的
grass	grɑːs	g-r-ä-s	ㄍㄖㄚㄙ	草
better	ˈbɛtə	b-é-t-ə	ㄅㄜㄉㄦ	更好
because	bɪˈkɒz	b-i-k-o-z	ㄅㄧㄍㄛㄗ	因為
always	ˈɔːlweɪz	ô-l-w-ā-z	ㄛㄌㄨㄝㄧㄗ	總是
still	stɪl	s-t-i-l	ㄙㄉㄧㄌ	仍然
bunty	bunty	b-ū-n-t-y	ㄅㄨㄋㄉㄩ	bunty
away	əˈweɪ	ə-w-ā	ㄦㄨㄝㄧ	遠
love	lʌv	l-u-v	ㄌㄨㄈ	愛
thrust	θrʌst	th-r-u-s-t	ㄊㄖㄨㄙㄉ	推力
bunk	bʌŋk	b-u-ng-k	ㄅㄨㄥㄍ	假寐
tomorrow	təˈmɒrəʊ	t-ə-m-o-r-ə-oo	ㄉㄦㄇㄛㄖㄦㄡ	明天
every	ˈɛvri	é-v-r-ē	ㄜㄈㄖㄧ	一切
has	hæz	h-a-z	ㄏㄚㄗ	具有
life	laɪf	l-ī-f	ㄌㄚㄧㄈ	生活
take	teɪk	t-ā-k	ㄉㄝㄧㄍ	採取
