از	From	z
پولس،	Paul,	pwls,
که	that	khh
به	To	bh
خواست	Wanted	khwst
خدا	God	khd
فرا خوانده	Summoned	fr khwndh
شده	Done	shdh
است	is	st
تا	Up to	t
رسول	prophet	rswl
عیسی	Jesus	`ysy
مسیح	Christ	msyH
باشد،	Be,	bshd,
و	and	w
برادرمان	Our brother	brdrmn
سوسْتِنِس،	Sosthenes,	swstinis,
کلیسای	Church	khlysy
در	In	dr
قُرِنتُس،	Corinth,	qurintus,
مسیحْ	Christ	msyH
تقدیس	Sanctification	tqdys
قوم	Tribe	qwm
مقدّس	Holy	mqdWs
باشند،	be,	bshnd,
همراه	Companion	hmrh
با	With	b
همۀ	All	hmhy
آنان	They	ann
هر	Any	hr
جای	Place	jy
دیگر	Other	dygr
نام	Name	nm
خداوند	God	khdwnd
ما	We	m
را	particle for direct object	r
ایشان	His/her	yshn
فیض	Grace	fyD
سلامتی	Health	slmty
سوی	Towards	swy
خدا،	God,	khd,
پدر	Father	pdr
ما،	We,	m,
خداوندْ	God	khdwnd
بر	On	br
شما	You	shm
باد	Wind	bd
شکرگزاری	Thanksgiving	shkhrgzry
من	I	mn
همواره	Always	hmwrh
خدای	God	khdy
آن	it	an
بخشیده	Forgiven	bkhshydh
است،	is,	st,
سپاس	Thank you	sps
زیرا	Because	zyr
او	He/She	w
حیث	Status	Hyth
غنی	Rich	Gny
نوع	Type	nw`
بیان	Expression	byn
گونه	Species	gwnh
معرفت،	Knowledge,	m`rft,
چنانکه	As	chnnkhh
شهادت	Testimony	shhdt
میان	Between	myn
استوار	Stable	stwr
گردید،	It became,	grdyd,
هیچ	None	hych
عطایی	Gift	`Tyy
بی‌نصیب	Unlucky	bynSyb
نیستید،	You are not,	nystyd,
همان	The same	hmn
حال	Now	Hl
مکاشفۀ	Revelation	mkhshfhy
انتظار	Waiting	ntZr
آخر	Last	akhr
نگاه	Look	ngh
خواهد	Will	khwhd
داشت،	Had,	dsht,
روز	Day	rwz
خداوندمان	Our Lord	khdwndmn
بَری	Barry	bary
ملامت	Reprimand	mlmt
باشید	Be	bshyd
امین	Amin	myn
خدایی	God	khdyy
رفاقت	Friendship	rfqt
پسرش،	His son,	psrsh,
مسیح،	Christ,	msyH,
تفرقه	Division	tfrqh
سر	Head	sr
حکمت	Wisdom	Hkhmt
ای	Hey	y
برادران،	Brothers,	brdrn,
تمنا	Desire	tmn
دارم	I have	drm
هم	Also	hm
توافق	Agreement	twfq
داشته	Had	dshth
نباشد،	Not,	nbshd,
بلکه	Rather	blkhh
اندیشه	Thought	ndyshh
رأی	Vote	r'y
متحد	United	mtHd
برادرانِ	Brothers	brdrni
من،	I,	mn,
اهل	People	hl
خانۀ	House	khnhy
خْلوئه	Chloe	khlwy'h
خبر	News	khbr
جدالهاست	It is a dispute.	jdlhst
مقصود	Purpose	mqSwd
اینکه	That	ynkhh
یکی	One	ykhy
پولس	Paul	pwls
تعلق	Belonging	t`lq
؛	;	;
دیگری	Another	dygry
متعلق	Belonging	mt`lq
آپولس	Apollos	apwls
هستم	I am	hstm
کیفا	Keifa	khyf
دیگری،	Another,	dygry,
آنِ	it	ani
آیا	Is it?	ay
