de	of
et	and
le	the
la	the
à	at
les	them
l	I
que	that
il	he
en	in
des	of the
qui	who
est	is
du	from
un	a
vous	you
pour	for
pas	not
dans	in
ne	not
au	to
ce	this
a	has
je	I
qu	that
se	to
lui	him
une	a
ils	they
tu	you
n	not
sur	on
nous	we
leur	their
son	his
avec	with
par	by
comme	as
ses	his
voir	see
on	we
roi	King
y	there
moi	me
sa	her
plus	more
tout	everything
dit	said
tous	all
fils	son
aux	to
même	same
avait	had
toi	you
c	vs
j	I
ai	have
mais	but
ou	Where
sont	are
t	you
mon	my
homme	man
elle	she
Israël	Israel
peuple	people
aussi	too
ont	have
fait	do
leurs	their
ceux	those
te	you
bien	good
pays	country
où	where
jour	day
ton	your
cette	this
autres	others
eux	them
car	because
ces	these
ville	town
contre	versus
gens	people
ainsi	Thus
Jérusalem	Jerusalem
as	ace
autre	other
là	the
si	if
sans	without
donc	so
hommes	men
après	after
terre	earth
alors	then
votre	your
celui	the one
devant	before
faire	to do
deux	of them
tes	your
vie	life
ta	your
hébreu	Hebrew
suis	am
été	was
jusqu	until
encore	Again
ma	my
mort	dead
vos	your
Si	Whether
notre	our
sera	will be
effet	effect
Juda	Judah
quand	when
mes	my
ni	neither
femme	women
père	dad
chez	at the house of
rien	nothing
toute	all
fut	was
monde	world
toutes	all
avaient	had
A	To
avez	have
grand	big
avoir	have
ici	here
répondit	replied
peut	may
traduction	translation
dire	say
cela	that
nom	name
texte	text
es	are
loi	law
temps	time
pourquoi	why
Égypte	Egypt
vers	towards
ciel	sky
soit	that is
mal	wrong
personne	nobody
enfants	children
avons	have
toujours	still
dont	whose
argent	silver
ci	this
villes	cities
avant	before
prêtres	priests
or	gold
nos	our
prêtre	priest
part	go
comparer	compare
eau	water
maintenant	now
non	Nope
trois	three
pouvoir	power
puis	then
vais	go
cet	this
seront	will be
sacrifices	sacrifice
maison	home
habitants	inhabitants
parce	by
porte	gate
elles	they
ennemis	enemies
peu	little
afin	in order to
autel	altar
bon	Well
va	go
parmi	among
ans	year
jamais	never
doit	must
feu	fire
sous	under
frères	brothers
jours	days
seul	only
aucun	none
coeur	heart
fin	end
colère	anger
armée	army
nuit	night
ancienne	Ancient
grande	big
parole	speech
soldats	soldiers
prophète	Prophet
tribu	tribe
furent	were
chefs	chiefs
mille	thousand
fois	time
grecque	Greek
eut	had
rois	kings
reste	rest
main	hand
quelqu	someone
ancêtres	ancestors
mer	sea
famille	family
année	year
joie	joy
yeux	eyes
pendant	during
foi	faith
Luc	Luke
dieux	gods
nord	north
Jean	John
serviteur	servant
sept	seven
mit	put
place	square
Saül	Saul
territoire	territory
mois	month
ordre	order
chef	chief
paroles	lyrics
És	Are
mère	mother
Salomon	Solomon
donne	given
femmes	women
sens	meaning
désert	desert
mis	put
parler	talk
chacun	each
venir	come
hui	today
nouveau	new
fille	daughter
corps	body
lieu	venue
frère	brother
royaume	kingdom
Ainsi	Thereby
fais	do
beaucoup	a lot
droit	right
mourir	die
aura	will have
celle	that
manger	to eat
Qu	What
peuples	peoples
malheur	misfortune
Babylone	Babylon
sommes	are
haut	high
demanda	asked
certains	some
pris	taken
rendre	to return
aujourd	today
quatre	four
manuscrits	manuscripts
chaque	each
morts	dead
guerre	war
prendre	take
sujet	topic
disciples	followers
peur	fear
sud	south
donner	give
dix	ten
propre	own
mains	hands
endroit	place
sang	blood
veux	want
o	oh
premier	first
donna	gave
comment	How? 'Or' What
depuis	from
aller	go
déjà	already
chemin	path
enfant	child
Joseph	joseph
tente	attempted
selon	according
prit	took
gloire	glory
force	strength
u	a
vingt	twenty
puissance	Powerful
trouve	find
vu	seen
amour	love
prophètes	prophets
avais	had
juste	just
paix	peace
vin	wine
livre	book
jeune	young
cinq	five
vêtements	clothes
univers	universe
maître	master
garde	keep
sagesse	wisdom
Lév	Lev
vit	lives
sanctuaire	sanctuary
agit	acts
dis	say
lévites	levites
Jourdain	Jordan
faut	should
Sam	Sat
quoi	what
mettre	put
ange	angel
anciens	old
Jér	Jer
envers	towards
route	road
loin	far
dirent	said
envoya	sent
Nomb	Number
voici	here is
vérité	truth
bonté	goodness
vient	come
pierres	stones
foule	crowd
règne	reign
nombreux	numerous
rendit	returned
partie	part
vivre	live
péché	Fishing
coffre	chest
ensuite	afterwards
Chron	Chrono
grec	Greek
chose	thing
lorsque	when
époque	era
Jérémie	Jeremiah
alla	go
faute	mistake
trouver	to find
compte	account
étrangers	strangers
aide	assistance
palais	palace
commandements	commandments
anciennes	old
serviteurs	servants
bois	wood
ensemble	together
sort	spell
uns	one
filles	girls
seulement	only
milieu	environment
Pierre	Rock
manière	way
autour	around
nombre	number
fidèles	faithful
bêtes	beasts
humains	humans
biens	goods
vivant	living
faveur	favor
pain	bread
vrai	true
entrée	hall
entendu	understood
rencontre	meet
partir	leave
font	make
secours	relief
autorité	authority
mauvais	Wrong
huile	oil
Jonatan	Jonathan
tribus	tribes
péchés	sins
esprit	spirit
aucune	none
petit	little
nouvelle	news
mont	Mountain
tant	so much
voix	voice
Éfraïm	Efraim
clair	light
sais	know
dessus	above
verset	verse
Josué	Joshua
animaux	animals
pieds	feet
savoir	to know
mots	words
honneur	honor
montagnes	mountains
sortir	go out
conduite	conduct
combat	fight
culte	worship
longtemps	long time
cent	hundred
vallée	valley
demande	request
pardon	sorry
demeure	remains
matin	morning
douze	twelve
voilà	so
ouest	west
bonne	good
travail	work
dieu	god
ferai	will do
boire	to drink
trop	too
parle	speak
troupes	troops
faites	done
étais	was
ordres	orders
confiance	trust
prière	pray
quelque	some
laisse	leave alone
tour	round
fera	will do
vint	came
venu	came
quelques	some
promis	promised
fidèle	faithful
idoles	idols
eu	had
jeunes	youth
bas	down
veut	wanna
amis	friends
honte	shame
fumée	smoke
fautes	faults
ordonné	ordered
ordonna	ordered
déclara	declared
Sion	If we
sabbat	Sabbath
offrir	to offer
droite	right
épée	sword
choses	things
cour	court
soir	evening
offrandes	offerings
auront	will have
blé	wheat
pitié	pity
portes	doors
égard	regard
firent	did
Manassé	Manasseh
serez	will be
vent	wind
mari	husband
objets	objects
quel	what
sacré	sacred
Samarie	Samaria
devint	became
cité	cited
sol	floor
offrande	offering
nourriture	food
ennemi	enemy
peux	can
aime	love
attaquer	tackle
tandis	while
sacrés	Holy
mot	word
pourrait	could
sorte	kind
repas	meal
disant	saying
deuil	grief
Galaad	Gilead
trône	throne
passé	past
grands	big
vinrent	came
passer	pass
soient	be
Samuel	samuel
trouvait	found
moutons	sheep
mourut	died
plein	full
choisi	selected
cris	cries
pourtant	yet
consacré	consecrated
faux	fake
bord	edge
chercher	look for
appela	called
Assyrie	Assyria
Isaac	isaac
bout	end
environ	about
écrit	writing
pourra	will be able
saint	Holy
lorsqu	when
cours	Classes
membres	members
Prov	Province
viens	come
impur	impure
chevaux	horses
propres	clean
adressa	addressed
ailleurs	somewhere else
visage	face
disait	said
allusion	hint
esclaves	slaves
affirme	affirms
sois	be
porter	carry
arriva	arrived
plusieurs	various
champs	fields
probablement	most likely
Élisée	Elisha
cas	case
coupable	guilty
vraiment	really
contraire	opposite
Élie	Elijah
Ézék	Ezek
commis	clerk
Ézékias	Hezekiah
champ	field
méchants	bad guys
tombe	falls
anges	angels
peine	sadness
coups	strokes
bonheur	happiness
rendu	rendered
maisons	houses
arrive	arrived
entendre	To hear
laisser	let
pièces	rooms
signe	sign
lois	laws
tel	Phone
localité	locality
Jos	Joe
ruine	ruin
Pourtant	However
partit	left
ait	have
Judée	Judaea
obtenir	obtain
seule	only
volonté	will
pauvres	poor
répondirent	answered
écoute	listen
rend	makes
viande	meat
serment	oath
lendemain	the following day
traductions	translations
Comment	How
détresse	distress
quarante	forty
apprit	learned
tomber	to fall
incertaine	uncertain
Nabucodonosor	Nebuchadnezzar
trente	thirty
vigne	vine
jugement	judgement
justes	righteous
mieux	better
telle	such
troisième	third
Édom	Edom
bouche	stuffy
devez	must
lettre	letter
met	put
puisse	may
arrivèrent	arrived
aie	Ouch
proche	close
pratique	practice
allèrent	went
bras	arms
traditionnel	traditional
soixante	sixty
Mardochée	Mordecai
septième	seventh
ami	friend
bête	stupid
sage	wise
parlé	speak
fort	strong
compagnons	companions
viendra	will come
arrivé	come
servir	to serve
serai	will be
adorer	love
appelle	call
entrer	walk in
forme	form
prend	take
êtres	beings
reprit	resumed
assemblée	Assembly
voulu	desired
premiers	first
autant	as much
pu	could
comprendre	to understand
salut	Hello
aurez	will have
puisque	since
agir	to act
valeur	value
familles	families
ceci	this
Rom	Roma
pur	pure
fond	bottom
besoin	need
dois	must
seras	will be
maîtres	masters
devenu	became
km	miles
sauver	save
appartient	belongs
accorde	granted
sait	knows
lors	during
communion	Communion
païens	pagans
tard	late
pied	foot
grandeur	greatness
soin	care
petits	small
ajouta	added
adversaires	opponents
annoncé	announcement
demi	half
demandèrent	asked
troupeau	herd
partout	everywhere
sortes	kinds
Galilée	Galilee
abord	on board
moins	less
obscurité	darkness
personnes	people
celles	those
virent	saw
Syrie	Syria
devait	had to
combattre	combat
voisins	neighbors
pauvre	poor
trouvé	found
pleine	full
armes	weapons
compris	understood
troupeaux	herds
peuvent	can
mesures	measures
kilos	pounds
abri	shelter
trouvaient	found
vois	see
vis	screw
vaut	worth
terme	term
riche	rich
tombeau	tomb
langue	language
boeufs	oxen
tuer	kill
prison	jail
mauvaise	bad
occasion	opportunity
chars	chariots
décidé	decided
arbre	tree
cinquante	fifty
écouter	to listen
oiseaux	birds
doivent	must
groupe	band
faisait	was doing
suite	after
campagne	country
puissant	powerful
quelle	what
Lévi	Levi
beau	beautiful
heureux	happy
juge	judge
arbres	trees
pluie	rain
lit	bed
rendirent	returned
enseignement	education
disaient	were saying
Béthel	Bethel
hors	except
payer	pay
intérieur	interior
venus	Venus
exemple	example
belle	beautiful
demander	ask
affaire	affair
humain	human
cesse	stop
appel	call
durant	during
coup	cut
signifie	means
Achab	Ahab
assez	enough
chargé	charged
promesse	promise
officiers	officers
pains	breads
soeur	sister
ancêtre	ancestor
sortit	went out
mets	put
prirent	took
retourna	returned
frontière	border
messagers	messengers
serait	would be
lin	linen
descendant	descending
passe	pass
disent	say
difficile	hard
vont	are going
coupe	chopped off
esclave	slave
annonce	announcement
complets	complete
envoyer	send
autrefois	in the old days
Ésaïe	Isaiah
regard	glance
mur	wall
vivants	living
travaux	works
accord	OK
conformément	in accordance
repos	rest
fidélité	loyalty
naissance	birth
coupables	guilty
faim	hunger
piège	trap
lieux	premises
vue	seen
étranger	foreign
savez	know
auras	will have
offerts	offered
entier	entire
écria	wrote
localités	localities
Ésaü	Esau
devra	will have to
fer	iron
leva	raised
viennent	are coming
debout	upright
laquelle	which
désire	longed for
bétail	cattle
liste	listing
recueil	collection
muraille	wall
heure	hour
détruire	destroy
croix	cross
Liban	Lebanon
colonnes	columns
rester	stay
semblable	similar
appartenant	belonging
geste	gesture
adresse	address
allait	was going to
forces	strengths
sages	wise
soyez	be
tenait	held
tué	kill
dernier	last
offert	Free
forteresse	fortress
parfum	scent
nombreuses	many
histoire	story
retour	return
murailles	walls
tort	wrong
années	years
suivant	next
ministres	ministers
prier	pray
Hébron	Hebron
annoncer	announce
richesses	riches
Osée	Hosea
envoie	send
offre	offer
devaient	were to
probable	likely
Sédécias	Sedecias
traduit	translated
appelait	was calling
prends	take
resta	stayed
voit	sees
sauve	Safe
allez	come on
obéir	to obey
construire	to build
prisonniers	prisoners
Pâque	Easter
donnerai	will give
vêtement	clothes
plaisir	pleasure
complet	complete
fasse	do
Tyr	Tire
bataille	battle
recevoir	receive
montagneuse	mountainous
revenir	come back
régna	reigned
butin	booty
fini	finished
esprits	spirits
déclaré	declared
conduit	leads
connais	know
éternelle	eternal
particulier	particular
royale	royal
accomplir	accomplish
taureau	bull
doute	doubt
manteau	coat
titre	title
gouverneur	governor
jeta	threw
soumis	submitted
incertain	uncertain
prie	pray
pourrez	can
bâton	stick
syriaque	Syriac
certaines	some
eurent	had
Josias	Josiah
rêve	dream
souvent	often
tient	is holding
malheurs	misfortunes
vivent	live
oeuvre	work
apporter	to bring
vas	go
farine	plain flour
Élazar	Elazar
demandé	demand
moyen	medium
suivre	follow
Démétrius	Demetrius
digne	worthy
apôtres	apostles
travers	through
tenir	hold
Ruben	Reuben
reine	queen
rouge	red
lac	lake
juive	jewish
levain	leaven
dons	donations
dites	say
livrer	deliver
rocher	rock
terres	land
présente	present
donnera	will give
sacrée	sacred
rempli	completed
attaque	offensive
exil	exile
prêts	ready
né	born
veuve	widow
malade	sick
marche	walking
voyage	travel
propos	about
agi	acted
grandes	large
huit	eight
trouva	found
Jéricho	Jericho
pouvait	could
souffle	breath
cieux	heavens
plaine	plain
appris	learned
mauvaises	bad
siège	headquarters
bénédiction	blessing
quatrième	fourth
restera	will stay
colline	hill
orgueil	pride
mange	eat
habits	clothes
responsable	responsible
israélites	Israelites
arriver	to arrive
apporte	brought
glorieuse	glorious
entendit	heard
sauvages	wild
croyants	believers
pouvez	can
détruit	destroy
crainte	fear
perdu	lost
laissa	left
louer	to rent out
compatriotes	compatriots
cadavres	corpses
venue	come
droits	rights
ajoutent	add
épouse	spouse
nuages	clouds
herbe	grass
allons	lets go
tiens	here
plaça	placed
abandonné	abandoned
accompagné	accompanied
attention	Warning
importe	imported
forte	strong
affaires	business
décision	decision
conseil	advice
Josaphat	Jehoshaphat
lequel	which
aîné	elder
comportement	behaviour
collines	Hills
montre	show
produits	products
faits	facts
épreuve	test
bientôt	soon
capitale	capital city
trompette	trumpet
aurait	would have
miel	Honey
trouvent	find
ordonne	ordered
vite	quick
espoir	hope
cherche	look for
garder	To keep
cavaliers	riders
célébrer	to celebrate
chèvres	goats
mariage	wedding
oui	yes
combien	How many
côte	coast
assis	sat
revint	came back
actes	acts
lampes	lamps
trésor	treasure
chargés	charged
noms	nouns
reçut	received
peau	skin
oublie	forget
faisant	doing
voulait	wanted to
pratiques	practice
devenir	become
faite	done
amener	to bring
obscur	obscure
bélier	ram
morceaux	parts
dehors	out
termes	terms
murs	walls
conduire	conduct
entra	entered
savons	soaps
Amorites	amorites
mesure	measure
sommet	Mountain peak
oeil	eye
pense	think
dû	from
reconnaître	recognize
témoignage	testimony
royaumes	kingdoms
conduisit	led
char	tank
commandement	commandment
fuite	leak
fonction	function
Hérode	Herod
montré	show
pièce	room
Sara	Sarah
belles	beautiful
veulent	want
produit	product
désigne	means
quitta	left
prix	price
Abimélek	Abimelek
préparé	prepare
lance	spear
neuf	new
rituel	ritual
Jéhu	Jehu
venait	came
fureur	fury
abominables	abominable
refuse	denied
arrivera	to arrive at
vienne	come
vieux	old
haute	high
offrit	offered
puisqu	since
auteur	author
correspondant	corresponding
vignes	vines
aurai	will have
pourront	will be able
sainte	holy
traité	treaty
quiconque	anyone
lune	moon
méchant	nasty
ailes	wings
avenir	coming
troupe	troop
gardes	guards
Euphrate	Euphrates
Joas	Joah
Guibéa	Guibea
oreilles	ears
Gédéon	Gideon
plaît	please
berger	shepherd
bienveillance	kindness
seconde	second
richesse	wealth
objet	object
couronne	crown
empara	captured
consulter	to consult
passa	passed
survivants	survivors
Ninive	Nineveh
propriétaire	owner
retourner	flip
exterminer	exterminate
désirs	desires
capable	able
montrer	to show
salle	Hall
livré	delivered
pourrais	could
mépris	contempt
arc	bow
Zacharie	Zechariah
installer	install
Siméon	Simeon
eaux	waters
grecs	greeks
coucher	to sleep
connaissance	knowledge
appartiennent	belong
étoiles	stars
ayez	have
brûle	burns
responsables	responsible
arrivée	arrival
enfin	finally
Holopherne	Holofernes
adultère	adultery
parlait	spoke
prochain	next
âne	donkey
intermédiaire	intermediate
écouté	listen
dixième	tenth
juifs	jews
respecter	respect
sûr	sure
laissez	let
voie	way
chants	songs
apprirent	learned
choisis	choose
appelée	called
trouvèrent	found
Jizréel	Jezreel
Abram	Abraham
avance	advance
beauté	beauty
nuage	cloud
sinon	otherwise
ventre	belly
ombre	shadow
portait	wore
tués	you are
laine	oldest boy
cadavre	corpse
Tobie	Toby
récoltes	harvests
chair	flesh
cheveux	hair
salaire	salary
impurs	unclean
juger	judge
diverses	various
regarde	looked
quantité	amount
grave	severe
fonctionnaires	civil servants
autels	altars
territoires	territories
habitaient	lived
hébreux	hebrews
bonnes	good
puits	well
méchanceté	wickedness
juif	Jewish
demain	tomorrow
sert	serves
victimes	victims
soif	thirst
humaine	human
agneaux	lambs
remplis	full
Noé	Noah
parabole	parable
Sodome	Sodom
malédiction	curse
descendre	to come down
cérémonie	ceremony
parfums	perfumes
Antioche	Antioch
changer	to change
Philippe	Philip
espérance	hope
parti	left
pensées	thoughts
seuls	alone
acheter	to buy
monter	ascend
juges	judges
chérubins	cherubim
désir	desire
parfois	sometimes
vive	long live
tas	heap
disparaître	vanish
enterra	buried
prise	socket
enseigner	teach
sauvé	Safe
voyant	seeing
profondément	deeply
taille	cut
suivante	next
taureaux	bulls
voisines	neighbors
faisaient	were doing
habiter	to live in
concernant	re
derniers	last
Asa	asa
guérit	heals
désastre	disaster
comprennent	include
Guilgal	Gilgal
village	town
rends	give back
atteint	achieved
jure	sworn
partirent	left
terreur	terror
quitter	leave
Alexandre	alexander
réalise	realized
battre	to beat
partisans	supporters
idée	idea
poids	weight
enfuirent	fled
compter	count
suivantes	following
gauche	left
origine	origin
cinquième	fifth
Bethléem	Bethlehem
petite	small
tristesse	sadness
voient	see
aveugle	blind
discours	speech
penser	think
pleins	full
prononcer	pronounce
cèdre	cedar
chap	hat
tels	such
serpent	snake
lève	survey
contenu	contents
cadeau	present
torts	wrongs
nouvelles	new
passait	passed
sortirent	went out
jeunesse	youth
mène	led
glorieux	glorious
oreille	ear
revient	come back
entend	hears
groupes	groups
bruit	noise
rassembla	gathered
sot	fool
jardin	garden
midi	midday
an	year
suivi	followed
fortifiées	fortified
devons	have to
aimer	to like
mangé	eat
traite	treaty
Timothée	Timothy
connu	known
manifeste	manifest
semaine	week
auparavant	previously
inconnu	unknown
manque	lack
servante	servant
larmes	tears
reproches	reproaches
malheureux	unfortunate
viendront	will come
mourra	will die
laver	wash
rues	streets
personnel	personal
traverser	to cross
approcha	approached
cadeaux	gifts
prennent	takes
donnés	given
bienfaits	benefits
dira	will say
prépare	prepared
ancien	ancient
chorale	choral
Coré	kore
ânes	donkeys
tellement	so much
Ismaël	Ishmael
porche	porch
interprètent	interpret
servantes	maids
déplaît	displeases
souvenir	memory
aurais	would have
preuve	evidence
mettra	will put
croire	to believe
aiment	love
pourras	can
remit	put back
jeter	to throw
angoisse	anguish
ferme	closed
prodiges	wonders
tenaient	were holding
Joël	Joel
Roboam	Rehoboam
Méditerranée	Mediterranean
placé	square
crier	yell
consacrée	consecrated
précieux	precious
retournèrent	returned
rideau	curtain
oeuvres	works
Jacques	James
genre	gender
aimé	like
lait	milk
réalité	reality
répondu	answered
rassemblèrent	gathered
construit	built
tuèrent	killed
semble	seems
outre	outraged
succéda	succeeded
jette	throws
poussé	pushed
appeler	to call
amitié	friendship
commencement	beginning
feront	will do
langues	languages
sauvés	saved
perdre	to lose
permis	permit
flammes	flames
mettez	put
rendus	rendered
gouverneurs	governors
promesses	promises
établi	established
tua	you are
royauté	royalty
tue	kill
venaient	were coming
chacune	each
brebis	sheep
mettrai	will put
large	wide
dispersés	scattered
quitté	quits
prenez	take
prostituée	prostitute
monta	went up
cacher	to hide
soi	self
occuper	to occupy
réaliser	achieve
proches	relatives
emmena	took
latine	latin
Zabulon	Zebulun
rang	rank
perte	loss
Sinaï	Sinai
retourne	return
cou	neck
chambre	bedroom
refusé	refuse
projets	projects
mettent	put
travailler	work
faible	weak
aient	have
accorder	to agree
étiez	were
Jug	Judge
race	breed
emparer	seize
infidèles	infidels
installés	installed
largeur	lenght
misère	misery
intervenir	to intervene
Yéchoua	Yeshua
réservée	reserved
raconter	to tell about
lu	read
ruines	ruins
frapper	to hit
approcher	approach
impôts	taxes
subir	undergo
concerne	concerned
veuves	widows
récompense	reward
éternellement	eternally
intitulé	entitled
messages	posts
peste	plague
forts	strong
mission	assignment
béliers	rams
notes	grades
étions	were
quittèrent	left
chant	singing
encens	incense
dirigeants	leaders
Artaxerxès	Artaxerxes
convaincus	convinced
déteste	hated
portent	carry
saisit	seizes
genoux	knees
reconnu	recognized
meurtre	murder
agréable	pleasant
communiquer	communicate
souffrances	suffering
succès	hit
conscience	awareness
croient	believe
obéit	obey
longueur	length
prescriptions	requirements
appui	support
cordes	strings
manifester	manifest
déportés	deported
reçurent	received
Ozias	Uzziah
chameaux	camels
Ahazia	Ahaziah
personnage	character
vivra	will live
tiennent	hold
bandes	bands
engagement	commitment
laisserai	will leave
remplit	fill
Ptolémée	Ptolemy
tomba	fell
récolte	harvest
relations	relationships
conseils	tips
permet	allow
nourrir	to feed
intelligent	clever
fléau	scourge
siens	his
mérite	deserved
disparu	faded away
approche	approach
dos	back
boucliers	shields
aider	to help
nombreuse	numerous
vivaient	lived
bons	good
pâturages	pastures
victime	victim
étoffe	fabric
marcher	walk
obéi	obeyed
malgré	despite
bergers	shepherds
voulaient	wanted
mensonge	lying
maudit	damn
Asie	Asia
lettres	letters
frappe	struck
libre	free
parties	parts
pouvons	can
entourage	surroundings
rendrai	will return
punir	to punish
chasser	hunt
existe	exist
consacrés	consecrated
convoqua	summoned
Natan	Nathan
livres	books
tonnerre	thunder
manuscrit	manuscript
cria	shouted
cheval	horse
empereur	emperor
rendez	appointment
Suse	Susa
approchèrent	approached
rebelles	rebels
proie	prey
prendra	will take
malades	sick
idole	idol
interprétation	interpretation
gagner	to win
Rama	rama
révélé	revealed
portaient	wore
décida	decided
récit	narrative
célèbre	famous
déportation	deportation
riches	rich
barque	small boat
ressemble	looks like
aveugles	blind
guéri	cured
attendre	expect
joug	yoke
attend	waits
moyens	means
accepte	accepted
revenus	income
put	whore
suit	follows
enceinte	pregnant
Asdod	Ashdod
douleur	pain
apparut	appeared
orgueilleux	proud
regarder	to look at
assurance	insurance
haine	hate
ira	will go
extérieur	outside
fondations	foundations
partage	share
élevé	raised
rapport	report
allaient	were going
placer	to place
poursuivre	to chase
proclamer	proclaim
reprendre	to resume
Gabaon	Gibeon
compagnie	company
ajoute	adds
reviendra	will come back
feras	will do
pardonne	forgiven
puissante	powerful
croit	believes
diable	devil
poissons	Pisces
cru	believed
boeuf	beef
versets	verses
procès	court case
agneau	lamb
précieuses	precious
fêtes	holidays
abondance	plenty
tâche	task
gros	big
habite	reside
préparer	to prepare
cessé	ceased
accorda	granted
Jessé	Jesse
vécut	lived
rendra	will make
oublié	forgot
cri	shout
garçon	boy
souffrir	suffer
huitième	eighth
raconta	told
Médie	media
entendirent	heard
solennellement	solemnly
menaces	threat
ferez	will do
écart	difference
interdit	prohibited
châtiment	punishment
serons	will be
reconnaissance	acknowledgement
telles	such
supporter	support
semblables	similar
insulte	insult
remercie	thanks
désigner	designate
ouvre	open
pria	prayed
aperçut	caught sight
adversaire	opponent
fabriquer	manufacture
fermement	firmly
diras	will say
honorer	to honour
chanter	to sing
fallait	had to
descendit	went down
deviendra	will become
Hèchebon	Hechebon
bouclier	shield
pouvaient	could
installèrent	installed
Chiméi	Chimei
Booz	Boaz
Balac	Balak
verra	will see
fosse	pit
restent	stay
dents	teeth
pleurer	cry
abandonne	abandoned
entends	hear
Héli	Heli
grasses	greasy
revinrent	came back
Sennakérib	Sennakerib
exactement	exactly
siècle	century
places	squares
révolte	revolt
vécu	lived
pécher	to fish
revenu	revenue
épouser	marry
renonce	give up
reçus	received
apôtre	apostle
parent	relative
avis	notice
louange	praise
continua	continued
étrangères	foreign
musique	music
guerriers	warriors
commandant	commanding officer
confia	entrusted
odorante	fragrant
oiseau	bird
épis	ears
mettront	will put
couche	layer
horreur	horror
parts	shares
sommeil	sleep
veau	calf
moisson	harvest
âme	soul
plantes	plants
devront	will have to
insultes	insults
jusque	until
défendre	defend
tenu	tenuous
livra	delivered
