მოკითხვა	Greetings	mokit`xva
კორინთოს	Corinth	korint`os
ეკლესიას	To the church	eklesias
პავლე	Paul	pavle
იესო	Jesus	ieso
ქრისტეს	Christ	k`ristes
მოწოდებული	Called	mocodebuli
მოციქული	Apostle	moc`ik`uli
ღვთის	God's	g'vt`is
ნებით	Willingly	nebit`
და	And	da
ძმა	Brother	z'ma
სოსთენი	Sosthenes	sost`eni
რომელიც	which	romelic`
კორინთოშია	In Corinth	korint`oshia
ქრისტე	Christ	k`riste
იესოში	In Jesus	iesoshi
განწმენდილთ	Sanctified	gancmendilt`
მოწოდებულ	Called	mocodebul
წმიდებს	To the saints	cmidebs
ყველასთან	With everyone	qvelast`an
ერთად	Together	ert`ad
ვინც	Who	vinc`
მოუხმობს	Calls	mouxmobs
ჩვენი	Our	ch`veni
უფლის	Lord	up`lis
სახელს	Name	saxels
ყველა	All	qvela
ადგილას	In place	adgilas
მათთან	With them	mat`t`an
ჩვენთან	With us	ch`vent`an
მადლი	Grace	madli
თქვენ	You	t`k`ven
მშვიდობა	Peace	mshvidoba
მამა	Father	mama
ღმერთისა	God's	g'mert`isa
უფალ	Lord	up`al
ქრისტესაგან	From Christ	k`ristesagan
მადლობა	Thank you	madloba
მადლისთვის	For grace	madlist`vis
მარადის	Forever	maradis
ვმადლობ	Thank you.	vmadlob
ღმერთს	To God	g'mert`s
თქვენთვის	For you	t`k`vent`vis
მადლისათვის	For grace	madlisat`vis
გებოძათ	You are welcome.	geboz'at`
იმიტომ	Because	imitom
რომ	that	rom
გამდიდრდით	Get rich.	gamdidrdit`
მასში	In it	masshi
ყოველივეთი	With everything	qovelivet`i
ყოველგვარი	Any	qovelgvari
სიტყვით	In a word	sitqvit`
ცოდნით	With knowledge	c`odnit`
რადგან	Because	radgan
მოწმობა	Certificate	mocmoba
განმტკიცდა	Strengthened	ganmtkic`da
თქვენში	In you	t`k`venshi
ისე	So	ise
არ	No	ar
გაკლიათ	Are you missing?	gakliat`
არავითარი	None	aravit`ari
ნიჭი	Talent	nichi
გამოცხადების	Revelation	gamoc`xadebis
მოლოდინში	Waiting	molodinshi
განგამტკიცებთ	I will strengthen you.	gangamtkic`ebt`
ბოლომდე	Until the end	bolomde
რათა	In order to	rat`a
უმწიკვლო	Immaculate	umcikvlo
იყოთ	To be	iqot`
დღეს	Today	dg'es
სარწმუნოა	It is credible.	sarcmunoa
ღმერთი	God	g'mert`i
რომლისგანაც	from which	romlisganac`
იქენით	Take it.	ik`enit`
მოწოდებულნი	Called	mocodebulni
მის	His	mis
ძესთან	With the son	z'est`an
ჩვენს	Our	ch`vens
ქრისტესთან	With Christ	k`ristest`an
თანაზიარებისათვის	For communion	t`anaziarebisat`vis
შეგონება	Admonition	shegoneba
განხეთქილების	Discord	ganxet`k`ilebis
წიმააღმდეგ	Against the grain	cimaag'mdeg
ხოლო	While	xolo
მე	I	me
შეგაგონებთ	I will remind you.	shegagonebt`
ძმანო	Brothers	z'mano
სახელით	In the name of	saxelit`
ყველანი	Everyone	qvelani
ამბობდეთ	You said	ambobdet`
ერთსა	One	ert`sa
იმავეს	The same	imaves
იყოს	to be	iqos
განხეთქილება	Discord	ganxet`k`ileba
არამედ	But	aramed
გაერთიანებულნი	United	gaert`ianebulni
გონებით	With the mind	gonebit`
აზრით	in my opinion	azrit`
ჩემთვის	For me	ch`emt`vis
ცნობილი	Famous	c`nobili
გახდა	became	gaxda
ქლოეს	Chloe	k`loes
ხალხისგან	From the people	xalxisgan
თქვენს	Yours	t`k`vens
შორის	Between	shoris
დავაა	There is a dispute.	davaa
ვგულისხმობ	I mean	vgulisxmob
ყოველი	Every	qoveli
თქვენგანი	Of you	t`k`vengani
ამბობს	says	ambobs
პავლესი	Paul	pavlesi
ვარ	I am	var
აპოლოსისა	Apollos	apolosisa
კეფასი	Cephas	kep`asi
კი	Yes	ki
ქრისტესიო	Christ's	k`ristesio
განა	Ghana	gana
გაიყო	Divided	gaiqo
ეცვა	Wearing	ec`va
ჯვარს	The cross	jvars
ან	Or	an
პავლეს	Paul	pavles
მოინათლეთ	Get baptized.	moinat`let`
მადლობას	Thank you.	madlobas
ვწირავ	I sacrifice.	vcirav
არცერთი	None	arc`ert`i
მომინათლავს	I will be baptized.	mominat`lavs
გარდა	Except	garda
კრისპოსის	Crispus	krisposis
გაიოზისა	Gaius's	gaiozisa
ვინმემ	Someone	vinmem
თქვას	to say	t`k`vas
ჩემი	My	ch`emi
მოვნათლე	I baptized	movnat`le
აგრეთვე	See also	agret`ve
სტეფანას	Stephana	step`anas
სახლი	House	saxli
მათ	They	mat`
ვიცი	I know	vic`i
თუ	If	t`u
ვინმე	Someone	vinme
მოვუვლენივარ	I have been sent.	movuvlenivar
სანათლავად	For baptism	sanat`lavad
სახარებლად	For the gospel	saxareblad
არა	No	ara
ბრძნული	Wise	brz'nuli
სიტყვებით	In words	sitqvebit`
გაუქმებულიყო	to be canceled	gauk`mebuliqo
ჯვარი	Cross	jvari
ჯვარცმული	Crucified	jvarc`muli
ძალაა	There is power.	z'alaa
სიბრძნე	Wisdom	sibrz'ne
ვინაიდან	Since	vinaidan
სიტყვა	Word	sitqva
ჯვრის	Cross	jvris
შესახებ	About	shesaxeb
სისულელეა	It's nonsense.	sisulelea
მათთვის	For them	mat`t`vis
რომელნიც	Which ones	romelnic`
იღუპებიან	They die.	ig'upebian
ჩვენთვის	For us	ch`vent`vis
გადავრჩებით	We will survive.	gadavrch`ebit`
სწერია	It is written.	sceria
ბრძენთა	Of the wise	brz'ent`a
სიბრძნეს	Wisdom	sibrz'nes
მოვსპობ	I will destroy it.	movspob
გონიერთა	Of the wise	goniert`a
გონიერებას	Wisdom	gonierebas
არად	No	arad
ჩავაგდებ	I will throw it in.	ch`avagdeb
სად	Where	sad
არის	is	aris
ბრძენი	Wise	brz'eni
მწიგნობარი	Scribe	mcignobari
ამ	This	am
საუკუნის	Century	saukunis
მოკამათე	Argumentative	mokamat`e
სისულელედ	Stupidly	sisuleled
აქცია	Action	ak`c`ia
ღმერთმა	God	g'mert`ma
სოფლისა	Rural	sop`lisa
რაკი	Because	raki
ღვთაებრივ	Divinely	g'vt`aebriv
სიბრძნეში	In wisdom	sibrz'neshi
ვერ	Can't	ver
იცნო	Recognized	ic`no
სოფელმა	The village	sop`elma
თავისი	his/her	t`avisi
სიბრძნით	With wisdom	sibrz'nit`
ღვთისთვის	For God's sake	g'vt`ist`vis
სათნო	Virtuous	sat`no
იყო	was	iqo
მორწმუნეთა	Believers	morcmunet`a
ხსნა	Salvation	xsna
ქადაგების	Sermon	k`adagebis
უგუნურებით	With foolishness	ugunurebit`
იუდეველნი	Jews	iudevelni
მოითხოვენ	They demand	moit`xoven
სასწაულებს	Miracles	sascaulebs
ბერძნები	Greeks	berz'nebi
ეძებენ	They are looking for	ez'eben
ჩვენ	We	ch`ven
ვქადაგებთ	We preach.	vk`adagebt`
ჯვარცმულ	Crucified	jvarc`mul
იუდეველთათვის	For the Jews	iudevelt`at`vis
საცდურს	Temptation	sac`durs
ბერძენთათვის	For the Greeks	berz'ent`at`vis
უგუნურებას	Foolishness	ugunurebas
მოწოდებულთათვის	For those who are called	mocodebult`at`vis
იუდეველებისთვისაც	For the Jews too	iudevelebist`visac`
ბერძნებისთვისაც	For the Greeks too	berz'nebist`visac`
ძალას	Power	z'alas
უგნურება	Ignorance	ugnureba
ღვთისა	God's	g'vt`isa
ადამიანებზე	About people	adamianebze
უბრძენესია	It is wiser.	ubrz'enesia
უძლურება	Weakness	uz'lureba
უძლიერესი	The strongest	uz'lieresi
ნახეთ	See	naxet`
ვინ	Who	vin
ხართ	Are you	xart`
ბევრი	Many	bevri
ხორციელად	In the flesh	xorc`ielad
ძლიერი	Strong	z'lieri
წარჩინებული	Excellent	carch`inebuli
სოფლის	Rural	sop`lis
უმეცარნი	Ignorant	umec`arni
ამოარჩია	Chose	amoarch`ia
შეარცხვინოს	To embarrass	shearc`xvinos
ბრძენნი	Wise people	brz'enni
უძლურნი	The powerless	uz'lurni
ძლიერნი	Strong	z'lierni
მდაბიონი	Mdabioni	mdabioni
დამცირებულნი	Humiliated	damc`irebulni
