-Abarīmas	-Abarimas
-vīru	-husband
—abas	—both
—abi	—both
—abus	—both
—aicināts	—invited
—aizlūdziet	—pray
—aizmirsdams	—forgetting
—ak	—oh
—akmens	—stone
—apbruņoti	—armed
—apdomājiet	—think about it
—aptvēra	—covered
—ar	—with
—ārā	—outside
—ari	—also
—arī	—also
—ārpusē	—outside
—Asura	—Asura
—Atbildi	—Answer
—atgriezīsies	—will return
—atlikušās	—remaining
—atmet	—rejects
—atskan	—repeats
—atstājiet	—leave
—Atturies	—Refrain
—audzināts	—brought up
—auglīgais	—fertile
—aunu	—ram
—avis	—sheep
—Azarja	—Azariah
—Bābelē	—In Babel
—babiloniešu—vidus	—Babylonian—Middle
—Bauslības	—Laws
—bēdīgiem	—sad
—bet	—but
—bez	—without
—Bezprāši	—Innocent
—bija	—was
—brīnišķs	—wonderful
—bruksit	—will break
—būs	—will be
—būt	—to be
—ceļama	—liftable
—ceļš	—road
—četri	—four
—četrpadsmit	—fourteen
—četrsimt	—four hundred
—cik	—how much
—cilvēks	—human
—ciprese	—cypress
—debesu	—heavenly
—Dēlu	—Son
—dienā	—day
—diendienā	—by day
—Dieva	—God's
—Dievs	—God
—divas	—two
—divdesmit	—twenty
—divi	—two
—dodi	—give
—Dodiet	—Give
—drošs	—safe
—dzīvā	—live
—dzīvībā	—in life
—Ēfraima	—Ephraim
—ēģiptieši	—Egyptians
—eita	—go
—ej	—go
—Elle	—Hell
—es	—me
—esi	—are
—esiet	—be
—Etānu	—Ethan
—gadi	—years
—Gadijs	—Gadiy
—gaišreģus	—clairvoyants
—gals	—end
—gan	—both
—gars	—spirit
—Gibea	—Gibeah
—gluži	—exactly
—Hūra	—Hura
—Hūrām-Abiju	—Huram-Abijah
—iedves	—inspiration
—Ievīts	—Twisted
—ikvienu	—everyone
—ir	—is
—īsta	—real
—īstajiem	—for the real ones
—it	—it
—itin	—very
—izglāb	—save
—iznīcināti	—destroyed
—izraugiet	—select
—ja	—if
—jā	—yes
—Jāņa	—John
—jautā	—asks
—jeb	—or
—jel	—yes
—Jeremija	—Jeremiah
—Jēzum	—To Jesus
—jo	—because
—Joāba	—Joab
—Jona	—Jonah
—Josijas	—Josiah
—jums	—to you
—jūs	—you
—jūsu	—your
—ka	—that
—kā	—how
—kad	—when
—kādi	—some
—kāds	—someone
—kamēr	—while
—kāpēc	—why
—kas	—who
—katru	—each
—kaut	—something
—Kedeša	—Kedesh
—ķēniņa	—king
—ķēniņš	—king
—ko	—what
—koks	—tree
—kopā	—total
—kopš	—since
—korachieši	—Korachites
—Kristum	—Christ
—Kungs	—Lord
—kur	—where
—kuri	—which
—Kušijs	—Cushi
—kvēpina	—smokes
—labi	—good
—lai	—to
—ļaudis	—people
—līdz	—to
—Liela	—Large
—lieta	—case
—liku	—I ordered
—lūdzams	—please
—lūk	—look
—mācītājs	—pastor
—man	—to me
—mana	—my
—Manas	—My
—manu	—my
—Manua	—Manua
—mēdiešu	—Mede
—mēs	—we
—mielastu	—feast
—Miers	—Peace
—mieru	—peace
—mirs	—will die
—mums	—us
—mūs	—us
—mūsu	—our
—Nāc	—Come on
—nāca	—came
—ne	—no
—nē	—no
—Nebīstaities	—Don't be afraid.
—nekāds	—none
—ņem	—take
—ņemiet	—take
—Nenolaid	—Don't give up
—neticiet	—don't believe
—nevainojamu	—flawless
—Nevāri	—Don't cook
—neviens	—no one
—Ninive	—Nineveh
—no	—from
—Nodziedāt	—Sing
—nosaka	—determines
—Nu	—Well
—nupat	—just now
—otrā	—the second
—Pacel	—Pick up
—pacēlu	—I picked it up
—Padomājiet	—Think
—Pagalam	—Finally
—Pagānu	—Pagan
—paies	—will pass
—paklausiet	—listen
—Palīdzi	—Help
—paliec	—stay
—palīgā	—helper
—Palūko	—Look
—par	—for
—pār	—over
—pāri	—pair
—paslēpies	—hidden
—pats	—himself
—pavisam	—at all
—pēc	—after
—pie	—at
—piebilst	—adds
—piecus	—five
—piedodi	—sorry
—piedots	—forgiven
—pieglaudies	—snuggle up
—Piemini	—Mention
—piepeši	—suddenly
—pierādiet	—prove
—pilsētas	—cities
—pirmās	—first
—pirmdzimušais	—firstborn
—pravieši	—prophets
—praviešus	—prophets
—pret	—against
—Priecājieties	—Rejoice
—Priestep	—Priest
—Priesteri	—Priests
—proti	—namely
—pulgotāji	—ploughmen
—pustrešas	—half past three
—Raugi	—Yeast
—redzēja	—saw
—redzi	—see
—rokas	—hands
—saka	—says
—sakāt	—to say
—saki	—say
—salta	—salt
—saule	—sun
—saviem	—for themselves
—savu	—your own
—Še	—This
—senāk	—earlier
—septiņas	—seven
—septiņus	—seven
—sešdesmit	—sixty
—sevi	—yourself
—šie	—these
—sievas	—wives
—simts	—hundred
—Šis	—This
—skaista	—beautiful
—skaitīts	—counted
—šķīstīšanās	—purification
—slavēts	—praised
—sludina	—announces
—smagi	—severe
—šo	—this
—Šodien	—Today
—sods	—punishment
—stabs	—pole
—stipras	—strong
—sudraba	—silver
—svētā	—sacred
—svētības	—blessings
—tā	—so
—Taču	—But
