orang	person
akan	will
di	in
kamu	You
mereka	they
kepada	to
Allah	Allah
dengan	with
aku	I
dia	he
ke	to
anak	child
daripada	than
dalam	in
kerana	because
telah	has
semua	all
Israel	Israel
berkata	said
kami	we
pada	on
pun	even
Yesus	Jesus
dari	from
oleh	by
raja	king
seperti	like
bahawa	that
kota	city
kita	We
menjadi	become
maka	so
supaya	so that
dapat	can
tetapi	but
hari	day
umat	people
seorang	a
atau	or
datang	come
lain	other
tempat	place
engkau	you
iya	Yes
bangsa	nation
harus	must
negeri	country
hidup	life
Daud	David
dŭngan	with
sama	The same
sebagai	as
pergi	go
kata	say
berfirman	said
hamba	servant
tŭlah	already
segala	all
sehingga	so that
hati	heart
tiada	there is nothing
dua	two
tanah	land
hal	matter
korban	victim
sendiri	Alone
mati	dead
marika	marika
atas	on
tinggal	stay
bagi	for
memberikan	give
apabila	if
Yerusalem	Jerusalem
melakukan	do
Musa	Moses
lelaki	man
diri	self
masa	time
kapada	where
tentang	about
tahu	know
serta	as well as
membawa	bring
imam	priest
terhadap	to
mempunyai	have
saudara	you
buah	fruit
bersama	together
situ	there
mendengar	hear
Yehuda	Judah
sagala	everything
manusia	man
lebih	more
menjawab	answer
saya	I
Mesir	Egypt
jahat	wicked
selama	during
para	for
sa	with
demikian	thus
banyak	Lots
tahun	year
Footnotes	Footnotes
baginda	Your Majesty
Kristus	Christ
tuanku	my lord
mahu	want
melihat	see
boleh	may
batu	rock
membunuh	kill
perkara	case
perintah	order
dosa	sin
Isa	Jesus
sahaja	just
suku	ethnic group
pengikut	follower
dunia	world
deripada	than
ulih	back to school
nabi	prophet
tiap	each
sampai	until
Yahudi	Jewish
seluruh	all over
bumi	earth
domba	sheep
sangat	very
pintu	door
besar	big
berlaku	applicable
barang	goods
binatang	animal
ketika	when
suatu	a
air	water
beta	beta
pemimpin	leader
tiba	arrive
kepadanya	to him
mesti	must
bertanya	ask
setiap	every
hadapan	in front
dahulu	formerly
bukan	No
perbuatan	action
mazbah	altar
sana	there
meninggalkan	leave
makanan	food
pokok	main
benar	Correct
mengambil	take
nampak	looks
menyuruh	to order
membuat	make
nama	Name
sŭbab	because
perempuan	Woman
musuh	enemy
percaya	believe
tiga	three
sebelah	adjacent
memberi	give
jalan	road
sesiapa	who
sŭrta	and
kembali	return
Saul	Saul
pula	also
adalah	is
penduduk	resident
antara	between
memerintah	to rule
Luk	Luck
sekali	very
keturunan	descendants
mendapat	get
menurut	according to
keluar	go out
lembu	cow
menyelamatkan	save
sedang	currently
sebuah	A
lamanya	duration
mempersembahkan	presenting
diberikan	given
angkau	your numbers
hanya	only
deri	from
kali	time
ialah	is
puluh	tens
nenek	grandma
waktu	time
Paulus	Paul
kŭrna	because
iaitu	that is
bahagian	part
hukum	law
berdosa	sinful
pŭrkara	case
emas	gold
berhala	idol
pernah	Once
padang	field
berbuat	do
beberapa	a number of
askar	soldier
Yakub	Jacob
semula	back to
moyang	ancestors
ataupun	or
kepadaku	to me
masuk	enter
tentera	military
Salomo	Solomon
suci	holy
kŭlak	slack
Lewi	Levi
mula	start
menyerang	attack
Kel	Kel
menerima	accept
wanita	woman
masing	each
hai	O
bŭrkata	said
kuasa	power
dilakukan	done
api	fire
pegawai	employee
menyenangkan	pleasant
menjadikan	make
dewa	god
semuanya	everything
kuno	ancient
katanya	he said
tujuh	seven
menghukum	punish
kedua	second
empat	four
menyembah	worship
malam	Evening
ya	yes
pulang	go home
memberitahu	telling you
itulah	that's it
hendak	want to
tangan	hand
kayu	wood
bapa	father
melalui	through
menyebabkan	cause
Harun	Aaron
langit	sky
Mrk	Mr.
sesuatu	something
jantan	male
ladang	field
malaikat	angel
belas	twelve
bukit	hill
milik	owned by
firman	word
roti	bread
membina	to build
berdoa	pray
Abraham	Abraham
spŭrti	like
Yusuf	Joseph
burung	bird
mengasihi	love
tengah	middle
lakukan	do
mata	eye
menolong	help
keluarga	family
puak	tribe
Babilonia	Babylon
lama	long
tŭtapi	but
sentiasa	always
berdiri	stand
kuat	strong
sini	here
menghadap	facing
minum	drink
tetap	still
bernama	named
wang	money
kuda	horse
bawah	lower
rakyat	people
gurun	desert
setia	loyal
perak	silver
tembok	wall
bulan	month
taat	obedient
memanggil	call
janganlah	don't
bahwa	that
naskhah	script
Filistin	Philistine
mana	where
ekor	tail
roh	spirit
isteri	wife
darah	blood
syurga	heaven
anaknya	his son
persembahan	offering
jikalau	if
Almasih	The Messiah
perjanjian	agreement
gunung	mountain
ibu	Mother
kaki	foot
dekat	near
seekor	one
mengikut	by
sambil	while
wilayah	region
terjemahan	translation
berseru	exclaim
perkhabaran	news
mengetahui	know
istana	palace
salah	Wrong
Petrus	Peter
wain	wine
terus	Keep going
Yosua	Joshua
kasih	love
meninggal	die
kejahatan	crime
ajaran	teachings
handak	firecracker
asing	foreign
Raj	King
kehendak	will
kepadamu	to you
penuh	full
luar	outside
bertitah	commanded
tanpa	without
suka	Like
mencari	look for
jauh	Far
timur	east
pakaian	clothes
minyak	oil
gandum	wheat
baru	new
kepala	head
laut	sea
tuhan	Lord
