e	and
de	of
o	the
a	the
que	what
os	you
do	of
para	to
da	from the
com	with
em	in
se	if
as	to the
dos	of the
como	as
por	put
ao	to the
seu	your
no	in
ele	he
seus	your
sua	your
na	in the
uma	one
eu	I
rei	king
terra	Earth
povo	people
vocês	you
todos	all
meu	my
disse	he said
filho	son
filhos	children
mas	but
sobre	on
aos	to the
eles	they
mais	more
foi	he was
das	of the
porque	why
suas	your
contra	against
pois	then
nos	us
dia	day
nem	nor
quando	when
homem	man
isso	that
minha	my
lhe	him
todo	all
mim	me
homens	men
ou	or
te	you
casa	home
quem	who
teu	your
cidade	city
era	was
foram	they were
tudo	all
tinha	he had
assim	like this
Jerusalém	Jerusalem
pelo	for the
toda	all
ser	to be
Judá	Judah
tua	your
entre	between
todas	all
mesmo	same
diz	it says
Davi	David
diante	ahead
pai	father
nome	name
estava	he was
vida	life
ela	she
nas	in the
lhes	them
deles	from them
fez	he did
ainda	yet
meio	quite
onde	where
outros	others
sem	without
vos	you
grande	big
bem	good
dele	from him
pela	for the
lugar	place
coisas	things
este	this
havia	there was
meus	my
fazer	to do
cada	each
Egito	Egypt
dias	days
ti	you
mulher	woman
enhor	sir
muito	very
sempre	always
templo	temple
causa	cause
tem	he has
tu	you
coração	heart
tempo	time
nosso	our
teus	your
esta	this
depois	after
dois	two
deu	it gave
agora	now
anos	years
respondeu	he responded
ali	there
dizendo	saying
seja	it is
outro	other
sou	I am
estavam	they were
cidades	cities
aquele	that one
segundo	second
palavra	word
caminho	path
sacerdotes	priests
parte	part
vez	time
nações	nations
sacerdote	priest
palavras	words
olhos	eyes
ninguém	nobody
irmãos	brothers
ouro	gold
ó	the
ter	to have
morte	death
mal	bad
israelitas	Israelites
vós	you
isto	this
poder	power
mundo	world
céu	sky
fim	end
oferta	offer
vai	go
desde	since
lado	side
eram	they were
nada	nothing
fogo	fire
lei	law
pessoas	people
sete	seven
verdade	true
pecado	sin
mil	thousand
tinham	had
Êx	Ex
inimigos	enemies
mar	sea
descendentes	descendants
dizer	to say
senhor	sir
antes	before
aqui	here
outra	other
lá	there
pode	he can
junto	together
sangue	blood
amor	love
qual	which
tribo	tribe
ficou	it was left
ano	year
monte	mount
judeus	Jews
pelos	by the
coisa	thing
ver	see
nunca	never
servo	servant
noite	night
deserto	desert
Jo	Joe
justiça	justice
prata	silver
esse	that
paz	peace
vosso	your
voz	voice
irmão	brother
exército	army
glória	glory
fé	faith
pecados	sins
fora	outside
luz	light
aliança	alliance
animais	animals
Paulo	Paul
família	family
discípulos	disciples
nossos	ours
faz	he does
feito	done
muitos	many
si	yes
falar	to speak
espada	sword
primeiro	first
reis	kings
veio	he came
minhas	my
mulheres	women
Jacó	Jacob
José	Joseph
mãe	mother
ira	Iran
respeito	respect
hoje	today
Abraão	Abraham
profeta	prophet
hebraico	Hebrew
deuses	gods
mandou	sent
aqueles	those ones
dar	give
povos	peoples
levitas	Levites
mortos	dead
fizeram	did
guerra	war
disseram	they said
duas	two
estes	these
comer	eat
seguinte	following
reino	kingdom
corpo	body
estas	these
medo	fear
tenho	I have
porta	door
céus	heavens
alguns	some
vossos	your
novo	new
disso	from that
tanto	both
durante	during
profetas	prophets
sido	been
pais	country
servos	servants
estou	I am
alguma	some
comigo	with me
alegria	happiness
quatro	four
cinco	five
pessoa	person
essa	that
filisteus	Philistines
num	in a
tuas	your
carne	meat
nenhum	none
vou	I go
ofertas	offers
gente	people
nele	in it
sabedoria	wisdom
boca	mouth
vinho	wine
arca	ark
qualquer	any
viu	it saw
filha	daughter
volta	back
campo	field
pão	bread
ir	go
frente	front
Josué	Joshua
próprio	own
vinte	twenty
enquanto	while
vão	they go
nossa	our
dela	her
és	you are
perguntou	asked
quanto	as
conforme	according to
vem	he comes
bom	good
mensagem	message
deste	of this
enviou	it sent
quer	he wants
modo	mode
águas	waters
ovelhas	sheep
famílias	families
rio	river
antepassados	ancestors
uns	some
sejam	be
soldados	soldiers
melhor	better
fosse	were
espírito	spirit
numa	in a
maneira	manner
algum	some
Jordão	Jordan
farei	I will do
perante	before
multidão	crowd
justo	fair
tal	such
ficaram	stayed
vale	OK
pelas	by the
perto	close
outras	others
deve	he must
sacrifícios	sacrifices
filhas	daughters
mesma	same
tenda	tent
elas	they
vossa	yours
santuário	sanctuary
chegou	it arrived
trono	throne
chefes	bosses
chamado	called
alma	soul
dez	ten
saber	to know
herança	heritage
saiu	it went out
anjo	angel
ordem	order
embora	although
rosto	face
sacrifício	sacrifice
trabalho	work
mandamentos	commandments
pedra	stone
essas	these
pedras	stones
ídolos	idols
muitas	lots of
debaixo	underneath
pouco	little
santo	holy
ouvir	to hear
morreu	he died
esses	those
grandes	big
doze	twelve
morrer	to die
eis	behold
Jó	Job
favor	please
devem	must
fome	hunger
dizem	they say
tenha	you have
teve	he had
falou	he spoke
cima	up
vezes	times
viver	to live
ouvidos	ears
forte	strong
Jeremias	Jeremiah
Efraim	Ephraim
tribos	tribes
começou	it started
dentro	within
aquilo	that one
habitantes	inhabitants
quais	which
forma	form
ficar	to stay
graça	grace
reinado	reign
encontro	meeting
obras	works
nação	nation
morto	dead
palácio	palace
vontade	willing
Sião	Zion
fiz	I did
tarde	afternoon
Manassés	Manasseh
terras	lands
longe	far away
apenas	just
montes	hills
norte	north
dinheiro	money
redor	around
entrada	Prohibited
desta	this
certo	right
dito	said
somente	only
azeite	oil
obra	work
boa	good
podem	they can
voltou	it returned
caminhos	paths
misericórdia	compassion
alto	high
ordenou	ordered
acordo	agreement
incenso	incense
dado	given
tiver	have
digo	I say
maus	bad
chamou	called
levou	he took
vieram	came
honra	honor
fazem	do
oficiais	officers
vossas	yours
sul	south
sinal	signal
beber	to drink
contigo	with you
portas	doors
quarenta	forty
pôs	put
viram	saw
castigo	punishment
salvação	salvation
matar	to kill
vir	come
casas	houses
líderes	leaders
metros	meters
trinta	thirty
direita	right
Ezequias	Hezekiah
altura	height
aconteceu	it happened
chegaram	arrived
nela	in it
entrar	to enter
roupas	clothes
nenhuma	none
sol	sun
sendo	being
festa	party
ordens	orders
escrito	written
temos	we have
chefe	boss
território	territory
vento	wind
ouviu	he heard
marido	husband
tomou	took
sim	Yes
oração	prayer
mesmos	same
livro	book
cavalos	horses
esperança	hope
guarda	guard
atrás	back
darei	I will give
passar	to spend
tornou	became
cair	to fall
somos	we are
sabe	he knows
madeira	wood
holocausto	holocaust
Elias	Elijah
maldade	evil
disse-lhe	I told him
inimigo	enemy
comida	food
cinquenta	fifty
sábado	Saturday
naquele	in that
egípcios	Egyptians
voltar	to go back
leis	laws
carros	cars
lugares	places
Moabe	Moab
príncipes	princes
maior	bigger
sair	to go out
hora	time
chegar	to arrive
direito	right
mau	bad
ia	I was going
faraó	Pharaoh
deixou	he left
nossas	our
dará	will give
trigo	wheat
haviam	had
fazendo	doing
tendo	having
Isaque	Isaac
ficarão	will be
deus	God
saíram	left
seis	six
neste	in this
visto	seen
justos	fair
anciãos	elders
levantou	got up
daquele	of that
vi	I saw
Joabe	Joab
aquela	that one
sei	I know
entrou	entered
nova	new
congregação	congregation
menino	boy
conhecimento	knowledge
Absalão	Absalom
tenham	have
sétimo	seventh
vinha	vineyard
serem	to be
vivo	alive
vive	lives
fruto	fruit
batalha	battle
matou	killed
juízo	judgment
anjos	angels
fica	he is
virá	will come
idade	age
velho	old
graças	thanks
desse	of that
Esaú	Esau
Ef	Eph
Jeroboão	Jeroboam
sabem	know
puro	pure
gerou	generated
fala	he speaks
sob	under
hão	there are
manuscritos	manuscripts
moradores	residents
terceiro	third
língua	language
bois	oxen
igreja	church
trouxe	he brought
promessa	promise
seguir	follow
seguida	followed
tens	you have
irmã	sister
houve	there was
cheio	full
campos	fields
acampamento	camping
destruir	destroy
ouviram	heard
vivem	live
Babilónia	Babylon
destruição	undoing
acontecer	to happen
Canaã	Canaan
testemunho	testimony
fariseus	Pharisees
pobres	poor
levar	to take
fossem	were
completamente	completely
bondade	kindness
quarto	room
deram	gave
sábio	wise
gado	cattle
leste	east
estrangeiros	foreigners
santos	saints
ferro	iron
dizia	said
fizeste	you did
autoridade	authority
deixar	to leave
consigo	with you
significa	means
levaram	took
ajuda	help
voltaram	returned
roupa	clothing
dei	I gave
tabernáculo	tabernacle
estiver	you are
caso	case
responderam	answered
linho	linen
oferecer	offer
Aarão	Aaron
resto	rest
convosco	with you
árvores	trees
fiel	loyal
ordenado	ordered
amigos	friends
passou	it happened
acerca	about
escravos	slaves
façam	do
tirou	took off
aves	birds
fortes	strong
rebanho	flock
mensageiros	messengers
dessa	of this
nuvem	cloud
delas	of them
mesa	table
Jônatas	Jonathan
árvore	tree
iniquidade	iniquity
boas	good
exércitos	armies
sábios	wise men
dentre	among
chuva	rain
muita	many
carneiro	ram
cuidado	Careful
culpa	blame
largura	width
riquezas	riches
traz	brings
cereais	cereals
aí	there
vergonha	shame
trevas	darkness
holocaustos	holocausts
conta	account
resposta	response
sorte	luck
pães	breads
disse-lhes	I told them
caiu	it fell
semelhante	similar
evangelho	gospel
grupo	group
terem	have
demais	too much
colunas	columns
eterna	eternal
menos	less
começaram	started
sumo	juice
subiu	went up
vê	see
rebanhos	flocks
estar	be
quero	I want
pátio	patio
montanhas	mountains
príncipe	prince
pobre	poor
ama	Amman
novamente	again
apóstolos	apostles
diziam	they said
bens	goods
servir	serve
reinou	reigned
poderoso	powerful
entanto	however
entregou	delivered
fato	fact
desgraça	disgrace
seria	he would be
