de	of
y	and
que	that
a	to
el	he
la	the
los	the
en	in
se	HE
del	of the
su	his
no	No
con	with
lo	it
las	the
por	by
para	for
al	to the
sus	their
un	a
como	as
le	you
es	is
mi	my
una	a
tu	you
rey	king
te	tea
dijo	said
les	them
todo	all
todos	all
tierra	land
porque	because
ellos	they
yo	I
hijo	son
pueblo	town
sobre	about
hijos	children
había	there was
ni	neither
pero	but
ustedes	you
cuando	when
contra	against
hasta	until
si	Yeah
pues	well
tus	your
fue	was
o	either
este	this
hombre	man
á	to
entre	between
casa	home
son	are
mí	my
ciudad	city
era	was
nos	us
ti	you
Jerusalén	Jerusalem
toda	all
tú	you
dos	two
Jehová	Jehovah
Judá	Judah
mismo	same
mis	my
todas	all
han	they have
hombres	men
vida	life
sin	without
esto	this
ella	she
esta	this
padre	father
ya	already
estaba	was
gente	people
nombre	name
hizo	did
lugar	place
fueron	were
allí	over there
ser	be
uno	one
os	you
delante	in front of
bien	good
hecho	made
desde	from
quien	who
eso	that
vosotros	you
dice	says
donde	where
nosotros	us
israelitas	Israelites
cada	each
medio	half
Egipto	Egypt
mano	hand
sino	but
templo	temple
otro	other
mujer	women
parte	part
hacer	do
ante	in view of
tiempo	time
ahora	now
siempre	always
nuestro	our
otros	others
tanto	so much
ver	see
cosas	things
hay	there is
cielo	darling
muerte	death
corazón	heart
habían	had
soy	am
palabra	word
gran	great
ciudades	cities
estaban	were
eñor	Sir
camino	path
cual	which
poder	can
mil	thousand
manos	hands
entonces	so
oro	gold
sacerdotes	priests
sacerdote	priest
nada	nothing
ley	law
dio	gave
tres	three
vino	came
hermanos	siblings
junto	together
sido	been
respondió	answered
palabras	words
naciones	nations
nadie	nobody
tiene	has
ojos	eyes
dicho	saying
vez	time
pecado	sin
aquel	that
muy	very
otra	other
fuego	fire
diciendo	saying
ese	that
mundo	world
siete	seven
agua	water
e	and
Saúl	Saul
decir	say
tenía	had
antes	before
solo	only
hace	does
eran	were
mal	evil
sangre	blood
ſu	your
mar	sea
reino	kingdom
descendientes	descendants
estas	are
desierto	desert
ofrenda	offering
enemigos	enemies
Aarón	Aaron
monte	mountain
reyes	kings
tribu	tribe
noche	evening
hermano	brother
dado	given
justicia	justice
puso	put
amor	love
puede	can
profeta	prophet
muchos	many
causa	cause
judíos	Jews
eres	are
 n	 n
hacia	toward
manera	manner
mucho	a lot
estos	these
