och	and
som	as
i	in
till	to
att	to
de	the
han	he
det	the
en	a
med	with
jag	I
den	the
har	have
inte	not
skall	bark
dem	them
av	of
honom	him
du	you
mig	me
var	where
dig	you
sig	one
om	If
ska	will
hans	his
hade	had
sade	said
er	you
ni	you
ett	a
alla	all
sin	its
min	my
din	your
upp	up
vi	we
ut	out
mot	against
icke	non
men	but
sina	theirs
deras	their
eller	or
oss	us
säger	says
allt	all
kom	come on
vid	at
efter	after
nu	Now
kan	can
folk	people
vara	be
detta	this
kommer	is coming
utan	without
se	see
vad	What
skulle	would
genom	By
mitt	my
sitt	his
dina	yours
göra	do
barn	children
Herrens	Lord's
vill	want
gick	went
får	may
fram	forward
blev	became
hela	whole
andra	Other
också	also
ord	words
under	during
land	country
komma	come
hon	she
svarade	answered
ditt	yours
bort	away
folket	the people
dag	day
eder	your
mina	mine
ty	for
ner	down
här	here
gör	do
gjorde	did
af	of
bli	be
ur	from
söner	sons
kung	King
gjort	done
fick	got
Juda	Judah
bland	among
tog	took
henne	her
gav	gave
hafver	have
män	men
sedan	then
blir	becomes
namn	name
mer	more
dess	its
såg	SAW
tillbaka	back
dagen	the day
två	two
emot	against
 Mos 	 Mash
sa	said
denna	this one
tid	time
säga	say
tjänare	servant
jorden	the earth
hos	in
kungen	the king
ge	give
landet	the country
skola	school
dessa	these
ta	take
lät	sounded
Kristus	Christ
liv	life
finns	exists
staden	the city
mycket	very
far	Father
samma	same
ju	right
låta	let
väg	way
Paulus	Paul
eftersom	since
ögon	eyes
äro	are
ock	also
vet	know
ger	gives
Egypten	Egypt
hur	how
blivit	become
äta	eat
dagar	days
människor	people
tro	believe
sagt	said
talade	spoke
ha	have
bröder	brothers
kvar	left
himlen	the sky
tre	three
tillsammans	Together
bara	only
döda	kill
kommit	arrived
sju	seven
stor	great
intet	nothing
frågade	asked
igen	again
kunde	could
skull	sake
stod	stood
ser	see
hörde	heard
förde	brought
vatten	water
omkring	about
Ps 	PS
våra	ours
onda	evil
der	there
aldrig	Never
hustru	wife
fått	got
stora	large
städer	cities
varit	been
