Chinese	Taiwanese	Sort	English
阿	a	a 01	initial particle, prefix to names of familiar people, as: A-beng... A-hoat... A-tho...
鴉	a	a 02	crow
亞	a	a 03	second, next to, inferior
或 ,亦	a2	a 04a	or (conjunction), introduces an alternative or a word that explains or means the same
你是不是學生?	::Li2 si7 ha8k-seng a2 m7 si7?	a 04b	Are you a student?
你有沒有錢?	::Li2 u7 chi5* a2 bo5?	a 04c	Do you have money?
你要不要去?	::Li2 boeh khi3 a2 m7?	a 04d	Do you want to go?
子 ,兒	a2	a 05a	particle used after one syllable nouns for euphony, suffix of nouns, often diminutive
帽子	::bo7-a2	a 05b	hat
樹	::chhi7u-a2	a 05c	tree
椅子	::i2-a2	a 05d	chair
狗 ,小狗	::ka2u-a2	a 05e	dog
亞孟	A-be7ng	A beng	Amen! So be it!
母親 ,媽媽	a-bo2 (a-bu2)	a bo (a bu)	mother, mama
骯髒	a-cha	a cha	dirty
姊姊	a-che2 (a-chi2)	a che (a chi)	sister (elder sister)
叔父 ,叔叔	a-chek	a chek	uncle (father's younger brothers)
嬸母 ,嬸嬸	a-chi2m	a chim	aunt, wife of an uncle on the father's side of the family
亞洲	A-chiu	A chiu	Asia
亞洲金融風暴	A-chiu kim-io5ng-hong-po8k	A chiu kim iong hong pok	Asian financial storm
曾祖父母	a-cho2+	a cho+	great grandparents on both sides of the family
哥哥	a-hia*	a hia*	brother (elder brother)
阿飛	a-hui	a hui	young man who combines the characteristics of a hippie and a juvenile delinquent
阿姨 ,姨媽	a-i5	a i	aunt, (mother's sisters)
亞鉛 ,鋅	a-ia5n	a ian	zinc
亞鉛板 ,白鐵皮	a-ia5n-phi2a* (ia5n-phi2a*)	a ian phia* (ian phia*) 01a	galvanized metal sheeting
蓋白鐵皮	::kha3m a-ia5n-phi2a*	a ian phia* (ian phia*) 01b	roof covered with galvanized metal sheeting
鐵絲	a-ia5n-so3a* (ia5n-so3a*, thih-so3a*)	a ian soa* (ian soa*; thih soa*)	galvanized (zinc-coated) wire
亞熱帶	a-jia8t-ta3i	a jiat tai	subtropical zone
舅母 ,舅媽	a-ki7m	a kim	aunt (wife of an uncle on the mother's side of the family)
阿根廷	A-kin-te5ng	A kin teng	Argentina
姑母 ,姑媽	a-ko+	a ko+	aunt (father's sisters)
祖父 ,爺爺	a-kong (a2n-kong)	a kong (an kong)	grandfather
舅父 ,舅舅	a-ku7	a ku	uncle (mother's brothers)
亞軍	a-kun	a kun	in second place, second prize
阿拉法特	A-la-hoat-te8k	A la hoat tek	Arafat
阿拉伯	A-la-pek	A la pek 01a	Arabia, Arab
阿拉伯聯合共和國 ,阿聯	::A-la-pek lia5n-ha8p kio7ng-ho5-kok (A-lia5n)	A la pek 01b	United Arab Republic
阿拉伯數字	::A-la-pek so3+-ji7	A la pek 01c	Arabic numerals
亞歷山大	A-le8k-san-ta7i	A lek san tai	Alexander the Great (356-323 B.C.)
不三不四	a-li2-put-ta8t	a li put tat 01a	useless, not to the point
不三不四的朋友	::a-li2-put-ta8t e5 pe5ng-i2u	a li put tat 01b	useless acquaintance
說得不三不四	::kong kah a-li2-put-ta8t	a li put tat 01c	say nothing to the point or purpose
阿聯	A-lia5n	A lian	United Arab Republic
伯母	a-m2	a m	aunt (wife of father's older brothers)
祖母 ,奶奶	a-ma2	a ma	grandmother
阿摩尼亞	a-mo+-ni5-a	a mo+ ni a	ammonia
亞摩士	A-mo5+-su7	A mo+ su	Amos
父親 ,爸爸	a-pa	a pa 01	father, daddy, papa
霸道 ,專橫	a3-pa3	a pa 02a	selfish, covetous, tyrannical, usurp
他很霸道 ,都不想別人的立場。	::I chin a3-pa3, lo2ng bo5 si7u* pa8t-la5ng e5 li8p-ti5u*	a pa 02b	He thinks of no one but himself.
他曾霸佔人的田園。	::I bat a3-pa3 la5ng e5 chha5n-hn5g.	a pa 02c	He encroached on other people's land.
伯父 ,伯伯	a-peh	a peh	uncle (father's elder brothers)
亞北底亞斯	A-pek-ti2-a-su	A pek ti a su	Abdias (Catholic), biblical name for one of the prophets
鴉片	a-phia3n	a phian 01a	opium
鴉片煙	::a-phia3n-hun	a phian 01b	opium prepared for smoking
鴉片煙管	::a-phia3n-hun-chhoe	a phian 01c	opium pipe
鴉片鬼	::a-phia3n-ku2i	a phian 01d	opium fiend
鴉片鬼 ,瘦皮猴	::a-phia3n-sian	a phian 01e	opium addict, skinny person, bag of bones, scarecrow
鴉片中毒者	::a-phia3n tio3ng-to8k-chi2a	a phian 01f	opium addict
阿波羅	A-pho-lo5	A pho lo	Apollo
阿婆	a-po5	a po	term of respect for an old woman
不倒翁	a-put-to2	a put to	tumbling toy, a legless, round-bottomed roly-poly doll
傻瓜	a-se	a se	fool, foolish
亞聖	A-se3ng	A seng	Mencius (Lit. second to the Sage)
嫂嫂	a-so2	a so	sister-in-law (elder brother's wife)
阿斗 ,傻瓜	a-ta2u	a tau	good-for-nothing
亞太經濟合作會議	A-tha3i keng-che3 ha8p-chok ho7e-gi7	A thai keng che hap chok hoe gi	Asia-Pacific Economic Cooperation
老娼	a-tha5u	a thau 01a	madam of a brothel
老娼就是妓女院的老闆娘。	::A-tha5u chi7u-si7 cha-bo2+-keng e5 la2u-pa2n-ni5u.	a thau 01b	An a-thau is the wife of the brothel owner or she herself is the owner.
爹 ,爸爸	a-tia	a tia	father, daddy, papa
洋人 ,大鼻子	a-tok-a2	a tok a	foreigner, hooknose
亞當	A-tong	A tong	Adam
亞運	A-u7n (A-chiu u7n-to7ng-ho7e)	A un (A chiu un tong hoe)	Asian Games
保護在腋下	a3*	a* 01	like a hen protecting her chicks, to hover over as to protect or keep warm
偎	a2*	a* 02	lie in bed with a child to put him to sleep
向 ,俯	a3*	a* 03	face toward, stoop or bend down
攔 ,袒護	a5*	a* 04a	hinder, impede, oppose, obstruct, stand up for, protect, defend
護小雞	::a5* ke-a2-ki2a*	a* 04b	brood over chicks like a hen, to protect or defend little chicks
