ve	And
bir	One
dedi	he said
da	in
de	also
bu	This
gibi	like
ki	that
olan	the one which...
onu	him
diye	saying
İsrail	Israel
oğlu	son-
onun	his
her	each
o	he
nın	of
bin	thousand
çünkü	Because
ile	with
ona	him
İsa	Jesus
ya	either
üzerine	over
zaman	time
ne	What
bana	To me
onları	Them
karşı	opposite
kadar	much
olarak	aspect
onlara	them
RABBİN	THE LORD
senin	your
ben	I
sana	to you
beni	Me
kendi	own
in	of
oldu	It happened
diyor	he says
gün	day
iki	two
olacak	will be
şöyle	Like this
size	you
çok	A lot
önünde	in front
adam	man
ın	of
oğulları	sons
daha	more
sonra	later
onların	their
fakat	but
göre	according to
Yahuda	Judah
un	reputation
sen	you
yok	no
seni	You
verdi	gave
benim	Mine
Musa	Moses
olsun	let it be
üzerinde	on
Davut	David
Allahın	God's
iyi	Good
e	to
dediler	They said
on	front
etti	did
mi	Is it
var	There is
onlar	them
idi	was
arasında	between
birlikte	together
kıral	King
orada	there
Yeruşalim	Jerusalem
biri	someone
vardı	There was
beraber	together
yere	to the ground
İşte	At work
yerine	in its place
nasıl	How
ey	article
sizi	you
yanına	next
Mesih	Christ
işte	at work
yaptı	did
ise	whereas
yedi	seven
dek	until
geldi	came
mı	Is it
kendisine	to himself
siz	you
geri	back
böyle	like this
dan	from
bize	to us
İsrailliler	Israelis
kötü	bad
vaki	happened
eden	who
kıralı	King
kadın	Woman
kimse	noone
yanında	next to you
yıl	year
sözü	the word
şeyi	thing
i	I
kim	who
hepsi	all
yı	y
gitti	gone
la	I
eğer	if
ötürü	due to
halkı	The people of
yine	again
ettiler	They did
bile	even
çıktı	output
sizin	yours
cevap	reply
babası	father
bunu	this
bizi	we
Davud	David
yahut	or
olur	It is possible
evine	to your home
alıp	take
ı	I
gelip	come and
öyle	like that
yirmi	twenty
ancak	however
ama	But
ondan	from him
altın	gold
etmek	to do
üzre	on
günah	sin
Harun	Aaron
yer	place
iman	faith
Allahı	God
Babil	Babylon
gönderdi	sent
aldı	took
ekmek	bread
artık	Now
dolayı	because
olacaktır	will be
et	meat
edin	get it
söz	promise
kavm	People
den	from
Süleyman	Suleyman
yerde	on the ground
kâhin	seer
İsrailin	Israel's
eline	in your hand
kral	king
olanı	the one
su	This
kutsal	sacred
onunla	with it
Yakup	Jacob
önce	before
insan	person
Luk	Hood
ilk	first
altında	under
gelen	incoming
şeyleri	things
biz	We
herkes	everyone
kendisi	itself
arşın	yard
Yusuf	Joseph
sözünü	your word
gidip	go and
edecek	will
oğullarının	their sons
erkek	Male
gümüş	silver
gözünde	in your eyes
evi	house
görünce	when you see
ver	give
suç	crime
halk	people
üzere	as follows
kötülük	evil
bugün	Today
günü	day
Yeşu	Joshua
Levililer	Leviticus
vereceğim	I will give
eder	does
yoktur	There is no
koydu	put
ta	in
adı	ordinary
benden	from me
Tanrınız	Your God
elinden	from your hand
İbrahim	Abraham
Pavlus	Paul
yalnız	only
tarafından	by
hizmet	service
edeceğim	I will
edip	whether
adamlar	guys
adamın	The man
kızı	Daughter
kabul	acceptance
dua	prayer
mukaddes	sacred
kendisini	himself
gece	night
kıralın	the king's
yakılan	burned
sordu	asked
adını	your name
verip	give and
oğullarına	to his sons
olmak	to be
en	-most
RABBİ	LORD
yla	with
olup	is
önüne	before
yaşayan	live
diyerek	saying
nefret	hate
kendilerine	themselves
yaptığı	what he did
altı	six
onlardan	from them
geldiler	They came
hepsini	all
adamı	The man
kendini	self
hakkında	about
gördüm	I saw
Petrus	Peter
olanlar	Those who are
günde	per day
Mar	March
teslim	delivery
oraya	there
kurban	victim
gelecek	future
seninle	With you
hem	both
verdiği	given
vardır	There is
sözleri	lyrics
kulluk	servitude
onlarla	with them
gördü	He saw
ederim	I do
Davudun	David's
cenk	war
İmdi	Now
peygamber	prophet
dedim	I said
yerin	your place
ettiği	he said
Yahudiler	Jewry
nu	nude
taş	stone
yiyip	eat
yaptılar	they did
oradan	from there
söyliyip	saying
yardım	help
verdiler	They gave
evinin	your house
öldü	died
mülk	property
adamları	men
ardınca	after
çıkıp	come out
bundan	from this
vakit	time
yeni	new
murdar	unclean
yol	path
senden	from you
gelince	when it comes
nin	of
iyilik	goodness
gelir	income
hemen	immediately
birini	someone
yiyecek	food
nı	ni
ikinci	second
güzel	Beautiful
ele	Hand
Allaha	To God
kaldı	remained
genç	youth
acı	angle
Musaya	To Moses
halkın	of the people
halka	ring
halde	in this state
dolu	full
bunları	These
otuz	thirty
niçin	why
Yeruşalimde	In Jerusalem
kulak	ear
budur	This is it
bizim	ours
onda	on it
ileri	forward
son	last
ev	house
başladı	started
soyundan	Descendant
Yşa	Isha
evinde	at home
karısı	wife
işi	heat
gittiler	They went
kavmın	of the people
aracılığıyla	through
uyarınca	in accordance with
oturan	sitting
al	take it
Kr	Cr
tek	only
peygamberlik	prophethood
bunlar	these
diyarında	in the land of
öbür	other
adama	to the man
takdimesi	Presentation
helâk	destruction
geliyor	is coming
elini	your hand
ant	oath
Yehova	Jehovah
çocuk	child
oğullarından	from his sons
kırk	forty
kent	city
ettim	I did
benimle	with me
sonsuza	forever
neden	From where
döndü	returned
Yeremya	Jeremiah
ndan	from
gününde	on the day
getirdi	brought
yola	on the road
ebediyen	forever
Va	Wow
yapmak	to do
kalkıp	get up
şarap	wine
mubarek	blessed
savaş	war
eli	hand
haber	news
beri	since
kendilerini	themselves
git	go
ederek	by saying
