㞮	shutsu sui
㡡	chu jiu
一	ichi itsu
丁	tei chou tou
丂	kou
七	shichi shitsu
丄	shou
丅	ka
万	man ban
丈	jou chou
三	san
上	jou shou
下	ka ge
丌	ki gi
不	fu bu futsu hi
与	yo
丏	ben men
丐	kai katsu
丑	chuu chu
丒	chuu
专	sen
且	sha sho
丕	hi
世	se sei
丗	sei se
丘	kyuu
丙	hei hyou
丞	shou jou
丟	chuu chu
丠	kyuu
両	ryou
丢	chuu chu
丣	yuu
两	ryou
並	hei
丨	kon shi jo nyo
丩	kyuu
个	ka ko
丫	a
中	chuu
丮	keki kyaku
丯	kai
丰	hou fu fuu bu
丱	kan kou ken
串	sen kan
丳	san sen
丵	saku
丶	chu
丸	gan
丹	tan
主	shu su
丼	sei tan shou
丽	rei
举	kyo
丿	hetsu hechi you
乀	futsu buchi
乁	i
乂	gai ge
乃	dai ai nai
久	kyuu ku
乆	kyuu ku
乇	taku chaku
么	eu
之	shi
乍	saku sa
乎	ko
乏	bou
乑	gin gon
乒	hei
乓	hau
乕	ko
乖	kai
乗	jou shou
乘	jou shou
乙	otsu
乚	in on
乜	ba me
九	kyuu ku
乞	kotsu ki
也	ya
乢	gai
乣	kyuu
乨	shi
乩	kei
乪	dou nou
乱	ran
乳	nyuu
乴	setsu zechi
乵	en
乹	kan ken
乾	kan ken gen
乿	chi ji
亀	ki kyuu kin
亁	ken
亂	ran ron
亃	rin
亄	i
亅	ketsu
了	ryou
予	yo sha
争	sou
亊	ji zu shi
事	ji shi
二	ni ji
亍	choku
于	u ku
亏	u
云	un
互	go ko
亓	ki
五	go
井	sei shou
亖	shi
亗	sai sei
亘	sen kan kou
亙	kou
些	sa sha
亜	a atsu ou
亝	sei
亞	a atsu ou
亟	kyoku ki
亠	tou zu
亡	bou mou
亢	kou
交	kou kyou
亥	gai kai
亦	eki yaku
亨	kyou kou hou
享	kyou
京	kyou kei kin
亭	tei chou chin
亮	ryou
亯	kyou kou
亰	kei kyou kin
亱	ya
亳	haku baku
亶	tan sen zen
亷	ren
亸	ta
亹	bi mi bon mon
人	jin nin
亼	shuu juu
亾	bou mou
什	shuu juu
仁	jin nin ni
仂	roku ryoku
仃	tei
仄	soku shoku shiki
仅	fu do
仆	fu hoku
仇	kyuu gu
仈	hatsu hachi
仉	shou
今	kon kin
介	kai
仍	jou nyou
从	juu shou ju
仏	butsu
仐	san
仔	shi sai
仕	shi ji
他	ta
仗	jou
付	fu
仙	sen
仚	ken
仛	ta taku
仜	kou da
仝	dou
仞	jin
仟	sen
仠	kan gan
仡	kitsu kochi gochi
仢	haku baku shaku
代	dai tai
令	rei ryou
以	i
仨	sa
仭	jin
仮	ka ke
仯	sou shou byou myou
仰	gyou kou
仱	ken gen kyou kin gon
仲	chuu
仳	hi bi
仴	gatsu gachi
仵	ko go
件	ken
价	kai
任	nin
仼	kyou
份	hin fun
仾	tei hikui
仿	hou bou
伀	shou shu
企	ki
伂	hai
伃	yo
伄	chou
伅	ton don
伇	eki yaku
伈	shin
伉	kou
伊	i
伋	kyuu
伌	ai a
伍	go
伎	ki gi
伏	fuku fuu buku
伐	batsu
休	kyuu ku
伒	kin kon
伓	hai he hi
伔	shin jin
伕	fu
伖	do tou
众	gin gon
优	yuu u
伙	ka
会	kai e
伜	sai sotsu
伝	den ten
伣	ken
伩	shin
伭	ken sen
伮	do
伯	haku ha
估	ko
伱	ji
伲	ji
伳	setsu sechi
伴	han ban
伵	kyoku keki ki
伶	rei ryou
伷	chuu
伸	shin
伹	sho
伺	shi
伻	hou hyou
似	ji
伽	kya ka ga
伾	hi bi hai he
伿	i
佀	shi ji
佁	ai i chi shi ji tai
佂	yai shou
佃	ten den
但	tan dan
佇	cho
佈	ho fu
佉	kyo ko kya ka
佋	shou jou
佌	shi
位	i
低	tei
住	juu
佐	sa
佑	yuu u
佒	au you
体	tei tai hon
佔	chin sen
何	ka ga
佖	hitsu bichi
佗	ta
佘	sha ja
余	yo
佚	itsu tetsu
佛	butsu futsu hotsu
作	saku sa
佝	kou ku
佞	nei dei
佟	tou zu
你	ji ni
佡	ken
佢	kyo
佣	you
佩	hai
佪	kuwai e
佫	kaku kyaku
佬	ryou ro rou
佮	kou
佯	you
佰	haku byaku
佱	hou
佳	ka
佴	ji ni dai nai
併	hei
佶	kitsu gochi
佷	kou gou gin kon gon
佸	katsu gachi
佹	ki
佺	sen
佻	chou jou you
佼	kou kyou
佽	shi
佾	itsu ichi
使	shi
侀	kei kyau
侁	shin
侂	taku
侃	kan
侄	shitsu shichi tetsu
侅	kai
來	rai
侇	i
侈	shi i
侉	ka ke a
侊	kou
例	rei retsu
侌	in
侍	ji
侎	bi mi
侏	shu chu
侐	kyoku keki ki
侑	yuu u
侒	an
侓	rotsu rochi
侔	bou mu
侕	ji ni
侖	ron rin
侗	tou tsu zu dou
侘	ta
侙	choku chiki
侚	shun jun
供	kyou ku
侜	chuu chu
依	i e
侞	jo nyo
侟	sen
侠	kyou
価	ka
侢	bu
侣	ryo ro
侫	nei dei
侭	jin
侮	bu
侯	kou
侲	shin
侳	sa
侴	chuu
侵	shin
侶	ryo ro
侷	kyoku goku
侹	tei jou chou
侺	shin jin
侻	tatsu tachi tai te
侼	hotsu bochi
侽	dan nan
侾	kou kyou
便	ben bin
俀	tai te
俁	gu
係	kei
促	soku
俄	ga
俅	kyuu gu
俆	sho jo
俇	kyau gau kau
俈	koku
俉	go
俊	shun
俋	chuu juu yuu
俌	fu
俍	ryou rou
俎	sho so
俏	seu
俐	ri
俑	you yuu tou
俒	kon gon kan
俓	gau kyau gen gei
俔	ken
俖	hai he
俗	zoku
俘	fu
俙	ki ke kai
俚	ri
俛	ben men fu
俜	hei byou
保	ho hou
俞	yu
俟	shi
俠	kyou
信	shin
俢	shuu
俫	rai
修	shuu shu
俯	fu
俰	ka wa
俱	ku
俲	kou
俳	hai
俴	sen zen
俵	hyou
俶	shuku teki
俷	hi
俸	hou
俺	en
俻	bi
俼	iku kiku shuku
俽	kin kon
俾	hi hei
俿	chi ji
倀	chou tou jou
倁	chi ji
倂	hei
倃	kyuu gu
倄	kou gyou kai e
倅	sai sotsu
倆	ryou
倇	en on
倈	rai
倉	sou
倊	sou su
個	ko ka
倌	kuwan
倍	bai
倎	ten
倏	shuku
倐	shuku
們	mon
倒	tou
倓	tan dan
倔	kutsu
倕	sui zui tsui
倖	kou
倗	hou bou
倘	shou tou
候	kou
倚	i ki
倛	ki
倜	teki chaku chuu chyu
倝	kan
倞	kei kyou ryou ou
借	shaku sha seki
倠	ki
倡	shou
倢	shou
倣	hou
値	chi choku
倥	kou
倦	ken
倧	sou su
倨	kyo ko
倩	sen sei
倪	gei gai
倫	rin
倬	taku choku
倭	i wa
倮	ra ka ge
倯	shou shu
倰	ryou rou
倱	kon gon
倲	tou tsu
倳	shi
倴	hon
倵	bu mu
倶	ku
倷	dai nai
倹	ken
倻	ya
值	chi choku
偀	ei
偁	shou
偂	sen
偃	en
偄	dan nan
偅	shou shu tou
偆	shun
假	ka ke
偈	ketsu kei ge
偉	i
偊	u ku
偋	hei
偌	ja nya
偍	tei dai
偎	wai e
偏	hen
偐	gan gen
偑	fuu fu
偒	tou
偓	aku
偕	kai
偖	sha
偗	sei shau
偘	kan
偙	tei tai
做	saku sa
偛	sou sahu
停	tei chou jou
偝	hai bai
偞	you kyou chou
偟	kuwau wau
偠	eu
偡	tan da
偢	seu
偣	en an
偤	yu
健	ken
偦	sho
偧	ta
偨	shi
偩	fuu bu
偪	hiyoku hiki fuku
偫	chi ji
偬	sou
偭	ben men
偮	shuu
偯	i e
偰	setsu sechi
偱	shun
偲	shi sai
偳	tan
側	soku shoku
偵	tei
偶	guu gou
偷	chuu tou
偸	chuu tou
偹	bi
偺	san
偻	rou
偽	gi ka
傀	kai
傁	sou su
傂	chi ji shi
傃	so
傄	katsu kechi
傅	fu
傆	gen gan kan
傇	jou nyu
傈	ritsu richi
傊	in
傋	kau kou ku
傌	ba me
傍	bou hou
傎	ten
傏	tou dou
傐	kou gou
傑	ketsu
傒	kei gei
傓	sen
傔	ken
傕	kaku
傖	sau shau
傘	san
備	bi
傚	kou
傛	you yu
傜	eu
傝	tan ton tahu
傞	sa
傟	au
傠	hatsu bochi
傡	hei
傢	ka
傤	sai
傪	san
催	sai
傭	you chou
傮	sou zou
傯	sou
傰	hou bou
傱	shou shu sou
傲	gou
傳	den ten
傴	u
債	sai
傶	soku seki shaku
傷	shou
傸	sau shau
傹	kyou gou gyou kou
傺	tei tai
傻	sa
傽	shou
傾	kei
傿	en in on
僀	tei
僁	setsu sechi
僂	rou ru
僃	bi
僄	heu
僅	kin
僆	ren
僇	riku roku ru
僈	ban man
僉	sen
僊	sen
僋	tan ton
僌	you
働	dou
僎	sen shun
像	zou shou
僐	sen zen
僑	kyou
僓	tai de kai e te
僔	son
僕	boku
僖	ki
僗	rau
僘	shou
僙	kou
僚	ryou
僛	ki
僜	tou dou shou chou
僝	san zen
僞	gi ka
僟	ki ge
僠	han
僢	sen shun
僣	sen shin
僤	tan dan sen zen tatsu tachi
僥	kyou gyou
僦	shyuu shu
僧	sou
僨	fun hon
僩	kan gen
僪	kitsu gochi itsu ichi ketsu kechi
僬	seu zeu
僭	sen shin
僮	dou tou
僯	rin
僰	hoku boku
僱	ko
僵	kyou
僶	bin min
僸	kin kon
價	ka ke
僺	shou
僻	heki hi hei
僼	hou
僽	shuu
僾	ai
僿	shi sai
儀	gi
儁	shun
儂	dou nou
儃	sen zen tan dan
億	oku yoku
儅	tou
儆	kei shou
儇	ken
儈	kai ke
儉	ken
儊	sho
儋	tan sen zen
儌	keu
儍	sa
儎	sai
儐	hin
儑	gan gon gou
儒	ju
儓	tai
儔	chuu ju
儕	sei sai
儖	ran
儗	gi kai
儘	jin
儙	ken
儚	bou mou
儛	bu mu
儜	dau nyau
儝	kei
儞	ji
償	shou
儠	ryou
儡	rai
儢	ryo ro
儣	kou
儤	hou hyou
儥	iku teki chaku toku doku
儦	hyou heu
儧	san
儨	shitsu shichi
儩	shi
優	yuu u
儬	shin
儭	shin
儮	reki ryaku
儯	tou dou
儰	i
儱	rou ru ryou ryu
儲	cho
儳	san zan
儴	shou sou
儵	shuu
儷	rei
儸	ra
儹	san
儺	da na
儻	tou
儼	gen
儽	rai re rui ra
儿	jin nin kai
兀	kotsu gotsu
允	in
兂	shin san
元	gen gan
兄	kei kyou
充	juu shuu
兆	chou jou
兇	kyou
先	sen
光	kou
兊	tai da dai e tsu
克	koku
兌	da tai ei
免	men ben
兎	to
兏	chou
児	ji ni gei
兑	da tai ei
兒	ji ni gei
兓	shin san
兔	to
兕	shi ji
兗	en
兘	shi
党	tou
兜	tou
兟	shin
兢	kyou
兤	kou
入	nyuu ju juu
兦	bou
內	dai nai
全	zen sen
兩	ryou
兪	yu
八	hachi hatsu
公	kou
六	roku riku
兮	kei
共	kyou
兵	hei hyou
其	ki gi
具	gu ku
典	ten
兹	ji shi
兼	ken
兾	ki
冀	ki
冂	kei kyou
冃	bou mou
冄	zen nen
内	dai nai
円	en
冉	nen zen
冊	satsu saku
冋	kei kyou
册	satsu saku
再	sai sa
冎	ka ke
冏	kei kyou
冐	bou mou boku
冑	chuu
冒	bou
冓	kou
冔	ku
冕	ben men
冖	beki myaku
冗	jou
冘	in iu yu
写	sha
冝	gi
冞	bi mi
冠	kan
冡	bou mo
冢	chou chu
冣	shu ju sai
冤	en
冥	mei
冦	kou ku
冨	fu fuu
冩	sha
冪	beki
冫	hyou
冬	tou
冭	tai tatsu tachi
冰	hyou
冱	go
冲	chuu
决	ketsu kechi
冴	go
况	kyou
冶	ya
冷	rei
冸	han
冹	futsu buchi hatsu hochi
冺	bin ben min men
冼	shou
冽	retsu rei
冾	kyou
冿	sen
凂	bai
凄	sei
凅	ko
准	jun shun
凇	shou shu sou su
凈	sou shou
凉	ryou
凊	sei shau
凋	chou
凌	ryou
凍	tou
减	gen
凐	in
凑	sou
凒	gi ge kai gai
凓	ritsu richi
凔	sau shau
凕	bei myou
凖	jun setsu
凗	sai ze
凘	shi sei sai
凙	taku daku jaku
凛	rin
凜	rin
凝	gyou
凞	ki
几	ki
凡	bon han
凢	bon han
凣	han
凤	hou
凥	kyo ko
処	sho
凨	fuu fu
凭	hyou
凮	fuu fu
凰	kou ou
凱	gai kai
凲	kan ken
凳	tou
凴	hyou
凵	kan kon
凶	kyou
凷	kai ke
凸	totsu
凹	ou
出	shutsu sui
函	kan
凾	kan
刀	tou
刁	teu chou
刂	tau
刃	jin
刄	jin nin
刅	sou shou
分	bun fun bu
切	setsu sai
刈	gai
刉	ki ke
刊	kan
刋	sen
刌	son sen
刎	fun bun
刏	ki ke kai
刐	tan
刑	kei gyou
划	ka ge
刓	gun
刔	ketsu kechi
刕	ri rei rai saku
刖	getsu guchi gotsu gochi katsu
列	retsu rei
刘	ryuu
刜	futsu fuchi
初	sho so
刞	sho
刟	chou
删	san
刡	bin min
刢	rei ryou
判	han ban
別	betsu bechi
刦	kyou kou
刧	gou kyou kou
刨	hou byou
利	ri
刪	san
别	betsu bechi
刬	san sen
刮	katsu
到	tou
刱	sou shou
刲	kei ke
刳	ko
刴	ta
刵	ji ni gei
制	sei
刷	satsu
券	ken
刹	satsu sechi
刺	shi seki
刻	koku
刼	kyou
剁	ta
剃	tei
剄	kei
剅	rou ru tou tsu
剆	ra
則	soku
剉	sa
削	saku shou
剋	koku
剌	ratsu
前	zen sen
剎	satsu sechi
剏	sou shou
剒	saku
剔	teki tei
剕	hi
剖	bou
剗	san sen
剘	ki gi
剙	sou
剚	shi
剛	gou
剜	wan
剝	haku
剞	ki
剟	tetsu techi tatsu tachi
剠	kei shau ryau
剡	en sen zen
剢	toku taku
剣	ken
剤	zai sui
剥	haku
剦	en
剨	kaku kyaku
剩	jou
剪	sen
剫	taku daku to zo
剬	tan sen sei
剭	oku aku
剮	ka ke
副	fuku
剰	jou
剱	ken
割	katsu
剳	tou satsu
剴	gai kai
創	sou
剷	san sen
剸	tan dan sen
剹	riku roku kyou ku
剺	ri
剻	fuu bu
剼	san seu
剽	hyou
剿	shou sou
劀	katsu
劁	shou jou
劂	ketsu kuuchi kei ke
劃	kaku
劄	satsu tou
劅	taku
劆	ren
劇	geki keki gyaku
劈	heki hyaku
劉	ru ryuu
劊	kai ke katsu
劋	shou sou
劌	kei ke
劍	ken
劎	ken
劐	kaku kyaku
劑	zai sei sui
劒	ken
劓	gi gei
劔	ken
劕	shitsu shichi chi
劖	san zan
劗	san zan sen
劘	ba ma bi mi
劙	ri rei rai
劚	chaku chou
力	ryoku riki
劜	atsu echi
劝	kan
办	hen
功	kou
加	ka
劣	retsu
劤	kin kon roku
劥	kou kyou
劦	kyou gyou ryou
劧	shi
助	jo sho
努	do
劫	gou kyou kou
劬	ku
劭	shou
劮	itsu ichi
劯	sho
劰	baku maku
励	rei
劲	kei
劳	rou
労	rou
劵	ken gen
劶	kou ku
劷	you
劸	ai a
効	kou
劺	bou mu
劻	kyou kou
劼	katsu kitsu
劽	retsu rechi
劾	gai
势	sei
勀	koku
勁	kei
勂	kou gou
勃	botsu hotsu
勄	bin
勅	choku
勆	rou
勇	yuu
勈	you
勉	ben
勌	ken kan gen
勍	kei
勏	hou bu
勐	bau
勑	rai chaku chiki
勒	roku
勓	kai
勔	ben men bin min
動	dou
勖	kyaku koku bou
勗	bou kyoku
勘	kan
務	mu
勚	ei i shi
勛	kun
勜	ou o au
勝	shou
勞	rou
募	bo mo
勠	riku
勡	heu
勢	sei se
勣	seki shaku
勤	kin gon
