㑫	nộm
㓟	phay
㓠	chẻm
㓶	khía
㕭	êu
㕰	mau
㕵	uống
㕸	lắp
㖇	nhe
㖑	nhái
㖗	sùm
㖠	nhại
㖣	vòi
㖧	hôn
㖫	lừng
㖹	vồn
㖼	mỏ
㖽	hợt
㗑	bới
㗖	thào
㗙	sò
㗚	trắt
㗜	súc
㗢	rống
㗴	nhằn
㘇	vang
㘋	hờn
㘓	ran
㘨	nồi
㙤	hố
㙮	đắp
㙴	thềm
㛪	em
㡴	lụp
㤓	bỡn
㤕	trót
㤡	sệt
㤳	bẽ
㥥	ngùng
㦆	hú
㦉	nhát
㦖	muốn
㧅	đeo
㧍	phang
㧼	bíu
㧾	hốt
㨔	giằm
㨢	nâng
㨶	đẽo
㩒	cắm
㩜	giam
㩡	dủi
㩢	mót
㩧	bẹo
㫻	luôn
㫼	xế
㫾	thửng
㭲	góc
㮈	nậy
㮔	tròng
㯝	rọ
㯲	cụm
㯷	bục
㯿	xộp
㰁	lõi
㰙	nạng
㲸	ướt
㳉	ngoét
㳌	nhớp
㳥	lỏng
㳪	vữa
㳯	tăn
㳶	nhỏ
㵒	phè
㵢	loi
㶤	tạch
㷚	đoành
㷝	dụt
㹥	chó
㹯	hươu
㺔	voi
㺞	dữ
㺧	heo
㽳	võ
㽿	cùi
㾄	rù
㾾	hem
䀡	xem
䀧	hòng
䀩	nhác
䁛	coi
䇄	ngất
䇮	sậy
䇻	vỉ
䈫	nắp
䊷	chài
䋖	luột
䋥	lưới
䋦	mối
䏧	da
䏴	teo
䏾	bọng
䐥	ỏng
䐭	giái
䑃	mông
䒜	ngâu
䔲	đắng
䕝	sắng
䕯	bèo
䖴	riêu
䖷	he
䗊	vẹm
䘆	hến
䟢	giẫy
䟬	kheo
䠣	rón
䢦	suốt
䣷	chua
䤠	chỉa
䤲	xích
䱊	mè
䱕	mòi
䳂	sếu
䳱	vọ
䴌	mòng
一	nhất
丁	đinh
七	thất
万	vạn
丈	trượng
三	tam
上	thượng
下	hạ
不	bất
与	dữ
丐	cái
丑	sửu
且	thả
丕	vậy
世	thế
丘	khâu
丙	bính
丞	thừa
丢	điêu
个	cá
丫	a
中	trung
丰	phong
串	xuyến
丸	hoàn
丹	đam
主	chúa
丿	phết
乂	nghệ
乃	nải
久	cửu
之	chi
乍	chạ
乎	hồ
乏	phạp
乖	quai
乘	thặng
乙	ất
九	cửu
乞	khất
也	dã
乱	loạn
乳	vú
乾	kiền
亂	loạn
了	liễu
予	nhừ
事	sự
二	nhì
亍	sục
于	vu
云	vân
互	hỗ
五	ngũ
井	tỉnh
亙	cẳng
些	ta
亟	cấc
亡	vong
亢	cang
交	giao
亥	hợi
亨	hanh
享	hưởng
京	kinh
亭	đình
人	nhân
什	thập
仁	nhân
仃	đừng
仄	trắc
仆	bọc
仇	cừu
仉	kẻ
今	kim
介	giới
仍	nhưng
仔	tử
仕	sĩ
他	tha
仗	trượng
付	phó
仙	tiên
仝	đồng
代	đại
令	lệnh
仰	ngưỡng
件	kiện
价	giá
任	nhậm
份	phần
仿	phảng
企	xí
伊	y
伍	ngũ
伎	kĩ
伏	phục
伐	phạt
休	hưu
会	hội
伩	nho
伮	nó
伯	bá
伲	ni
伴	bạn
伵	tớ
伶	rành
似	tự
伽	già
佃	điền
佊	bè
位	vị
低	đây
住	trú
佐	tá
体	thể
余	dư
佚	dật
佛	phật
作	tác
佞	nịnh
你	nể
佳	giai
併	tính
佻	điêu
使	sứ
侅	hời
來	lai
侈	xỉ
例	lề
侔	mầu
侖	lỏn
侘	sá
供	cung
依	y
侯	hậu
侱	rình
侵	xâm
侶	lứa
侼	bụt
便	tiện
係	hệ
促	xúc
俊	tuấn
俐	lợi
俑	dõng
俗	tục
俚	lái
保	bảo
俠	hiệp
信	tín
修	tu
俱	câu
俸	bổng
俺	em
倀	trành
倂	tính
倈	lười
個	cá
倍	bội
們	món
倒	đảo
倖	hãnh
倘	thẳng
候	hầu
倚	ỷ
借	tá
倡	xướng
倣	phỏng
