aa	胺基酸
aah	啊啊
aahed	阿赫德
aahing	啊啊
aahs	啊啊
aal	材料
aalii	阿里
aaliis	阿里斯
aals	鰻魚
aardvark	土豚
aardvarks	土豚
aardwolf	土狼
aardwolves	土狼
aargh	啊啊
aarrgh	啊啊啊
aarrghh	啊啊啊
aas	原子吸收光譜法
aasvogel	腐屍鳥
aasvogels	腐屍鳥
ab	AB
aba	阿巴
abaca	麻蕉
abacas	算盤
abaci	算盤
aback	吃驚
abacterial	非細菌的
abacus	算盤
abacuses	算盤
abaft	後方
abaka	麻
abakas	算盤
abalone	鮑魚
abalones	鮑魚
abamp	阿巴姆普
abampere	阿巴姆佩雷
abamperes	安培雷斯
abamps	安培
abandon	放棄
abandoned	棄
abandoner	拋棄者
abandoners	拋棄者
abandoning	放棄
abandons	放棄
abapical	頂端的
abas	兩個都
abase	誰是
abased	卑賤
abasedly	卑微地
abasement	水泥
abasements	基地
abaser	卑鄙者
abasers	貶低者
abases	阿巴德
abash	驚訝
abashed	羞愧
abashedly	羞愧地
abashes	尷尬
abashing	令人羞愧
abashment	羞愧
abashments	羞愧
abasia	修道院
abasias	原住民
abasing	大多數
abatable	可消除的
abate	減弱
abated	減弱
abatement	減排
abatements	減排
abater	擊落
abaters	減弱器
abates	屠殺
abating	減弱
abatis	住持
abatises	阿巴蒂斯
abator	屠宰場
abators	屠宰場
abattis	砍伐
abattises	阿巴蒂斯
abattoir	屠宰場
abattoirs	屠宰場
abaxial	背軸
abaxile	去阿巴克斯
abaya	阿巴亞
abayas	阿巴雅
abba	阿爸
abbacies	修道院
abbacy	阿巴西
abbas	阿巴斯
abbatial	修道院
abbe	阿貝
abbes	住持
abbess	女修道院院長
abbesses	阿貝塞斯
abbey	修道院
abbeys	修道院
abbot	住持
abbotcies	修道院
abbotcy	阿博特西
abbots	住持
abbotship	住持職位
abbotships	修道院院長
abbreviate	縮寫
abcoulomb	庫侖
abcoulombs	庫侖
abdicable	可退位的
abdicate	放棄
abdicated	退位
abdicates	退位
abdicating	退位
abdication	退位
abdicator	退位者
