我	wǒ 
你/妳	nǐ 
他/她	tā
我們	wǒmen 
你們/妳們	nǐmen 
他們/她們	tāmen
您	nín 
誰	shéi 
人	rén 
中國	zhōngguó 
美國	měiguó 
日本	rìběn 
台灣	táiwān
名字(ㄗ˙)	míngzi
家	jiā 
電話	diànhuà 
現在	xiànzài 
今年	jīnnián 
今天	jīntiān 
明天	míngtiān 
昨天	zuótiān 
早上	zǎoshàng
上午	shàngwǔ 
中午	zhōngwǔ 
下午	xiàwǔ 
晚上	wǎnshàng
一	yī 
二	èr 
三	sān 
四	sì 
五	wǔ 
六	liù 
七	qī 
八	bā 
九	jiǔ 
十	shí 
零	líng 
兩	liǎng 
時候	shíhòu 
百	bǎi 
半	bàn 
爸爸	bàba
媽媽	māma
哥哥	gēge
弟弟	dìdi
姊姊/姐姐	jiějie
妹妹	mèimei 
的	de 
第	dì 
分	fēn
點	diǎn
個	ge
歲	suì 
年	nián 
住	zhù 
來	lái 
是	shì 
姓	xìng 
覺得	juéde
喜歡	xǐhuān 
打電話	dǎdiànhuà 
高興	gāoxìng 
漂亮	piàoliàng
高	gāo 
好	hǎo 
很	hěn 
真	zhēn 
電腦	diànnǎo 
老師	lǎoshī 
買	mǎi 
忙	máng 
學生	xuéshēng 
大學	dàxué 
學校	xuéxiào 
字	zì 
筆	bǐ 
學	xué 
問	wèn 
說	shuō 
寫	xiě 
聽	tīng 
練習	liànxí 
能	néng 
可以	kěyǐ 
上課	shàngkè 
知道	zhīdào 
電視(機)	diànshì(jī) 
水	shuǐ 
再	zài 
書	shū 
電影	diànyǐng 
以前	yǐqián 
以後	yǐhòu 
走	zǒu 
等	děng 
看	kàn 
什麼	shénme
朋友	péngyǒu 
東西	dōngxi 
吧	ba 
呢	ne 
嗎	ma
找	zhǎo 
做	zuò 
再見	zàijiàn 
怎麼樣	zěnmeyàng 
叫	jiào 
謝謝	xièxie
對不起	duìbuqǐ 
請問	qǐngwèn 
這	zhè 
那	nà 
公共汽車/公車	gōnggòngqìchē/gōngchē 
車(子)	chē(zi) 
到	dào 
去	qù 
回	huí 
坐	zuò 
開車	kāichē 
錢	qián 
多少	duōshǎo 
給	gěi 
貴	guì 
便宜	piányí
大	dà 
小	xiǎo 
難	nán 
容易	róngyì 
有	yǒu 
想	xiǎng 
幾	jǐ 
塊	kuài 
飯	fàn 
吃	chī 
請	qǐng 
也	yě 
不	bù
沒	méi 
都	dōu 
只	zhǐ
可是	kěshì 
還是	háishì 
了	le
得	de
過	guò 
男	nán 
女	nǚ 
孩子	háizi 
小姐	xiǎojiě 
先生	xiānshēng 
太太	tàitai 
女兒	nǚér 
兒子	érzi
大家	dàjiā 
路	lù 
手機	shǒujī 
號碼	hàomǎ 
明年	míngnián 
去年	qùnián 
生日	shēngrì 
月	yuè 
日	rì 
星期	xīngqí
星期天/星期日	xīngqítiān/xīngqírì 
週末/周末	zhōumò 
號	hào 
天	tiān 
從	cóng 
在	zài 
笑	xiào 
愛	ài 
好看	hǎokàn 
快樂	kuàilè 
太	tài 
非常	fēicháng 
工作	gōngzuò 
醫生	yīshēng 
醫院	yīyuàn 
公司	gōngsī 
賣	mài 
準備	zhǔnbèi 
一點(兒)	yīdiǎn(r) 
一些	yīxiē 
本	běn 
張	zhāng 
中學	zhōngxué 
年級	niánjí 
英文	yīngwén 
紙	zhǐ 
問題	wèntí 
意思	yìsi 
圖書館	túshūguǎn 
數學	shùxué 
歷史	lìshĭ
餐廳/飯館	cāntīng/ fànguǎn
學習	xuéxí 
參加	cānjiā 
畫	huà
讀	dú 
會	huì 
有趣	yǒuqù 
為什麼	wèishénme 
下課	xiàkè 
說話	shuōhuà 
考試	kǎoshì 
懂	dǒng 
天氣	tiānqì 
房子	fángzi 
門	mén 
山	shān 
客廳	kètīng 
河	hé 
狗	gǒu 
花	huā
風	fēng 
海	hǎi 
魚	yú 
樹	shù 
開	kāi 
冷	lěng 
熱	rè 
洗澡	xǐzǎo 
咖啡	kāfēi 
茶	chá 
生活	shēnghuó 
用	yòng 
洗	xǐ 
穿	chuān 
起床	qǐchuáng 
方便	fāngbiàn 
睡覺	shuìjiào 
先	xiān 
常常	chángcháng 
每	měi 
次	cì 
音樂	yīnyuè 
票	piào 
照片	zhàopiàn 
打	dǎ 
玩	wán
跑	pǎo 
運動	yùndòng 
開始	kāishǐ 
走路	zǒulù 
唱歌	chànggē 
信	xìn 
喂(ㄨㄟˊ)/喂	wéi/wèi
介紹	jièshào 
換	huàn 
認識	rènshi 
沒關係(ㄒㄧ˙)	méiguānxi 
怎麼	zěnme 
哪	nǎ 
哪裡/哪兒	nǎlǐ/nǎr 
這裡/這兒	zhèlǐ/zhèr 
那裡/那兒	nàlǐ/nàr 
上(面)	shàng(miàn)
下(面)	xià(miàn)
外(面)	wàimiàn 
前(面)	qián(miàn) 
後(面)	hòu(miàn)
右邊	yòubiān
左邊	zuǒbiān
旁邊	pángbiān
中間	zhōngjiān 
地鐵	dìtiě 
地方	dìfāng 
附近	fùjìn 
離	lí 
往	wǎng 
送	sòng 
帶	dài 
放	fàng 
拿	ná 
過	guò 
進來	jìnlái 
出去	chūqù 
站	zhàn 
快	kuài 
慢	màn 
近	jìn 
遠	yuǎn 
手	shǒu 
身體	shēntǐ 
眼睛	yǎnjīng 
藥	yào 
累	lèi 
雙	shuāng 
元	yuán 
鞋子	xiézi 
褲子	kùzi 
市場	shìchǎng 
衣服(ㄈㄨ˙)	yīfu
比	bǐ 
要	yào 
長	cháng 
新	xīn 
一樣	yīyàng 
好吃	hǎochī 
件	jiàn 
杯	bēi 
瓶	píng 
菜	cài 
蘋果	píngguǒ 
肉	ròu 
酒	jiǔ 
喝	hē 
少	shǎo 
多	duō 
一起	yīqǐ 
因為	yīnwèi 
和	hé 
所以	suǒyǐ 
跟	gēn 
著	zhe 
可能	kěnéng 
姓名	xìngmíng 
公園	gōngyuán 
國家	guójiā 
城市	chéngshì 
街	jiē 
電子郵件	diàn​zǐ​yóu​jiàn
結婚	jiéhūn 
小時	xiǎoshí 
點鐘	diǎnzhōng
分 	fēn
分鐘	fēnzhōng
天 	tiān 
夏天	xiàtiān 
冬天	dōngtiān 
秋天	qiūtiān 
春天	chūntiān 
年輕	niánqīng 
老	lǎo 
男生	nánshēng 
女生	nǚshēng 
小孩	xiǎohái
家人	jiārén 
緊張	jǐnzhāng 
可愛	kěài 
胖	pàng 
矮	ǎi 
瘦	shòu 
千	qiān 
萬	wàn 
在 	zài 
辦公室	bàngōngshì 
工廠	gōngchăng 
工人	gōngrén 
護士	hùshì 
司機	sījī 
老闆/老板	lǎobǎn
同事	tóngshì  
上班	shàngbān 
小學	xiǎoxué 
上學	shàngxué 
作業	zuòyè 
功課	gōngkè 
請假	qǐngjià 
考試 	kǎoshì 
教室	jiàoshì 
洗手間/廁所	xǐshǒujiān/cèsuǒ
語言	yǔyán 
科學	kēxué 
華語/華文	huáyǔ/huáwén 
黑板	hēibǎn 
課本	kèběn 
句子	jùzi 
注意	zhùyì 
讀書	dúshū 
回答	huídá 
休息	xiūxí 
決定 	juédìng 
圖片	túpiàn 
畫/畫兒	huà/huàr
記得	jìdé 
房間	fángjiān 
廚房	chúfáng 
窗/窗戶	chuānghù 
樓	lóu 
樓上	lóushàng 
樓下	lóuxià 
電梯	diàntī 
家具	jiājù 
椅子	yǐzi 
桌(子)	zhuō(zi) 
沙發	shāfā 
床	chuáng 
關	guān 
冷氣(機)	lěngqì(jī) 
安靜	ānjìng 
不錯	bùcuò 
海邊	hǎibiān 
湖	hú 
馬	mǎ 
鳥	niǎo
貓	māo 
雞	jī 
太陽	tàiyáng 
下雨	xiàyǔ 
下雪	xiàxuě 
新年	xīnnián 
運動 	yùndòng 
游泳	yóuyǒng 
踢	tī 
足球	zúqiú 
籃球	lánqiú 
網球	wǎngqiú 
棒球	bàngqiú 
比賽	bǐsài 
比賽 	bǐsài 
騎	qí 
腳踏車/自行車	jiǎotàchē/zìxíngchē 
跑步	pǎobù 
電影院	diànyǐngyuàn 
表演	biǎoyǎn 
上網	shàngwǎng 
輸	shū 
贏	yíng 
有時候	yǒushíhòu 
久	jiǔ 
報紙	bàozhǐ 
不客氣	bùkèqì 
禮物	lǐwù 
歡迎	huānyíng 
晚會	wǎnhuì 
信封	xìnfēng 
寄	jì 
接	jiē 
郵局	yóujú 
銀行	yínháng 
警察	jǐngchá 
壞	huài 
幫忙	bāngmáng 
計程車	jìchéngchē 
車站	chēzhàn 
火車	huǒchē 
飛機	fēijī 
飛機場/機場	fēijīchǎng/jīchǎng 
馬路	mǎlù 
十字路口	shízìlùkǒu 
對面	duìmiàn 
裡面	lǐmiàn 
旅行	lǚxíng 
飯店	fàndiàn 
旅館	lǚguǎn 
參觀	cānguān 
地圖	dìtú 
照相機	zhàoxiàngjī 
照相	zhàoxiàng 
風景	fēngjǐng 
頭	tóu 
頭髮	tóufǎ 
耳朵	ěrduo
手指(頭)	shǒuzhǐ(tou)
肚子	dùzi 
健康	jiànkāng 
感冒	gǎnmào 
生病	shēngbìng 
受傷	shòushāng  
餓	è 
渴	kě 
